,datetime,lat,lon,depth_km,mag,location,mag_type,event_type
0,2018-07-31 15:05:12+00:00,18.05,121.71,7,2.4,008 km S 81° E of Gattaran (Cagayan),Ms,TECTONIC
1,2018-07-31 11:13:58+00:00,16.5,120.91,9,2.3,017 km S 21° E of Kabayan (Benguet),Ms,TECTONIC
2,2018-07-31 10:29:43+00:00,12.53,123.59,6,2.2,016 km S 36° E of Monreal (Masbate),Ms,TECTONIC
3,2018-07-31 09:47:00+00:00,12.45,123.52,7,2.9,004 km S 47° E of Baleno (Masbate),unspecified,unspecified
4,2018-07-31 06:51:40+00:00,10.39,125.17,4,3.8,009 km N 64° W of Hinundayan (Southern Leyte),Ms,TECTONIC
5,2018-07-31 04:26:12+00:00,12.57,123.53,1,3.1,011 km N 20° E of Baleno (Masbate),Ms,TECTONIC
6,2018-07-31 02:53:58+00:00,6.56,126.35,4,3.2,032 km S 72° E of Governor Generoso (Davao Oriental),Ms,TECTONIC
7,2018-07-31 00:19:36+00:00,10.21,124.87,14,2.5,010 km N 22° E of Maasin (Southern Leyte),Ms,TECTONIC
8,2018-07-30 22:20:52+00:00,10.36,125.16,9,3.5,006 km S 47° W of Hinunangan (Southern Leyte),Ms,TECTONIC
9,2018-07-30 21:37:55+00:00,20.61,121.67,61,4.3,028 km S 41° W of Itbayat (Batanes),Ms,TECTONIC
10,2018-07-30 20:58:41+00:00,7.1,125.57,15,3.4,006 km N 42° W of Davao City (Davao Del Sur),Ms,TECTONIC
11,2018-07-30 20:42:39+00:00,17.44,119.92,20,2.9,049 km S 72° W of Santa Catalina (Ilocos Sur),Ms,TECTONIC
12,2018-07-30 20:31:18+00:00,14.21,123.33,1,2.7,024 km N 21° E of Siruma (Camarines Sur),Ms,TECTONIC
13,2018-07-30 20:17:53+00:00,6.02,125.68,61,2.7,020 km S 06° W of Don Marcelino (Davao Occidental),Ms,TECTONIC
14,2018-07-30 17:54:35+00:00,14.34,120.5,135,2.5,011 km S 11° E of Mariveles (Bataan),Ms,TECTONIC
15,2018-07-30 17:50:03+00:00,11.71,125.92,33,2.5,051 km N 63° E of Maydolong (Eastern Samar),Ms,TECTONIC
16,2018-07-30 17:09:32+00:00,14.03,120.46,110,2.4,019 km S 74° W of Nasugbu (Batangas),Ms,TECTONIC
17,2018-07-30 12:31:34+00:00,9.88,124.01,1,2.8,002 km N 08° E of Catigbian (Bohol),Ms,TECTONIC
18,2018-07-30 11:52:37+00:00,12.78,125.28,1,3.2,032 km N 33° E of Palapag (Northern Samar),Ms,TECTONIC
19,2018-07-30 11:47:01+00:00,10.44,125.15,1,2.1,007 km N 48° W of Hinunangan (Southern Leyte),Ms,TECTONIC
20,2018-07-30 11:07:01+00:00,17.62,122.8,31,2.3,061 km N 59° E of Divilacan (Isabela),Ms,TECTONIC
21,2018-07-30 10:22:09+00:00,5.37,124.36,438,3.8,074 km S 23° W of Kiamba (Sarangani),Ms,TECTONIC
22,2018-07-30 10:00:19+00:00,10.26,126.01,21,2.7,027 km N 07° W of Santa Monica (Sapao) (Surigao Del Norte),Ms,TECTONIC
23,2018-07-30 05:48:14+00:00,12.25,124.93,38,2.3,010 km S 55° E of Silvino Lobos (Northern Samar),Ms,TECTONIC
24,2018-07-30 00:46:22+00:00,6.57,125.96,1,2.1,015 km S 57° W of Governor Generoso (Davao Oriental),Ms,TECTONIC
25,2018-07-29 22:52:09+00:00,12.9,122.59,21,2.2,050 km N 45° E of Romblon (Romblon),Ms,TECTONIC
26,2018-07-29 20:42:46+00:00,10.93,124.62,1,2.3,008 km N 76° E of Albuera (Leyte),Ms,TECTONIC
27,2018-07-29 20:36:25+00:00,19.08,121.05,9,3.2,049 km S 63° W of Calayan (Cagayan),Ms,TECTONIC
28,2018-07-29 20:00:03+00:00,5.8,126.01,134,3.1,045 km S 78° E of Jose Abad Santos (Davao Occidental),Ms,TECTONIC
29,2018-07-29 15:59:57+00:00,5.36,126.87,3,3.5,151 km S 67° E of Jose Abad Santos (Davao Occidental),Ms,TECTONIC
30,2018-07-29 15:55:23+00:00,13.88,123.93,29,2.5,014 km N 04° W of Caramoan (Camarines Sur),Ms,TECTONIC
31,2018-07-29 15:32:43+00:00,10.99,126.74,31,3.1,111 km S 87° E of Guiuan (Eastern Samar),Ms,TECTONIC
32,2018-07-29 15:14:14+00:00,8.9,126.57,24,3.1,029 km S 87° E of Cagwait (Surigao Del Sur),Ms,TECTONIC
33,2018-07-29 13:05:20+00:00,4.31,126.73,33,3.5,187 km S 48° E of Sarangani (Davao Occidental),Ms,TECTONIC
34,2018-07-29 12:37:56+00:00,5.6,124.33,1,3.2,054 km S 36° W of Kiamba (Sarangani),Ms,TECTONIC
35,2018-07-29 12:34:40+00:00,17.14,119.48,11,2.8,094 km N 28° W of Bolinao (Pangasinan),Ms,TECTONIC
36,2018-07-29 12:13:57+00:00,10.0,126.05,10,2.4,003 km S 48° W of Burgos (Surigao Del Norte),Ms,TECTONIC
37,2018-07-29 11:16:14+00:00,19.29,121.16,17,3.0,032 km N 88° W of Calayan (Cagayan),Ms,TECTONIC
38,2018-07-29 11:14:34+00:00,19.1,121.1,11,2.7,043 km S 61° W of Calayan (Cagayan),Ms,TECTONIC
39,2018-07-29 10:55:56+00:00,6.48,126.33,103,2.7,034 km S 56° E of Governor Generoso (Davao Oriental),Ms,TECTONIC
40,2018-07-29 09:05:36+00:00,10.77,126.24,10,2.8,064 km S 62° E of Guiuan (Eastern Samar),Ms,TECTONIC
41,2018-07-29 08:56:31+00:00,6.24,126.14,10,3.3,046 km S 09° E of Governor Generoso (Davao Oriental),Ms,TECTONIC
42,2018-07-29 08:27:36+00:00,11.26,124.61,2,2.8,005 km S 47° W of Capoocan (Leyte),Ms,TECTONIC
43,2018-07-29 06:16:13+00:00,16.18,119.71,23,2.7,011 km N 53° W of Agno (Pangasinan),Ms,TECTONIC
44,2018-07-29 04:10:32+00:00,9.15,125.58,2,2.4,005 km N 51° E of Cabadbaran (Agusan Del Norte),Ms,TECTONIC
45,2018-07-29 02:08:25+00:00,18.58,121.06,19,2.3,004 km S 29° W of Claveria (Cagayan),Ms,TECTONIC
46,2018-07-29 01:29:02+00:00,8.52,125.96,13,3.5,001 km S 18° W of San Francisco (Agusan Del Sur),Ms,TECTONIC
47,2018-07-29 01:23:52+00:00,8.28,125.85,78,1.2,006 km S 44° E of La Paz (Agusan Del Sur),Ms,TECTONIC
48,2018-07-29 00:59:02+00:00,4.14,126.06,111,3.4,157 km S 24° E of Sarangani (Davao Occidental),Ms,TECTONIC
49,2018-07-28 23:39:05+00:00,18.96,121.47,6,1.6,036 km S 01° E of Calayan (Cagayan),Ms,TECTONIC
50,2018-07-28 22:19:31+00:00,9.57,122.9,9,2.0,024 km N 27° E of Bayawan (Tulong) (Negros Oriental),Ms,TECTONIC
51,2018-07-28 21:52:46+00:00,17.71,119.77,151,2.4,063 km N 77° W of Santa Catalina (Ilocos Sur),Ms,TECTONIC
52,2018-07-28 21:20:10+00:00,10.13,126.17,3,2.7,016 km N 41° E of Burgos (Surigao Del Norte),Ms,TECTONIC
53,2018-07-28 20:53:38+00:00,5.42,126.69,28,2.9,129 km S 66° E of Jose Abad Santos (Davao Occidental),Ms,TECTONIC
