,datetime,lat,lon,depth_km,mag,location,mag_type,event_type
0,2015-04-30 06:53:00+00:00,10.73,121.66,47,2.6,031 km S 87° W of San Jose (Antique),unspecified,unspecified
1,2015-04-30 04:18:00+00:00,13.18,120.04,22,3.8,053 km S 61° W of Paluan (Occidental Mindorol),unspecified,unspecified
2,2015-04-29 08:27:00+00:00,10.17,123.14,25,2.9,015 km N 71° W of Guihulngan (Negros Oriental),unspecified,unspecified
3,2015-04-29 06:15:00+00:00,10.15,123.23,9,3.6,005 km N 56° W of Guihulngan (Negros Oriental),unspecified,unspecified
4,2015-04-28 13:55:00+00:00,13.71,120.53,28,2.3,018 km S 41° W of Calatagan (Batangas),unspecified,unspecified
5,2015-04-27 15:48:00+00:00,3.62,123.67,546,4.2,284 km S 45° W of Sarangani (Davao Occidental),unspecified,unspecified
6,2015-04-27 12:04:00+00:00,5.92,125.88,163,3.5,029 km N 82° E of Jose Abad Santos (Davao Occidental),unspecified,unspecified
7,2015-04-27 08:21:00+00:00,13.78,121.49,18,3.6,011 km S 61° E of San Juan (Batangas),unspecified,unspecified
8,2015-04-26 06:14:00+00:00,13.53,121.07,19,2.4,013 km N 77° E of Puerto Galera (Oriental Mindoro),unspecified,unspecified
9,2015-04-26 05:51:00+00:00,18.0,120.21,34,3.2,029 km S 68° W of Currimao (Ilocos Norte),unspecified,unspecified
10,2015-04-25 17:22:00+00:00,6.22,125.74,140,3.1,005 km N 68° E of Don Marcelino (Davao Occidental),unspecified,unspecified
11,2015-04-25 14:06:00+00:00,13.09,123.53,23,3.4,007 km N 75° W of Jovellar (Albay),unspecified,unspecified
12,2015-04-25 12:26:00+00:00,6.66,124.21,8,2.0,015 km N 84° E of Lebak (Sultan Kudarat),unspecified,unspecified
13,2015-04-25 05:34:00+00:00,8.49,125.87,1,3.7,10 km N 68° E of Talacogon (Agusan del Sur),unspecified,unspecified
14,2015-04-24 20:41:00+00:00,6.27,127.18,29,3.4,118 km S 43° E of Tarragona (Davao Oriental),unspecified,unspecified
15,2015-04-24 17:38:00+00:00,5.57,125.67,203,2.3,026 km N 55° E of Sarangani (Davao Occidental),unspecified,unspecified
16,2015-04-24 15:39:00+00:00,8.94,126.32,24,2.1,003 km N 36° E of Cagwait (Surigao del Sur),unspecified,unspecified
17,2015-04-24 06:32:00+00:00,4.68,125.88,14,2.9,095 km S 28° E of Sarangani (Davao Occidental),unspecified,unspecified
18,2015-04-23 21:34:00+00:00,9.42,125.75,8,3.2,048 km S 36° E of Surigao City,unspecified,unspecified
19,2015-04-23 20:22:00+00:00,6.87,126.17,29,2.7,011 km S 29° W of Mati (Davao Oriental),unspecified,unspecified
20,2015-04-23 19:26:00+00:00,8.08,127.6,36,4.4,141 km S 83° E of Bislig City (Surigao del Sur),unspecified,unspecified
21,2015-04-23 18:22:00+00:00,5.18,125.38,187,4.0,030 km S 21° W of Sarangani (Davao del Sur),unspecified,unspecified
22,2015-04-23 17:38:00+00:00,6.81,125.62,33,2.2,028 km S 3° E of Davao City,unspecified,unspecified
