,datetime,lat,lon,depth_km,mag,location,mag_type,event_type
0,2015-08-31 09:10:00+00:00,6.54,125.85,32,2.6,027 km S 63° W of Governor Generoso (Davao Oriental),unspecified,unspecified
1,2015-08-31 08:33:00+00:00,16.15,119.95,33,2.7,003 km S 69° W of Alaminos City (Pangasinan),unspecified,unspecified
2,2015-08-31 06:27:00+00:00,19.78,122.04,33,3.2,063 km S 16° E of Sabtang (Batanes),unspecified,unspecified
3,2015-08-31 05:11:00+00:00,16.2,120.06,31,2.5,010 km N 61° E of Alaminos City (Pangasinan),unspecified,unspecified
4,2015-08-31 03:00:00+00:00,13.47,120.43,36,2.7,007 km N 35° W of Paluan (Occidental Mindoro),unspecified,unspecified
5,2015-08-30 22:00:00+00:00,5.48,126.46,101,3.9,104 km S 64° E of Jose Abad Santos (Davao Occidental),unspecified,unspecified
6,2015-08-30 21:06:00+00:00,9.24,126.55,8,4.1,043 km N 67° E of Tandag (Surigao Del Sur),unspecified,unspecified
7,2015-08-30 20:31:00+00:00,9.28,126.88,33,4.0,079 km N 74° E of Tandag (Surigao Del Sur),unspecified,unspecified
8,2015-08-30 20:06:00+00:00,9.16,126.79,7,4.1,066 km N 83° E of Tandag (Surigao Del Sur),unspecified,unspecified
9,2015-08-30 20:05:00+00:00,13.6,120.44,32,2.9,045 km N 21° W of Mamburao (Occidental Mindoro),unspecified,unspecified
10,2015-08-30 15:54:00+00:00,9.24,126.74,11,4.0,063 km N 74° E of Tandag (Surigao Del Sur),unspecified,unspecified
11,2015-08-30 15:53:00+00:00,16.47,120.11,28,2.6,025 km N 70° E of Bolinao (Pangasinan),unspecified,unspecified
12,2015-08-30 10:11:00+00:00,9.25,126.65,7,4.3,054 km N 69° E of Tandag (Surigao del Sur),unspecified,unspecified
13,2015-08-30 02:24:00+00:00,11.52,122.08,35,3.0,010 km N 16° E of Culasi (Antique),unspecified,unspecified
14,2015-08-29 19:23:00+00:00,15.51,119.85,27,3.0,010 km N 36° W of Palauig (Zambales),unspecified,unspecified
15,2015-08-29 14:06:00+00:00,13.57,120.44,42,2.9,014 km N 13° W of Paluan (Occidental Mindoro),unspecified,unspecified
16,2015-08-29 10:32:00+00:00,8.9,122.61,42,2.5,050 km S 68° W of Siaton (Negros Oriental),unspecified,unspecified
17,2015-08-29 07:01:00+00:00,9.35,125.56,5,3.8,005 km N 82° E of Jabonga (Agusan Del Norte),unspecified,unspecified
18,2015-08-29 04:24:00+00:00,13.7,120.74,20,3.0,014 km N 73° W of Tingloy (Batangas),unspecified,unspecified
19,2015-08-28 22:35:00+00:00,9.9,124.21,7,2.9,005 km S 15° W of Danao (Bohol),unspecified,unspecified
20,2015-08-28 17:34:00+00:00,17.43,120.56,30,3.2,025 km S 49° E of Vigan (Ilocos Sur),unspecified,unspecified
21,2015-08-28 17:33:00+00:00,17.45,120.33,13,3.3,015 km S 24° W of Vigan (Ilocos Sur),unspecified,unspecified
22,2015-08-28 16:51:00+00:00,13.13,120.55,33,2.9,012 km S 22° W of Mamburao (Occidental Mindoro),unspecified,unspecified
23,2015-08-28 16:49:00+00:00,10.17,126.6,35,3.5,060 km N 74° E of Burgos (Surigao Del Norte),unspecified,unspecified
24,2015-08-28 16:15:00+00:00,6.73,127.11,34,4.1,081 km S 64° E of Tarragona (Davao Oriental),unspecified,unspecified
25,2015-08-28 14:53:00+00:00,10.14,126.23,14,3.5,022 km N 54° E of Burgos (Surigao Del Norte),unspecified,unspecified
26,2015-08-28 13:26:00+00:00,13.8,120.81,5,2.1,013 km S 63° W of San Luis (Batangas),unspecified,unspecified
27,2015-08-28 10:25:00+00:00,12.98,120.34,33,2.7,039 km S 45° W of Mamburao (Occidental Mindoro),unspecified,unspecified
28,2015-08-28 07:55:00+00:00,13.09,120.49,33,3.1,017 km S 32° W of Mamburao (Occidental Mindoro),unspecified,unspecified
29,2015-08-28 06:35:00+00:00,13.09,120.61,16,2.7,012 km N 83° W of Santa Cruz (Occidental Mindoro),unspecified,unspecified
30,2015-08-28 06:34:00+00:00,19.65,122.22,1,3.4,083 km S 20° E of Uyugan (Batanes),unspecified,unspecified
31,2015-08-28 02:09:00+00:00,13.05,120.44,32,3.3,026 km S 39° W of Mamburao (Occidental Mindoro),unspecified,unspecified
32,2015-08-28 01:46:00+00:00,13.09,120.62,31,2.9,012 km N 81° W of Santa Cruz (Occidental Mindoro),unspecified,unspecified
33,2015-08-28 00:17:00+00:00,9.41,126.42,18,3.3,029 km N 59° E of Cortes (Surigao del Sur),unspecified,unspecified
34,2015-08-27 23:17:00+00:00,13.0,120.38,32,2.6,034 km S 42° W of Mamburao (Occidental Mindoro),unspecified,unspecified
35,2015-08-27 22:42:00+00:00,10.53,126.5,1,3.6,073 km N 40° E of Burgos (Surigao del Norte),unspecified,unspecified
36,2015-08-27 19:51:00+00:00,14.32,120.4,174,2.5,022 km S 47° W of Mariveles (Bataan),unspecified,unspecified
37,2015-08-27 17:11:00+00:00,8.26,125.76,33,2.9,008 km S 45° W of La Paz (Agusan Del Sur),unspecified,unspecified
38,2015-08-27 16:28:00+00:00,10.12,126.05,33,2.2,011 km N 07° E of Santa Monica (Sapao) (Surigao Del Norte),unspecified,unspecified
39,2015-08-27 12:56:00+00:00,17.82,120.99,17,2.1,009 km N 46° E of Tineg (Abra),unspecified,unspecified
40,2015-08-27 10:52:00+00:00,9.1,126.77,11,2.5,056 km N 75° E of Bayabas (Surigao Del Sur),unspecified,unspecified
41,2015-08-27 07:22:00+00:00,13.79,120.58,104,3.3,007 km S 54° W of Calatagan (Batangas),unspecified,unspecified
42,2015-08-27 05:32:00+00:00,13.55,120.73,101,3.1,010 km S 50° W of San Teodoro (Oriental Mindoro),unspecified,unspecified
43,2015-08-26 20:52:00+00:00,8.94,126.76,31,4.1,051 km N 88° E of Cagwait (Surigao Del Sur),unspecified,unspecified
44,2015-08-26 19:55:00+00:00,10.06,124.29,10,3.3,010 km N 34° W of San Miguel (Bohol),unspecified,unspecified
45,2015-08-26 14:34:00+00:00,6.55,126.05,18,3.5,012 km S 14° W of Governor Generoso (Davao Oriental),unspecified,unspecified
46,2015-08-26 11:46:00+00:00,9.85,124.27,25,3.9,017 km S 26° W of San Miguel (Bohol),unspecified,unspecified
47,2015-08-26 06:53:00+00:00,6.82,125.94,28,2.7,012 km S 43° W of Lupon (Davao Oriental),unspecified,unspecified
48,2015-08-25 16:20:00+00:00,18.22,121.0,23,3.2,014 km N 82° E of Carasi (Ilocos Norte),unspecified,unspecified
49,2015-08-25 14:07:00+00:00,17.48,121.37,31,2.1,010 km N 59° W of Tabuk (Kalinga),unspecified,unspecified
50,2015-08-25 11:46:00+00:00,8.41,124.76,2,3.9,008 km N 08° E of Libona (Bukidnon),unspecified,unspecified
51,2015-08-25 09:43:00+00:00,16.74,121.3,23,3.1,012 km N 41° W of Diadi (Nueva Vizcaya),unspecified,unspecified
52,2015-08-25 02:06:00+00:00,9.78,125.41,4,3.5,010 km S 83° W of Surigao City (Surigao Del Norte),unspecified,unspecified
53,2015-08-24 20:35:00+00:00,17.74,120.12,79,2.7,042 km N 72° W of Currimao (Ilocos Norte),unspecified,unspecified
54,2015-08-24 18:07:00+00:00,13.99,120.6,203,2.3,008 km S 41° W of Lian (Batangas),unspecified,unspecified
55,2015-08-24 18:06:00+00:00,6.73,125.84,57,2.7,026 km S 46° W of Lupon (Davao Oriental),unspecified,unspecified
56,2015-08-24 16:24:00+00:00,10.61,126.25,23,2.4,068 km N 17° E of Burgos (Surigao Del Norte),unspecified,unspecified
