,datetime,lat,lon,depth_km,mag,location,mag_type,event_type
0,2015-02-28 14:23:00+00:00,5.83,126.44,4,3.2,091 km S 86° E of Jose Abad Santos (Davao Occidental),unspecified,unspecified
1,2015-02-28 07:11:00+00:00,9.7,126.17,1,2.7,010 km S 08° E of General Luna (Surigao del Norte),unspecified,unspecified
2,2015-02-28 00:30:00+00:00,12.8,123.32,1,3.5,013 km S 36° E of Claveria (Masbate),unspecified,unspecified
3,2015-02-27 19:32:00+00:00,5.31,127.4,33,3.5,207 km S 72° E of Jose Abad Santos (Davao Occidental),unspecified,unspecified
4,2015-02-27 14:54:00+00:00,9.96,126.37,9,3.2,031 km N 50° E of General Luna (Surigao del Norte),unspecified,unspecified
5,2015-02-27 10:21:00+00:00,12.74,123.0,11,3.5,032 km S 58° W of Claveria (Masbate),unspecified,unspecified
6,2015-02-26 22:08:00+00:00,9.85,126.53,10,4.1,042 km N 79° E of General Luna (Surigao del Norte),unspecified,unspecified
7,2015-02-26 21:47:00+00:00,9.88,126.54,6,4.1,044 km N 77° E of General Luna (Surigao del Norte),unspecified,unspecified
8,2015-02-26 19:36:00+00:00,6.32,125.93,126,2.8,029 km N 62° E of Don Marcelino (Davao Occidental),unspecified,unspecified
9,2015-02-26 18:23:00+00:00,6.47,127.14,26,3.1,100 km S 50° E of Tarragona (Davao Oriental),unspecified,unspecified
10,2015-02-26 10:35:00+00:00,2.74,126.44,3,3.9,317 km S 29° E of Sarangani (Davao Occidental),unspecified,unspecified
11,2015-02-26 07:28:00+00:00,5.46,126.25,115,4.2,085 km S 56° E of Jose Abad Santos (Davao Occidental),unspecified,unspecified
12,2015-02-26 04:13:00+00:00,3.84,126.29,102,3.5,199 km S 27° E of Sarangani (Davao Occidental),unspecified,unspecified
13,2015-02-25 16:51:00+00:00,17.69,121.61,8,2.3,009 km N 62° W of Solana (Cagayan),unspecified,unspecified
14,2015-02-25 16:45:00+00:00,9.96,126.19,15,2.9,011 km N 75° E of San Isidro (Surigao del Norte),unspecified,unspecified
15,2015-02-25 13:54:00+00:00,7.27,125.86,25,2.7,010 km S 3° W of Maco (Compostella Valley),unspecified,unspecified
16,2015-02-25 13:17:00+00:00,16.77,122.61,8,2.6,037 km S 31° E of Palanan (Isabela),unspecified,unspecified
17,2015-02-25 10:16:00+00:00,9.63,125.97,84,3.9,001 km N 20° E of Socorro (Surigao del Norte),unspecified,unspecified
18,2015-02-25 01:31:00+00:00,6.11,119.78,17,5.5,091 km S 76° W of Pangutaran (Sulu),unspecified,unspecified
19,2015-02-23 23:14:00+00:00,16.3,120.52,13,4.1,014 km S 37° W of Baguio City (Benguet),unspecified,unspecified
20,2015-02-23 18:11:00+00:00,14.43,123.73,7,3.1,094 km N 70° E of Daet (Camarines Norte),unspecified,unspecified
21,2015-02-23 16:21:00+00:00,5.86,126.25,33,3.2,070 km S 87° E of Jose Abad Santos (Davao Occidental),unspecified,unspecified
22,2015-02-23 09:50:00+00:00,17.99,120.87,18,2.2,016 km S 42° E of Solsona (Ilocos Norte),unspecified,unspecified
23,2015-02-23 03:19:00+00:00,4.51,126.0,3,3.4,118 km S 30° E of Sarangani (Davao Occidental),unspecified,unspecified
24,2015-02-22 15:00:00+00:00,10.76,125.0,3,3.8,002 km N 25° W of Abuyog (Leyte),unspecified,unspecified
25,2015-02-22 06:40:00+00:00,9.29,122.54,17,3.3,017 km S 38° W of Basay (Negros Oriental),unspecified,unspecified
26,2015-02-22 01:31:00+00:00,16.49,118.96,35,3.6,103 km N 84° W of Bolinao (Pangasinan),unspecified,unspecified
27,2015-02-21 18:19:00+00:00,5.91,125.96,116,3.8,038 km N 86° E of Jose Abad Santos (Davao Occidental),unspecified,unspecified
28,2015-02-21 14:37:00+00:00,21.19,122.38,29,3.3,071 km N 51° E of Itbayat (Batanes),unspecified,unspecified
