,datetime,lat,lon,depth_km,mag,location,mag_type,event_type
0,2015-01-31 07:03:00+00:00,9.16,125.72,7,3.4,019 km N 76 ° E of Cabadbaran (Agusan del Norte),unspecified,unspecified
1,2015-01-30 16:57:00+00:00,9.67,125.5,3,3.4,003 km N 61 ° W of Sison (Surigao del Norte),unspecified,unspecified
2,2015-01-30 10:03:00+00:00,6.88,126.72,11,3.1,035 km S 59 ° E of Tarragona (Davao Oriental),unspecified,unspecified
3,2015-01-29 19:32:00+00:00,8.65,121.63,29,3.8,190 km N 88° W of Dipolog City,unspecified,unspecified
4,2015-01-29 19:29:00+00:00,9.71,121.54,33,3.3,096 km S 87° W of Sipalay (Negros Occidental),unspecified,unspecified
5,2015-01-29 18:47:00+00:00,14.98,123.46,1,3.5,107 km N 44° E of Paracale (Camarines Norte),unspecified,unspecified
6,2015-01-29 14:51:00+00:00,14.08,120.51,193,2.8,012 km N 90° W of Nasugbu (Batangas),unspecified,unspecified
7,2015-01-29 11:43:00+00:00,11.82,125.54,62,3.4,009 km N 86° E of Sulat (Eastern Samar),unspecified,unspecified
8,2015-01-29 10:41:00+00:00,13.68,120.68,73,2.2,017 km S 16° E of Calatagan (Batangas),unspecified,unspecified
9,2015-01-29 08:18:00+00:00,5.78,126.79,9,3.5,124 km S 40° E of Governador Generoso (Davao Oriental),unspecified,unspecified
10,2015-01-29 05:39:00+00:00,8.59,121.52,24,3.8,194 km N 19° W of Zamboanga City,unspecified,unspecified
11,2015-01-29 03:51:00+00:00,9.02,126.19,102,3.1,004 km N 87° W of Tago (Surigao del Sur),unspecified,unspecified
12,2015-01-28 23:53:00+00:00,7.39,126.8,23,3.2,035 km N 56° E of Manay (Davao Oriental),unspecified,unspecified
13,2015-01-28 16:56:00+00:00,8.61,121.55,34,3.9,193 km N 18° W of Zamboanga City,unspecified,unspecified
14,2015-01-28 16:54:00+00:00,8.58,121.46,32,2.8,193 km N 21° W of Zamboanga City,unspecified,unspecified
15,2015-01-28 16:39:00+00:00,8.64,121.47,33,2.2,199 km N 20° W of Zamboanga City,unspecified,unspecified
16,2015-01-28 16:22:00+00:00,8.67,121.6,27,3.0,197 km N 16° W of Zamboanga City,unspecified,unspecified
17,2015-01-28 15:35:00+00:00,8.67,121.61,26,3.9,196 km N 15° W of Zamboanga City,unspecified,unspecified
18,2015-01-28 15:25:00+00:00,8.66,121.58,32,3.0,197 km N 17° W of Zamboanga City,unspecified,unspecified
19,2015-01-28 15:08:00+00:00,8.66,121.62,27,2.8,195 km N 15° W of Zamboanga City,unspecified,unspecified
20,2015-01-28 15:05:00+00:00,8.56,121.52,32,1.9,188 km N 19° W of Zamboanga City,unspecified,unspecified
21,2015-01-28 14:58:00+00:00,8.52,121.41,34,2.9,188 km N 23° W of Zamboanga City,unspecified,unspecified
22,2015-01-28 14:27:00+00:00,8.54,121.44,34,2.5,189 km N 22° W of Zamboanga City,unspecified,unspecified
23,2015-01-28 14:07:00+00:00,8.51,121.36,43,3.0,190 km N 25° W of Zamboanga City,unspecified,unspecified
24,2015-01-28 13:01:00+00:00,17.76,120.76,19,2.7,013 km N 26° E of Dolores (Abra),unspecified,unspecified
25,2015-01-28 11:56:00+00:00,17.98,120.21,33,3.5,047 km S 59° W of Laoag City,unspecified,unspecified
26,2015-01-28 05:32:00+00:00,9.87,122.59,33,2.0,006 km N 03° W of Candoni (Negros Occidental),unspecified,unspecified
27,2015-01-27 21:10:00+00:00,10.28,125.57,33,2.3,005 km S 16° E of Tubajon (Dinagat),unspecified,unspecified
28,2015-01-27 10:31:00+00:00,5.8,126.29,49,2.8,129 km S 74° E of General Santos City,unspecified,unspecified
29,2015-01-27 09:38:00+00:00,16.77,119.73,24,3.5,046 km N 23° W of Bolinao (Pangasinan),unspecified,unspecified
30,2015-01-27 02:13:00+00:00,18.89,121.05,32,3.1,032 km N 05° W of Claveria (Cagayan),unspecified,unspecified
31,2015-01-26 23:23:00+00:00,14.54,124.03,49,3.6,056 km N 15° W of Pandan (Catanduanes),unspecified,unspecified
32,2015-01-26 22:46:00+00:00,14.41,124.11,28,1.9,040 km N 08° W of Pandan (Catanduanes),unspecified,unspecified
33,2015-01-26 17:17:00+00:00,4.49,125.32,82,3.2,106 km S 09° W of Sarangani (Davao Occidental),unspecified,unspecified
34,2015-01-26 13:41:00+00:00,13.46,120.15,8,3.2,031 km S 20° W of Looc (Occidental Mindoro),unspecified,unspecified
35,2015-01-26 11:31:00+00:00,9.89,122.3,47,3.9,018 km N 39° W of Sipalay (Negros Occidental),unspecified,unspecified
36,2015-01-26 07:09:00+00:00,9.81,122.26,20,5.1,018 km N 72° W of Sipalay (Negros Occidental),unspecified,unspecified
37,2015-01-26 00:17:00+00:00,6.52,126.04,24,4.2,015 km S 15° W of Governor Generoso (Davao Oriental),unspecified,unspecified
38,2015-01-25 17:48:00+00:00,6.68,127.05,27,3.9,078 km S 58° E of Tarragona (Davao Oriental),unspecified,unspecified
39,2015-01-25 17:25:00+00:00,9.63,123.65,9,2.5,012 km N 67° W of Panglao (Bohol),unspecified,unspecified
40,2015-01-25 14:20:00+00:00,13.52,120.18,56,2.6,012 km N 50° E of Abra de Ilog (Occidental Mindoro),unspecified,unspecified
41,2015-01-25 08:25:00+00:00,19.02,122.47,38,3.6,072 km N 29° E of Sta Ana (Cagayan),unspecified,unspecified
42,2015-01-25 04:08:00+00:00,9.93,124.18,20,3.0,005 km S 67° W of Danao (Bohol),unspecified,unspecified
43,2015-01-25 04:03:00+00:00,5.42,126.78,69,3.2,139 km S 68° E of Jose Abad Santos (Davao Occidental),unspecified,unspecified
44,2015-01-24 21:10:00+00:00,9.8,122.49,19,3.4,009 km N 66° E of Sipalay (Negros Occidental),unspecified,unspecified
45,2015-01-24 20:37:00+00:00,10.14,126.18,9,3.1,017 km N 42° E of Burgos (Surigao del Norte),unspecified,unspecified
46,2015-01-24 03:41:00+00:00,9.37,126.18,15,3.2,010 km N 07° W of Cortes (Surigao del Sur),unspecified,unspecified
47,2015-01-24 03:29:00+00:00,9.67,126.39,9,4.0,028 km S 63° E of General Luna (Surigao del Norte),unspecified,unspecified
48,2015-01-23 18:55:00+00:00,8.14,126.03,6,3.1,006 km S 64° E of Bunawan (Agusan Del Sur),unspecified,unspecified
49,2015-01-23 15:31:00+00:00,9.07,122.71,32,2.3,035 km S 15° W of Bayawan (Tulong) (Negros Oriental),unspecified,unspecified
50,2015-01-23 12:21:00+00:00,9.05,126.24,27,2.2,006 km S 32° E of Tandag (Surigao Del Sur),unspecified,unspecified
51,2015-01-23 06:24:00+00:00,6.71,125.59,3,3.1,021 km N 40° E of Santa Cruz (Davao Del Sur),unspecified,unspecified
52,2015-01-23 03:57:00+00:00,12.15,123.94,22,3.4,002 km N 65° E of Palanas (Masbate),unspecified,unspecified
53,2015-01-22 14:49:00+00:00,19.53,121.38,13,5.2,029 km N 18° W of Calayan (Cagayan),unspecified,unspecified
54,2015-01-22 10:14:00+00:00,8.52,122.85,3,3.4,055 km S 82° W of Dipolog City,unspecified,unspecified
55,2015-01-22 02:49:00+00:00,16.99,121.18,27,2.1,016 km N 57° E of Banaue (Ifugao),unspecified,unspecified
56,2015-01-22 02:19:00+00:00,7.08,127.05,12,3.0,094 km N 80° E of Mati (Davao Oriental),unspecified,unspecified
57,2015-01-21 18:47:00+00:00,17.12,120.0,22,3.6,064 km S 40° W of Vigan (Ilocos Sur),unspecified,unspecified
58,2015-01-21 18:19:00+00:00,8.24,125.3,2,3.1,027 km N 69° E of Malaybalay City (Bukidnon),unspecified,unspecified
59,2015-01-21 08:33:00+00:00,6.21,124.14,4,2.7,007 km S 77° W of Palimbang (Sultan Kudarat),unspecified,unspecified
60,2015-01-21 05:20:00+00:00,5.7,125.49,49,5.2,029 km N 04° E of Sarangani (Davao Occidental),unspecified,unspecified
61,2015-01-20 23:29:00+00:00,6.02,123.98,4,2.9,032 km S 47° W of Palimbang (Sultan Kudarat),unspecified,unspecified
62,2015-01-20 20:33:00+00:00,5.99,123.6,620,5.5,070 km S 69° W of Palimbang (Sultan Kudarat),unspecified,unspecified
63,2015-01-20 19:58:00+00:00,6.47,125.97,30,2.3,023 km S 31° W of Governor Generoso (Davao Oriental),unspecified,unspecified
64,2015-01-20 16:11:00+00:00,6.74,125.55,2,2.9,020 km S 83° E of Digos City (Davao Del Sur),unspecified,unspecified
65,2015-01-20 13:47:00+00:00,17.5,122.28,26,3.0,019 km N 06° W of Divilacan (Isabela),unspecified,unspecified
66,2015-01-20 06:55:00+00:00,11.4,125.54,23,2.4,026 km S 26° E of Borongan (E.samar),unspecified,unspecified
67,2015-01-20 03:32:00+00:00,13.41,124.28,6,3.5,020 km S 16° E of Virac (Catanduanes),unspecified,unspecified
68,2015-01-20 03:02:00+00:00,5.65,127.41,45,5.0,185 km S 53° E of Governor Generoso (Davao Oriental),unspecified,unspecified
69,2015-01-19 17:19:00+00:00,4.76,119.82,35,5.6,016 km S 11° W of Simunul (Tawi-tawi),unspecified,unspecified
70,2015-01-19 12:30:00+00:00,7.27,124.81,1,2.9,008 km N 18° E of Carmen (North Cotabato),unspecified,unspecified
71,2015-01-19 11:57:00+00:00,9.86,126.47,6,3.7,036 km N 76° E of General Luna (Surigao Del Norte),unspecified,unspecified
72,2015-01-19 11:26:00+00:00,9.87,126.31,6,3.0,019 km N 60° E of General Luna (Surigao Del Norte),unspecified,unspecified
73,2015-01-19 10:00:00+00:00,6.6,123.63,34,1.8,047 km N 87° W of Kalamansig (Sultan Kudarat),unspecified,unspecified
74,2015-01-18 21:19:00+00:00,9.49,126.12,27,3.0,022 km S 53° E of Socorro (Surigao Del Norte),unspecified,unspecified
75,2015-01-18 17:18:00+00:00,12.02,125.86,21,3.6,041 km S 88° E of Dolores (Eastern Samar),unspecified,unspecified
