,datetime,lat,lon,depth_km,mag,location,mag_type,event_type
0,2015-07-31 13:02:00+00:00,13.93,120.6,139,2.6,011 km N 21∞ W of Calatagan (Batangas),unspecified,unspecified
1,2015-07-31 07:57:00+00:00,6.25,127.21,17,4.1,122 km S 44∞ E of Tarragona (Davao Oriental),unspecified,unspecified
2,2015-07-31 04:02:00+00:00,6.15,125.42,26,2.9,017 km N 67∞ E of Alabel (Sarangani),unspecified,unspecified
3,2015-07-31 01:45:00+00:00,6.1,126.35,40,4.2,068 km S 26∞ E of Governor Generoso (Davao Oriental),unspecified,unspecified
4,2015-07-30 21:44:00+00:00,7.58,125.2,25,2.5,020 km S 31∞ E of Quezon (Bukidnon),unspecified,unspecified
5,2015-07-30 21:01:00+00:00,5.94,124.26,23,3.4,032 km S 12∞ E of Palimbang (Sultan Kudarat),unspecified,unspecified
6,2015-07-30 20:42:00+00:00,7.57,125.46,3,4.4,019 km N 86∞ W of Kapalong (Davao del Norte),unspecified,unspecified
7,2015-07-30 15:23:00+00:00,13.97,120.52,124,2.8,016 km S 62∞ W of Lian (Batangas),unspecified,unspecified
8,2015-07-30 10:31:00+00:00,10.44,125.97,6,3.1,044 km N 79∞ E of Loreto (Dinagat),unspecified,unspecified
9,2015-07-30 08:42:00+00:00,16.57,119.85,3,3.2,020 km N 12∞ W of Bolinao (Pangasinan),unspecified,unspecified
10,2015-07-30 06:31:00+00:00,16.24,119.72,15,2.7,025 km S 47∞ W of Bolinao (Pangasinan),unspecified,unspecified
11,2015-07-29 22:45:00+00:00,9.9,126.07,20,3.3,005 km S 31∞ W of San Isidro (Surigao Del Norte),unspecified,unspecified
12,2015-07-29 21:46:00+00:00,16.34,119.9,25,3.6,005 km S 05∞ E of Bolinao (Pangasinan),unspecified,unspecified
13,2015-07-29 20:39:00+00:00,13.61,120.01,32,3.0,030 km S 24∞ W of Lubang (Occidental Mindoro),unspecified,unspecified
14,2015-07-29 19:03:00+00:00,14.04,120.46,106,4.2,018 km S 77∞ W of Nasugbu (Batangas),unspecified,unspecified
15,2015-07-29 18:34:00+00:00,18.34,122.1,12,3.7,013 km S 20∞ W of Santa Ana (Cagayan),unspecified,unspecified
16,2015-07-29 17:57:00+00:00,16.35,122.27,10,2.6,018 km N 34∞ E of Casiguran (Aurora),unspecified,unspecified
17,2015-07-29 13:22:00+00:00,14.62,119.84,34,3.0,054 km S 63∞ W of Olongapo City (Zambales),unspecified,unspecified
18,2015-07-29 11:05:00+00:00,4.98,126.23,30,3.3,098 km S 59∞ E of Sarangani (Davao Occidental),unspecified,unspecified
19,2015-07-28 18:51:00+00:00,4.79,123.25,598,4.8,190 km S 34∞ W of Palimbang (Sultan Kudarat),unspecified,unspecified
20,2015-07-28 18:32:00+00:00,18.94,121.17,32,3.0,071 km N 16∞ W of Luna (Apayao),unspecified,unspecified
