,datetime,lat,lon,depth_km,mag,location,mag_type,event_type
0,2015-06-30 09:29:00+00:00,5.94,125.37,42,2.9,009 km S 73° E of Malapatan (Sarangani),unspecified,unspecified
1,2015-06-29 23:43:00+00:00,16.89,119.87,28,3.2,056 km N 58° W of San Fernando (La Union),unspecified,unspecified
2,2015-06-29 06:30:00+00:00,4.61,127.41,81,4.1,234 km S 67° E of Sarangani (Davao Occidental),unspecified,unspecified
3,2015-06-28 10:25:00+00:00,14.04,121.11,23,3.7,013 km N 29° W of Lipa City (Batangas)),unspecified,unspecified
4,2015-06-27 16:01:00+00:00,15.68,119.8,7,3.2,015 km S 55° W of Santa Cruz (Zambales),unspecified,unspecified
5,2015-06-27 11:50:00+00:00,13.64,120.46,31,2.3,024 km S 69°E of Looc (Occidental Mindoro),unspecified,unspecified
6,2015-06-27 11:24:00+00:00,18.12,120.6,2,3.2,006 km S 46° W of Sarrat (Ilocos Norte),unspecified,unspecified
7,2015-06-27 07:37:00+00:00,9.99,124.02,23,3.4,002 km N 15° W of Clarin (Bohol),unspecified,unspecified
8,2015-06-27 07:32:00+00:00,6.6,126.8,10,3.2,063 km S 38°E of Tarragona (Davao Oriental),unspecified,unspecified
9,2015-06-26 16:38:00+00:00,13.61,120.6,95,2.6,023 km N 37°W of Abra de Ilog (Occidental Mindoro),unspecified,unspecified
10,2015-06-26 14:51:00+00:00,7.41,125.93,6,3.2,049 km N 46°E of Davao City,unspecified,unspecified
11,2015-06-26 13:36:00+00:00,19.13,121.25,22,3.0,022 km S 54°W of Calayan (Cagayan),unspecified,unspecified
12,2015-06-26 07:50:00+00:00,13.92,120.48,141,3.1,019 km N 60°W of Calatagan (Batangas),unspecified,unspecified
13,2015-06-25 19:42:00+00:00,8.21,124.08,15,3.1,034 km S 89° W of Malaybalay (Bukidnon),unspecified,unspecified
14,2015-06-24 17:02:00+00:00,19.03,121.14,19,3.5,044 km S 51° W of Calayan (Cagayan),unspecified,unspecified
15,2015-06-24 06:17:00+00:00,17.14,120.3,3,3.5,016 km N 79° W of Santa Lucia (Ilocos Sur),unspecified,unspecified
16,2015-06-24 05:27:00+00:00,10.13,125.13,24,2.8,003 km S 30° E of Liloan (Southern Leyte),unspecified,unspecified
17,2015-06-24 03:01:00+00:00,14.8,119.79,35,2.3,037 km S 63° W of San Antonio (Zambales),unspecified,unspecified
18,2015-06-23 18:18:00+00:00,17.87,120.71,5,4.0,039 km S 20° E of Laoag City,unspecified,unspecified
19,2015-06-23 15:45:00+00:00,10.59,126.25,4,3.0,004 km N 17° E of Burgos (Surigao del Norte),unspecified,unspecified
20,2015-06-23 13:00:00+00:00,17.12,120.3,26,3.8,016 km N 90° W of Santa Lucia (Ilocos Sur),unspecified,unspecified
21,2015-06-23 06:58:00+00:00,9.26,126.11,8,3.6,009 km S 79° W of Cortes (Surigao Del Sur),unspecified,unspecified
22,2015-06-23 00:02:00+00:00,7.66,125.57,1,2.8,014 km N 30° W of Kapalong (Davao Del Norte),unspecified,unspecified
23,2015-06-22 06:12:00+00:00,6.7,126.14,28,3.2,008 km N 56° E of Governor Generoso (Davao Oriental),unspecified,unspecified
24,2015-06-22 03:52:00+00:00,9.81,125.93,69,3.3,007 km S 38° W of Del Carmen (Surigao del Norte),unspecified,unspecified
25,2015-06-21 23:55:00+00:00,4.68,124.95,10,3.6,100 km S 34° W of Sarangani (Davao Occidental),unspecified,unspecified
26,2015-06-21 23:14:00+00:00,5.03,125.89,97,3.5,064 km S 46° E of Sarangani (Davao Occidental),unspecified,unspecified
27,2015-06-21 21:27:00+00:00,8.2,126.62,55,3.7,029 km N 52° E of Lingig (Surigao Del Sur),unspecified,unspecified
28,2015-06-21 21:18:00+00:00,4.49,124.48,60,3.0,151 km S 46° W of Sarangani (Davao Occidental),unspecified,unspecified
29,2015-06-21 20:42:00+00:00,8.89,122.2,31,3.4,075 km S 40° W of Basay (Negros Oriental),unspecified,unspecified
30,2015-06-21 09:33:00+00:00,5.99,125.96,136,2.7,037 km S 53° E of Don Marcelino (Davao Occidental),unspecified,unspecified
31,2015-06-21 07:44:00+00:00,6.46,126.81,44,3.0,076 km S 32° E of Tarragona (Davao Oriental),unspecified,unspecified
32,2015-06-20 18:18:00+00:00,6.04,126.22,11,3.1,061 km S 73° E of Don Marcelino (Davao Occidental),unspecified,unspecified
