,datetime,lat,lon,depth_km,mag,location,mag_type,event_type
0,2015-03-30 23:54:00+00:00,10.04,124.19,5,3.2,010 km S 65° E of Buenavista (Bohol),unspecified,unspecified
1,2015-03-30 17:26:00+00:00,9.01,126.27,39,2.9,004 km N 13° W of Bayabas (Surigao del Sur),unspecified,unspecified
2,2015-03-30 09:46:00+00:00,9.13,126.81,23,3.2,060 km N 73° E of Bayabas (Surigao del Sur),unspecified,unspecified
3,2015-03-30 01:47:00+00:00,10.04,124.21,7,4.9,012 km S 66° E of Buenavista (Bohol),unspecified,unspecified
4,2015-03-28 12:07:00+00:00,13.09,125.42,128,3.2,069 km N 29° E of Palapag (Northern Samar),unspecified,unspecified
5,2015-03-27 23:40:00+00:00,13.66,119.23,26,3.0,101 km S 77° W of Lubang (Occidental Mindoro),unspecified,unspecified
6,2015-03-27 21:44:00+00:00,7.71,125.97,28,3.2,013 km N 71° W of Compostela (Compostela Valley),unspecified,unspecified
7,2015-03-27 13:21:00+00:00,16.28,120.13,28,3.3,031 km N 21° W of Lingayen (Pangasinan),unspecified,unspecified
8,2015-03-27 12:01:00+00:00,13.78,120.77,10,2.5,015 km S 70° E of Calatagan (Batangas),unspecified,unspecified
9,2015-03-26 16:46:00+00:00,5.82,126.62,60,4.9,110 km S 33° E of Governor Generoso (Davao Oriental),unspecified,unspecified
10,2015-03-26 14:33:00+00:00,13.16,124.17,10,3.1,005 km S 62° E of Rapu-rapu (Albay),unspecified,unspecified
11,2015-03-26 06:25:00+00:00,6.01,124.75,19,3.9,014 km N 80° E of Kiamba (Sarangani),unspecified,unspecified
12,2015-03-26 04:11:00+00:00,6.41,126.54,49,2.8,057 km S 63° E of Governor Generoso (Davao Oriental),unspecified,unspecified
13,2015-03-25 16:50:00+00:00,8.05,126.88,33,2.4,051 km N 88° E of Lingig (Surigao Del Sur),unspecified,unspecified
14,2015-03-25 15:46:00+00:00,12.95,121.77,26,3.3,006 km N 65° E of Concepcion (Romblon),unspecified,unspecified
15,2015-03-25 12:49:00+00:00,19.17,120.6,13,4.1,069 km N 17° W of Pagudpud (Ilocos Norte),unspecified,unspecified
16,2015-03-25 12:18:00+00:00,4.08,126.39,11,3.7,182 km S 34° E of Sarangani (Davao Occidental),unspecified,unspecified
17,2015-03-25 01:37:00+00:00,18.32,120.75,19,3.2,015 km S 82° E of Pasuquin (Ilocos Norte),unspecified,unspecified
18,2015-03-24 23:30:00+00:00,8.99,126.39,6,3.3,012 km N 78° E of Bayabas (Surigao Del Sur),unspecified,unspecified
19,2015-03-24 21:05:00+00:00,9.99,126.9,26,4.0,085 km N 74° E of General Luna (Surigao Del Norte),unspecified,unspecified
20,2015-03-24 17:33:00+00:00,6.13,127.52,1,3.4,156 km S 50° E of Tarragona (Davao Oriental),unspecified,unspecified
21,2015-03-24 17:11:00+00:00,6.23,126.16,20,2.8,047 km S 11° E of Governor Generoso (Davao Oriental),unspecified,unspecified
22,2015-03-24 14:37:00+00:00,5.85,126.01,76,2.9,043 km S 85° E of Jose Abad Santos (Davao Occidental),unspecified,unspecified
23,2015-03-24 09:17:00+00:00,12.38,125.52,33,3.0,022 km N 05° E of San Policarpio (Eastern Samar),unspecified,unspecified
24,2015-03-24 04:43:00+00:00,18.07,121.38,23,3.2,028 km S 05° E of Luna (Apayao),unspecified,unspecified
25,2015-03-23 19:16:00+00:00,5.07,127.8,79,3.2,258 km S 70° E of Jose Abad Santos (Davao Occidental),unspecified,unspecified
26,2015-03-23 06:45:00+00:00,13.08,122.77,34,2.1,023 km S 76° W of San Pascual (Masbate),unspecified,unspecified
27,2015-03-22 03:03:00+00:00,5.83,125.67,180,2.4,008 km S 48° E of Jose Abad Santos (Davao Occidental),unspecified,unspecified
28,2015-03-21 23:11:00+00:00,20.16,122.28,1,3.9,041 km S 59° E of Uyugan (Batanes),unspecified,unspecified
29,2015-03-21 15:37:00+00:00,6.01,126.84,129,3.5,110 km S 50° E of Governor Generoso (Davao Oriental),unspecified,unspecified
30,2015-03-20 23:50:00+00:00,13.8,120.59,135,2.9,006 km S 51° W of Calatagan (Batangas),unspecified,unspecified
31,2015-03-20 08:20:00+00:00,7.71,126.11,15,3.3,005 km N 31° E of Compostela (Compostela Valley),unspecified,unspecified
32,2015-03-19 17:11:00+00:00,10.72,121.67,31,2.3,030 km S 84° W of San Jose (Antique),unspecified,unspecified
33,2015-03-19 16:25:00+00:00,14.94,121.8,114,2.3,001 km N 58° W of Panukulan (Quezon),unspecified,unspecified
34,2015-03-19 12:47:00+00:00,8.39,126.26,118,2.7,009 km N 75° W of Hinatuan (Surigao del Sur),unspecified,unspecified
35,2015-03-19 10:00:00+00:00,8.29,125.98,4,3.5,011 km S 13° W of Rosario (Agusan Del Sur),unspecified,unspecified
36,2015-03-19 05:15:00+00:00,15.21,122.62,18,2.2,061 km N 27° E of Jomalig (Quezon),unspecified,unspecified
37,2015-03-18 23:59:00+00:00,10.11,124.13,5,3.0,004 km S 33° E of Buenavista (Bohol),unspecified,unspecified
38,2015-03-18 18:51:00+00:00,12.9,121.2,29,2.4,028 km S 51° W of Socorro (Oriental Mindoro),unspecified,unspecified
39,2015-03-18 07:52:00+00:00,13.18,120.09,31,2.5,048 km S 58° W of Paluan (Occidental Mindoro),unspecified,unspecified
40,2015-03-18 06:18:00+00:00,9.8,126.36,21,3.4,022 km N 84° E of General Luna (Surigao Del Norte),unspecified,unspecified
41,2015-03-17 19:37:00+00:00,9.86,126.88,16,3.1,080 km N 84° E of General Luna (Surigao Del Norte),unspecified,unspecified
42,2015-03-17 19:14:00+00:00,9.56,126.38,1,3.4,035 km S 46° E of General Luna (Surigao Del Norte),unspecified,unspecified
43,2015-03-17 11:15:00+00:00,12.43,122.05,8,3.5,008 km N 66° E of Odiongan (Romblon),unspecified,unspecified
44,2015-03-17 06:08:00+00:00,18.93,121.29,27,3.8,042 km N 33° E of Claveria (Cagayan),unspecified,unspecified
45,2015-03-17 00:09:00+00:00,6.91,125.61,33,2.4,017 km S 01° E of Davao City (Davao Del Sur),unspecified,unspecified
46,2015-03-16 22:54:00+00:00,14.24,118.54,32,3.8,176 km N 76° W of Lubang (Occidental Mindoro),unspecified,unspecified
47,2015-03-16 14:13:00+00:00,10.07,126.57,4,3.1,055 km N 84° E of Burgos (Surigao Del Norte),unspecified,unspecified
48,2015-03-16 12:39:00+00:00,15.45,121.93,21,2.3,052 km S 49° E of Baler (Aurora),unspecified,unspecified
49,2015-03-16 00:09:00+00:00,13.12,123.4,20,4.2,021 km S 26° W of Polangui (Albay),unspecified,unspecified
50,2015-03-15 22:03:00+00:00,9.6,126.25,17,2.4,022 km S 26° E of General Luna (Surigao Del Norte),unspecified,unspecified
51,2015-03-15 21:20:00+00:00,18.36,122.4,14,3.4,031 km S 71° E of Santa Ana (Cagayan),unspecified,unspecified
52,2015-03-15 08:22:00+00:00,12.62,119.85,32,2.6,050 km N 08° W of Busuanga (Palawan),unspecified,unspecified
53,2015-03-15 08:03:00+00:00,12.6,119.8,33,3.9,049 km N 14° W of Busuanga (Palawan),unspecified,unspecified
54,2015-03-15 02:47:00+00:00,4.82,126.05,40,2.5,093 km S 46° E of Sarangani (Davao Occidental),unspecified,unspecified
55,2015-03-14 18:39:00+00:00,3.57,126.75,2,4.8,250 km S 35° E of Sarangani (Davao Ocidental),unspecified,unspecified
56,2015-03-14 17:36:00+00:00,6.34,126.54,49,2.3,062 km S 56° E of Governor Generoso (Davao Oriental),unspecified,unspecified
57,2015-03-14 14:37:00+00:00,16.95,119.96,64,4.6,048 km S 77° W of Luna (La Union),unspecified,unspecified
58,2015-03-13 20:46:00+00:00,9.95,126.35,15,3.5,032 km S 79° E of Burgos (Surigao Del Norte),unspecified,unspecified
59,2015-03-13 20:43:00+00:00,9.99,126.23,13,3.8,017 km S 79° E of Burgos (Surigao Del Norte),unspecified,unspecified
60,2015-03-13 06:24:00+00:00,10.01,126.41,12,3.5,037 km N 48° E of General Luna (Surigao Del Norte),unspecified,unspecified
61,2015-03-12 14:34:00+00:00,4.94,126.97,64,2.9,174 km S 72° E of Sarangani (Davao Occidental),unspecified,unspecified
62,2015-03-12 12:55:00+00:00,9.76,122.2,11,2.9,022 km N 90° W of Sipalay (Negros Occidental),unspecified,unspecified
63,2015-03-12 12:11:00+00:00,15.5,119.84,19,3.3,010 km N 48° W of Palauig (Zambales),unspecified,unspecified
64,2015-03-12 11:16:00+00:00,9.71,123.51,21,2.7,006 km S 28° W of Dalaguete (Cebu),unspecified,unspecified
65,2015-03-12 09:48:00+00:00,9.67,126.07,40,2.8,010 km S 11° E of Dapa (Dinagat),unspecified,unspecified
66,2015-03-11 12:11:00+00:00,6.88,124.92,28,3.1,011 km N 74° E of Tulunan (North Cotabato),unspecified,unspecified
67,2015-03-11 12:10:00+00:00,6.73,124.97,1,3.2,021 km S 48° E of Tulunan (North Cotabato),unspecified,unspecified
68,2015-03-11 12:07:00+00:00,6.78,125.02,6,3.5,023 km S 71° E of Tulunan (North Cotabato),unspecified,unspecified
69,2015-03-11 10:36:00+00:00,19.1,120.27,16,3.6,076 km N 32° W of Burgos (Ilocos Norte),unspecified,unspecified
70,2015-03-11 08:39:00+00:00,6.93,124.88,34,3.0,025 km S 45° E of Tulunan (North Cotabato),unspecified,unspecified
71,2015-03-11 06:47:00+00:00,13.7,120.54,98,2.1,017 km S 34° W of Calatagan (Batangas),unspecified,unspecified
72,2015-03-11 03:30:00+00:00,8.99,126.33,38,3.0,005 km N 68° E of Bayabas (Surigao Del Sur),unspecified,unspecified
73,2015-03-10 18:21:00+00:00,5.04,126.33,57,3.6,092 km S 65° E of Sarangani (Davao Occidental),unspecified,unspecified
74,2015-03-10 17:32:00+00:00,17.74,119.27,23,2.6,116 km N 84° W of Santa Catalina (Ilocos Sur),unspecified,unspecified
75,2015-03-10 16:16:00+00:00,5.38,126.23,10,3.2,085 km S 86° E of Sarangani (Davao Occidental),unspecified,unspecified
76,2015-03-10 12:50:00+00:00,6.71,125.36,7,3.4,006 km S 09° W of Digos City (Davao Del Sur),unspecified,unspecified
77,2015-03-10 03:57:00+00:00,6.64,125.31,17,3.4,015 km S 22° W of Digos City (Davao del Sur),unspecified,unspecified
78,2015-03-09 13:28:00+00:00,7.97,126.57,75,2.9,019 km S 67° E of Lingig (Surigao Del Sur),unspecified,unspecified
79,2015-03-09 00:07:00+00:00,8.24,126.44,19,4.1,014 km N 78° E of Bislig City (Surigao Del Sur),unspecified,unspecified
80,2015-03-08 22:25:00+00:00,8.09,123.02,8,3.1,017 km S 7° E of Sindangan (Zamboanga del Norte),unspecified,unspecified
81,2015-03-08 10:44:00+00:00,8.77,121.53,35,4.2,096 km S 22° E of Cagayancillo (Palawan),unspecified,unspecified
82,2015-03-07 22:53:00+00:00,13.16,124.12,10,4.7,046 km N 85° E of Legaspi City,unspecified,unspecified
83,2015-03-07 18:22:00+00:00,6.73,124.89,53,2.6,005 km S 60° E of Datu Paglas (Maguindanao),unspecified,unspecified
84,2015-03-07 16:38:00+00:00,5.26,125.92,81,4.7,053 km S 68° E of Sarangani (Davao Occidental),unspecified,unspecified
85,2015-03-07 10:45:00+00:00,5.2,125.19,54,3.4,084 km S 72° E of Sarangani (Davao Occidental),unspecified,unspecified
86,2015-03-07 02:23:00+00:00,4.78,125.67,9,2.9,076 km S 17° E of Sarangani (Davao Occidental),unspecified,unspecified
87,2015-03-07 00:47:00+00:00,7.26,126.77,22,3.0,024 km S 72° E of Caraga (Davao Oriental),unspecified,unspecified
88,2015-03-05 19:46:00+00:00,15.55,119.58,18,2.3,037 km N 70° W of Palauig (Zambales),unspecified,unspecified
89,2015-03-05 17:36:00+00:00,6.47,119.98,117,3.3,069 km N 75° W of Pangutaran (Sulu),unspecified,unspecified
90,2015-03-05 12:11:00+00:00,9.93,126.44,12,4.0,034 km N 63° E of General Luna (Surigao del Norte),unspecified,unspecified
91,2015-03-05 12:10:00+00:00,9.91,126.45,7,2.3,035 km N 67 E of General Luna (Surigao Del Norte),unspecified,unspecified
92,2015-03-05 10:18:00+00:00,7.43,123.09,53,3.6,012 km S 47 W of Vincenzo Sagun (Zamboanga Del Sur),unspecified,unspecified
93,2015-03-05 01:44:00+00:00,3.27,124.02,405,4.3,290 km S 34 W of Sarangani (Davao Occidental),unspecified,unspecified
94,2015-03-04 14:19:00+00:00,5.97,126.05,145,3.5,048 km N 78° E of Jose Abad Santos (Davao Occidental),unspecified,unspecified
95,2015-03-04 11:29:00+00:00,5.66,126.49,72,3.1,100 km S 76° E of Jose Abad Santos (Davao Occidental),unspecified,unspecified
96,2015-03-04 03:18:00+00:00,7.73,124.87,40,3.3,012 km S 83° E of Kailangan (Bukidnon),unspecified,unspecified
97,2015-03-03 21:11:00+00:00,6.04,127.02,194,3.8,125 km S 57° E of Governor Generoso (Davao Oriental),unspecified,unspecified
98,2015-03-03 20:33:00+00:00,14.75,120.05,27,3.2,022 km S 11° W of San Antonio (Zambales),unspecified,unspecified
99,2015-03-03 19:36:00+00:00,5.96,126.54,64,2.7,092 km S 34° E of Governor Generoso (Davao Oriental),unspecified,unspecified
100,2015-03-03 18:36:00+00:00,6.24,125.65,128,2.9,006 km N 51° W of Don Marcelino (Davao Occidental),unspecified,unspecified
101,2015-03-03 10:46:00+00:00,7.57,124.62,5,4.0,013 km N 49° W of Banisilan (North Cotabato),unspecified,unspecified
102,2015-03-03 04:27:00+00:00,3.9,126.63,10,3.7,211 km S 37° E of Sarangani (Davao Occidental),unspecified,unspecified
103,2015-03-02 21:55:00+00:00,9.85,126.37,11,3.4,025 km N 72° E of General Luna (Surigao Del Norte),unspecified,unspecified
104,2015-03-02 21:51:00+00:00,9.8,126.32,16,4.5,018 km N 83° E of General Luna (Surigao Del Norte),unspecified,unspecified
105,2015-03-02 16:32:00+00:00,6.46,126.9,66,3.7,081 km S 38° E of Tarrangona (Davao Oriental),unspecified,unspecified
106,2015-03-02 16:18:00+00:00,6.23,126.44,21,2.4,061 km S 41° E of Governor Generoso (Davao Oriental),unspecified,unspecified
107,2015-03-02 13:22:00+00:00,6.62,125.95,31,2.8,014 km S 77° W of Governor Generoso (Davao Oriental),unspecified,unspecified
108,2015-03-02 06:40:00+00:00,9.09,125.71,33,2.8,014 km N 74° E of Remedios Romualdez (Agusan Del Norte),unspecified,unspecified
109,2015-03-02 05:10:00+00:00,9.93,125.83,38,2.5,016 km N 68° W of Del Carmen (Surigao del Norte),unspecified,unspecified
110,2015-03-01 09:08:00+00:00,9.53,126.69,76,3.1,062 km N 63° E of Cortes (Surigao del Sur),unspecified,unspecified
111,2015-03-01 08:55:00+00:00,9.15,126.98,5,2.7,076 km N 75° E of Basabas (Surigao del Sur),unspecified,unspecified
