,datetime,lat,lon,depth_km,mag,location,mag_type,event_type
0,2015-11-30 14:42:00+00:00,13.82,120.59,50,2.8,005km S 75° W of Calatagan (Batangas),unspecified,unspecified
1,2015-11-30 10:46:00+00:00,12.31,123.63,1,2.3,004km S 47° W of Mobo (Masbate),unspecified,unspecified
2,2015-11-30 08:49:00+00:00,13.68,120.77,18,2.1,010km N 80° W of Tingloy (Batangas),unspecified,unspecified
3,2015-11-30 04:51:00+00:00,19.27,121.28,9,3.2,019km S 85° W of Calayan (Cagayan),unspecified,unspecified
4,2015-11-30 03:33:00+00:00,6.76,124.83,2,3.2,001km N 58° W of Datu Paglas (Maguindanao),unspecified,unspecified
5,2015-11-30 03:30:00+00:00,11.38,126.51,33,3.8,093km N 70° E of Mercedes (Eastern Samar),unspecified,unspecified
6,2015-11-29 12:29:00+00:00,13.85,120.59,68,2.5,006km N 65° W of Calatagan (Batangas),unspecified,unspecified
7,2015-11-29 01:51:00+00:00,3.85,126.23,27,4.2,194km S 26° E of Sarangani (Davao Occidental),unspecified,unspecified
8,2015-11-28 09:28:00+00:00,13.62,120.88,8,2.2,004km S 11° E of Tingloy (Batangas),unspecified,unspecified
9,2015-11-28 09:11:00+00:00,7.98,126.83,7,2.6,047km N 63° E of Cateel (Davao Oriental),unspecified,unspecified
10,2015-11-27 18:25:00+00:00,13.75,120.29,67,2.3,005km N 51° E of Looc (Occidental Mindoro),unspecified,unspecified
11,2015-11-27 17:35:00+00:00,13.32,125.09,14,4.2,097 km S 72° E of Virac (Catanduanes),unspecified,unspecified
12,2015-11-27 06:01:00+00:00,17.6,120.92,13,2.8,008 km N 66° W of Malibcong (Abra),unspecified,unspecified
13,2015-11-26 18:01:00+00:00,9.63,126.25,23,2.0,019 km S 32° E of General Luna (Surigao Del Norte),unspecified,unspecified
14,2015-11-26 14:47:00+00:00,13.82,120.49,25,2.3,015 km S 84° W of Calatagan (Batangas),unspecified,unspecified
15,2015-11-26 08:56:00+00:00,4.65,124.58,1,3.0,131 km S 49° W of Sarangani (Davao Occidental),unspecified,unspecified
16,2015-11-26 05:30:00+00:00,13.67,120.79,15,2.4,008 km N 82° W of Tingloy (Batangas),unspecified,unspecified
17,2015-11-25 16:02:00+00:00,9.62,122.12,22,3.1,035 km S 63° W of Sipalay (Negros Occidental),unspecified,unspecified
18,2015-11-25 11:23:00+00:00,4.34,125.78,120,5.0,125 km S 16° E of Sarangani (Davao Occidental),unspecified,unspecified
19,2015-11-25 10:55:00+00:00,10.47,126.48,3,2.8,067km N 42° E of Burgos (Surigao Del Norte),unspecified,unspecified
20,2015-11-25 09:21:00+00:00,13.82,119.75,18,2.4,040km S 85° W of Lubang (Occidental Mindoro),unspecified,unspecified
21,2015-11-24 12:37:00+00:00,13.64,120.17,29,2.3,013km S 42° W of Looc (Occidental Mindoro),unspecified,unspecified
22,2015-11-24 12:33:00+00:00,9.88,124.09,14,3.0,004km S 11° W of Sagbayan (Borja) (Bohol),unspecified,unspecified
23,2015-11-24 08:36:00+00:00,9.91,124.12,13,4.0,002km S 75° E of Sagbayan (Borja) (Bohol),unspecified,unspecified
24,2015-11-24 02:57:00+00:00,13.46,120.44,5,2.6,006km N 31° W of Paluan (Occidental Mindoro),unspecified,unspecified
25,2015-11-24 00:55:00+00:00,16.97,122.8,17,3.5,040km S 76° E of Palanan (Isabela),unspecified,unspecified
26,2015-11-23 16:10:00+00:00,16.13,122.0,24,2.8,005km S 74° E of Dinalungan (Aurora),unspecified,unspecified
27,2015-11-23 15:25:00+00:00,20.0,121.01,33,2.5,093km N 31° W of Calayan (Cagayan),unspecified,unspecified
