,datetime,lat,lon,depth_km,mag,location,mag_type,event_type
0,2015-10-31 14:40:00+00:00,15.92,120.83,19,2.6,001 km S 48° W of Umingan (Pangasinan),unspecified,unspecified
1,2015-10-31 14:14:00+00:00,15.44,120.67,33,2.1,010 km S 56° E of Tarlac City (Tarlac),unspecified,unspecified
2,2015-10-30 06:58:00+00:00,12.58,125.9,84,4.9,062 km N 44° E of San Policarpo (Eastern Samar),unspecified,unspecified
3,2015-10-29 22:04:00+00:00,14.74,119.4,32,3.3,078 km S 73° W of San Antonio (Zambales),unspecified,unspecified
4,2015-10-29 20:32:00+00:00,13.79,120.75,32,2.5,014 km S 69° E of Calatagan (Batangas),unspecified,unspecified
5,2015-10-29 19:48:00+00:00,13.64,124.15,39,2.7,010 km N 57° W of Virac (Catanduanes),unspecified,unspecified
6,2015-10-29 19:33:00+00:00,13.79,120.76,32,2.4,015 km S 72° E of Calatagan (Batangas),unspecified,unspecified
7,2015-10-29 19:13:00+00:00,13.61,120.52,21,2.3,011 km S 49° W of Mamburao (Occidental Mindoro),unspecified,unspecified
8,2015-10-29 13:31:00+00:00,12.22,123.85,27,3.6,003 km N 16° W of Dimasalang (Masbate),unspecified,unspecified
9,2015-10-29 07:59:00+00:00,9.38,122.24,23,3.7,035 km S 56° W of Hinoba-an (Negros Occidental),unspecified,unspecified
10,2015-10-29 05:14:00+00:00,5.32,126.97,46,3.7,163 km S 67° E of Jose Abad Santos (Davao Occidental),unspecified,unspecified
11,2015-10-29 01:59:00+00:00,13.57,120.2,32,2.7,018 km S 17° W of Looc (Occidental Mindoro),unspecified,unspecified
12,2015-10-28 17:50:00+00:00,9.65,125.64,1,2.3,004 km N 80° E of Placer (Surigao Del Norte),unspecified,unspecified
13,2015-10-28 16:40:00+00:00,13.63,120.79,20,2.2,009 km S 70° W of Tingloy (Batangas),unspecified,unspecified
14,2015-10-27 13:23:00+00:00,8.94,125.67,98,2.4,016 km S 85° E of Butuan City (Agusan del Norte),unspecified,unspecified
15,2015-10-27 03:49:00+00:00,5.18,126.48,98,4.1,115 km S 76° E of Sarangani (Davao Occidental),unspecified,unspecified
16,2015-10-27 02:32:00+00:00,6.18,125.62,64,4.9,008 km S 75° W  of Don Marcelino (Davao Occidental),unspecified,unspecified
17,2015-10-26 18:21:00+00:00,13.1,120.62,37,3.0,011 km N 76° W of Santa Cruz (Occidental Mindoro),unspecified,unspecified
18,2015-10-26 16:54:00+00:00,9.04,125.46,8,2.7,006 km N 74° W of Magallanes (Agusan del Norte),unspecified,unspecified
19,2015-10-26 16:52:00+00:00,17.44,120.42,17,2.7,005 km N 76° W of Narvacan (Ilocos Sur),unspecified,unspecified
20,2015-10-26 11:10:00+00:00,13.41,124.21,5,3.6,019 km S 8° W of Virac (Catanduanes),unspecified,unspecified
21,2015-10-26 10:42:00+00:00,13.21,120.28,2,3.0,030 km S 42° W of Paluan (Occidental Mindoro),unspecified,unspecified
22,2015-10-26 10:30:00+00:00,13.27,120.42,2,2.8,016 km S 20° W of Paluan (Occidental Mindoro),unspecified,unspecified
23,2015-10-26 05:52:00+00:00,7.64,124.12,33,3.3,003 km S 53° W of Marogong (Lanao Del Sur),unspecified,unspecified
24,2015-10-26 01:21:00+00:00,17.88,120.62,36,2.8,009 km S 50° W of Nueva Era (Ilocos Norte),unspecified,unspecified
25,2015-10-25 16:40:00+00:00,13.32,124.57,14,3.9,043 km S 42° E of Bato (Catanduanes),unspecified,unspecified
26,2015-10-25 13:02:00+00:00,7.35,126.67,33,2.8,012 km N 79° E of Caraga (Davao Oriental),unspecified,unspecified
27,2015-10-25 10:18:00+00:00,13.69,120.18,20,2.6,009 km S 66° W of Looc (Occidental Mindoro),unspecified,unspecified
28,2015-10-25 07:03:00+00:00,13.7,120.83,17,2.5,006 km N 44° W of Tingloy (Batangas),unspecified,unspecified
29,2015-10-24 22:09:00+00:00,2.67,123.98,5,4.0,347 km S 28° W of Sarangani (Davao Occiental),unspecified,unspecified
30,2015-10-24 17:22:00+00:00,13.4,121.02,1,2.4,004 km S 06° E of San Teodoro (Oriental Mindoro),unspecified,unspecified
31,2015-10-24 15:14:00+00:00,12.95,124.65,9,3.1,043 km N 47° E of Biri (Northern Samar),unspecified,unspecified
32,2015-10-24 13:52:00+00:00,10.93,125.23,23,3.5,019 km S 06° E of Marabut (Western Samar),unspecified,unspecified
33,2015-10-24 13:19:00+00:00,12.85,123.42,44,4.0,019 km S 74° E of Claveria (Masbate),unspecified,unspecified
34,2015-10-24 10:25:00+00:00,12.94,124.94,15,3.8,041 km N 12° W of Laoang (Northern Samar),unspecified,unspecified
35,2015-10-24 10:00:00+00:00,13.27,125.19,30,3.4,080 km N 14° E of Laoang (Northern Samar),unspecified,unspecified
36,2015-10-24 09:11:00+00:00,13.07,124.78,30,4.0,062 km N 46° E of Biri (Northern Samar),unspecified,unspecified
37,2015-10-24 05:44:00+00:00,16.22,122.43,8,2.8,030 km S 51° E of Dilasag (Aurora),unspecified,unspecified
38,2015-10-23 23:41:00+00:00,11.86,126.02,6,3.9,061 km S 71° E of Dolores (Eastern Samar),unspecified,unspecified
39,2015-10-23 22:43:00+00:00,12.03,126.15,12,3.6,072 km S 77° E of San Policarpo (Eastern Samar),unspecified,unspecified
40,2015-10-23 21:21:00+00:00,5.7,126.68,10,3.5,136 km S 39° E of Governor Generoso (Davao Oriental),unspecified,unspecified
41,2015-10-23 21:06:00+00:00,13.13,120.34,3,2.1,030 km S 68° W of Mamburao (Occidental Mindoro),unspecified,unspecified
42,2015-10-23 16:46:00+00:00,5.01,125.49,39,3.3,047 km S 02° E of Sarangani (Davao Occidental),unspecified,unspecified
43,2015-10-23 15:03:00+00:00,13.55,121.0,3,2.3,007 km N 41° E of Puerto Galera (Oriental Mindoro),unspecified,unspecified
44,2015-10-23 13:59:00+00:00,11.74,126.07,6,4.0,067 km N 46° E of Hernani (Eastern Samar),unspecified,unspecified
45,2015-10-23 06:02:00+00:00,16.32,120.09,19,2.0,023 km S 70° E of Bolinao (Pangasinan),unspecified,unspecified
46,2015-10-23 01:10:00+00:00,16.29,119.92,22,3.4,011 km S 14° E of Bolinao (Pangasinan),unspecified,unspecified
47,2015-10-22 15:38:00+00:00,12.31,124.15,9,3.0,009 km N 55° E of San Vicente (Northern Samar),unspecified,unspecified
48,2015-10-22 12:25:00+00:00,13.72,120.88,26,2.2,007 km N 09° E of Tingloy (Batangas),unspecified,unspecified
49,2015-10-22 07:50:00+00:00,19.09,121.56,24,2.8,024 km S 26° E of Calayan (Cagayan),unspecified,unspecified
50,2015-10-22 06:28:00+00:00,19.05,121.28,10,2.8,032 km S 38° W of Calayan (Cagayan),unspecified,unspecified
51,2015-10-22 06:02:00+00:00,3.46,124.62,4,4.7,238 km S 23° W of Sarangani (Davao Occidental),unspecified,unspecified
52,2015-10-22 04:44:00+00:00,17.73,122.07,28,2.8,028 km N 82° E of Penablanca (Cagayan),unspecified,unspecified
53,2015-10-21 23:18:00+00:00,13.69,120.77,15,2.1,011 km N 74° W of Tingloy (Batangas),unspecified,unspecified
54,2015-10-21 13:20:00+00:00,19.17,121.28,26,3.0,023 km S 58° W of Calayan (Cagayan),unspecified,unspecified
55,2015-10-21 11:33:00+00:00,4.67,126.14,30,3.9,112 km S 41° E of Sarangani (Davao Occidental),unspecified,unspecified
56,2015-10-21 08:24:00+00:00,17.55,120.64,4,2.3,006 km S 37° E of Bangued (Abra),unspecified,unspecified
57,2015-10-20 23:58:00+00:00,5.68,126.1,33,4.0,58 km S 68° E of Jose Abad Santos (Davao Occidental),unspecified,unspecified
58,2015-10-20 09:21:00+00:00,9.36,126.31,27,3.4,016 km N 53° E of Cortes (Surigao Del Sur),unspecified,unspecified
59,2015-10-19 19:12:00+00:00,8.56,125.88,18,3.4,004 km S 66° W of Prosperidad (Agusan del S/ur),unspecified,unspecified
60,2015-10-19 19:03:00+00:00,8.58,126.2,1,3.1,010 km N 57° E of Barobo (Surigao del Sur),unspecified,unspecified
61,2015-10-19 17:45:00+00:00,12.68,121.07,26,2.0,017 km N 51° E of Calintaan (Occidental Mindoro),unspecified,unspecified
62,2015-10-19 16:53:00+00:00,4.56,125.58,164,3.0,097 km S 07° E of Sarangani (Davao Occidental),unspecified,unspecified
63,2015-10-19 13:50:00+00:00,13.85,120.38,104,5.8,020 km N 45° E of Looc (Occidental Mindoro),unspecified,unspecified
64,2015-10-19 10:45:00+00:00,11.0,125.45,25,2.7,014 km S 28° W of Balangiga (Eastern Samar),unspecified,unspecified
65,2015-10-19 00:10:00+00:00,13.73,120.94,32,2.1,002 km S 03° W of Mabini (Batangas),unspecified,unspecified
66,2015-10-18 22:28:00+00:00,11.34,124.58,15,2.6,008 km N 57° E of Capoocan (Leyte),unspecified,unspecified
67,2015-10-18 18:08:00+00:00,10.34,126.89,15,3.6,097 km N 68° E of Burgos (Surigao Del Norte),unspecified,unspecified
68,2015-10-18 10:04:00+00:00,6.75,126.58,33,2.7,036 km S 25° E of Tarragona (Davao Oriental),unspecified,unspecified
69,2015-10-17 21:24:00+00:00,4.58,125.93,164,3.4,107 km S 28° E of Sarangani (Davao Occidental),unspecified,unspecified
70,2015-10-17 14:06:00+00:00,5.89,126.46,33,3.3,092 km S 68° E of Don Marcelino (Davao Occidental),unspecified,unspecified
71,2015-10-17 00:10:00+00:00,11.34,124.56,18,2.5,009 km S 67° E of Leyte (Leyte),unspecified,unspecified
72,2015-10-16 23:43:00+00:00,4.04,125.6,10,4.1,155 km S 05° E of Sarangani (Davao Occidental),unspecified,unspecified
73,2015-10-16 20:03:00+00:00,10.11,126.57,9,2.8,056 km N 80° E of Burgos (Surigao del Norte),unspecified,unspecified
74,2015-10-16 17:46:00+00:00,13.53,120.88,17,2.4,009 km N 67° W of Puerto Galera (Oriental Mindoro),unspecified,unspecified
75,2015-10-16 09:22:00+00:00,14.25,120.38,112,2.6,024 km S 28° W of Mariveles (Bataan),unspecified,unspecified
76,2015-10-16 07:33:00+00:00,12.54,125.43,18,3.9,021 km N 70° E of Mapanas (Northern Samar),unspecified,unspecified
77,2015-10-16 07:25:00+00:00,9.8,123.85,15,2.8,005 km N 71° W of Antequera (Bohol),unspecified,unspecified
78,2015-10-15 20:37:00+00:00,5.46,127.4,127,4.7,197 km S 48° E of Governor Generoso (Davao Oriental),unspecified,unspecified
79,2015-10-15 10:50:00+00:00,7.84,121.55,32,3.5,065 km N 77° W of Siocon (Zamboanga Del Norte),unspecified,unspecified
80,2015-10-15 04:04:00+00:00,13.52,120.94,3,2.2,003 km N 51° W of Puerto Galera (Oriental Mindoro),unspecified,unspecified
81,2015-10-15 00:05:00+00:00,11.35,124.65,23,3.2,006 km N 07° E of Capoocan (Leyte),unspecified,unspecified
82,2015-10-14 21:00:00+00:00,11.64,124.32,15,4.2,006 km S 34° W of Kawayan (Biliran),unspecified,unspecified
83,2015-10-14 14:50:00+00:00,7.36,125.14,3,3.2,009 km N 28° E of Antipas (North Cotabato),unspecified,unspecified
84,2015-10-14 12:18:00+00:00,8.33,126.61,14,3.1,030 km S 82° E of Hinatuan (Surigao del Sur),unspecified,unspecified
85,2015-10-14 07:09:00+00:00,16.64,119.8,34,3.1,029 km N 20° W of Bolinao (Pangasinan),unspecified,unspecified
