,datetime,lat,lon,depth_km,mag,location,mag_type,event_type
0,2015-09-30 10:45:00+00:00,16.45,120.57,34,2.8,004 km S 87° E of Kapangan (Benguet),unspecified,unspecified
1,2015-09-30 09:30:00+00:00,13.64,120.56,28,2.3,022 km S 20° W of Calatagan (Batangas),unspecified,unspecified
2,2015-09-30 04:13:00+00:00,9.17,126.33,22,3.5,018 km N 56° E of Tandag (Surigao del Sur),unspecified,unspecified
3,2015-09-29 19:58:00+00:00,8.55,126.35,8,3.4,020 km N 05° E of Hinatuan (Surigao del Sur),unspecified,unspecified
4,2015-09-29 19:09:00+00:00,13.54,120.38,28,2.2,017 km N 32° W of Paluan (Occidental Mindoro),unspecified,unspecified
5,2015-09-29 17:43:00+00:00,6.39,125.41,9,3.5,020 km S 18° W of Santa Cruz (Davao del Sur),unspecified,unspecified
6,2015-09-29 13:12:00+00:00,13.08,121.24,7,2.4,014 km S 18° W of Victoria (Oriental Mindoro),unspecified,unspecified
7,2015-09-29 11:45:00+00:00,11.1,125.54,28,3.9,015 km S 66° W of Salcedo (Eastern Samar),unspecified,unspecified
8,2015-09-29 03:18:00+00:00,18.24,121.09,22,2.0,007 km S 75° E of Bayag (Calanasan) (Apayao),unspecified,unspecified
9,2015-09-28 17:40:00+00:00,11.37,124.53,19,2.6,005 km N 86° E of Leyte (Leyte),unspecified,unspecified
10,2015-09-28 16:38:00+00:00,7.49,125.46,13,2.5,021 km S 69° W of Kapalong (Davao del Norte),unspecified,unspecified
11,2015-09-28 04:50:00+00:00,13.26,120.17,20,2.5,037 km S 62° W of Paluan (Occidental Mindoro),unspecified,unspecified
12,2015-09-28 00:39:00+00:00,7.78,125.63,87,3.9,055 km N 71° E of New Bataan (Compostela Valley),unspecified,unspecified
13,2015-09-27 05:43:00+00:00,9.66,126.05,9,3.1,008 km N 55° E of Socorro (Surigao Del Norte),unspecified,unspecified
14,2015-09-27 03:01:00+00:00,12.75,121.92,8,4.4,015 km S 72° W of Corcuera (Romblon),unspecified,unspecified
15,2015-09-27 01:36:00+00:00,10.26,126.85,33,2.8,090 km N 73° E of Burgos (Surigao Del Norte),unspecified,unspecified
16,2015-09-26 17:23:00+00:00,5.14,124.15,480,5.0,107 km S 29° W of Kiamba (Sarangani),unspecified,unspecified
17,2015-09-26 03:37:00+00:00,5.77,126.26,116,3.0,073 km S 80° E of Jose Abad Santos(Davao Occidental),unspecified,unspecified
18,2015-09-25 23:23:00+00:00,10.0,126.15,23,2.7,009 km S 77° E of Burgos (Surigao Del Norte),unspecified,unspecified
19,2015-09-25 21:10:00+00:00,15.24,120.08,14,3.5,015 km S 47° E of Iba (Zambales),unspecified,unspecified
20,2015-09-25 17:44:00+00:00,17.72,122.3,56,3.0,042 km N 01° W of Divilican (Isabela),unspecified,unspecified
