,datetime,lat,lon,depth_km,mag,location,mag_type,event_type
0,2016-02-29 12:42:58+00:00,7.2,126.74,21,3.9,022 km S 87°E of Manay (Davao Oriental),Ms,TECTONIC
1,2016-02-29 12:29:53+00:00,4.86,122.92,71,4.0,184 km S 46°W of Palimbang (Sultan Kudarat),Ms,TECTONIC
2,2016-02-29 09:20:01+00:00,10.03,122.51,10,2.4,014 km N 63°W of Cauayan (Negros Occidental),Ms,TECTONIC
3,2016-02-29 05:13:54+00:00,18.92,121.55,16,2.8,042 km S 13°E of Calayan (Cagayan),Ms,TECTONIC
4,2016-02-29 05:12:16+00:00,10.78,125.96,4,3.5,039 km S 69°E of Guiuan (Eastern Samar),Ms,TECTONIC
5,2016-02-29 03:22:14+00:00,13.6,120.77,55,2.4,013 km S 56°W of Tingloy (Batangas),Ms,TECTONIC
6,2016-02-29 01:54:56+00:00,14.57,120.07,33,2.0,025 km N 59°W of Morong (Bataan),Ms,TECTONIC
7,2016-02-28 21:01:55+00:00,9.72,124.72,23,4.1,016 km S 80°E of Anda (Bohol),Ms,TECTONIC
8,2016-02-28 19:52:49+00:00,17.63,120.61,26,2.3,004 km N 06°E of Bangued (Abra),Ms,TECTONIC
9,2016-02-28 14:12:12+00:00,18.14,120.18,28,3.0,034 km N 67°W of Currimao (Ilocos Norte),Ms,TECTONIC
10,2016-02-28 09:06:26+00:00,5.18,125.34,188,5.6,031 km S 27°W of Sarangani (Davao Occidental),Ms,TECTONIC
11,2016-02-28 08:12:51+00:00,15.04,120.07,29,2.4,002 km S 13°W of San Felipe (Zambales),Ms,TECTONIC
12,2016-02-28 08:12:19+00:00,11.04,124.65,11,2.4,006 km N 51°E of Ormoc City (Leyte),Ms,TECTONIC
13,2016-02-28 07:59:48+00:00,17.06,120.88,9,2.8,011 km S 65°W of Bontoc (Mountain Province),Ms,TECTONIC
14,2016-02-27 17:47:19+00:00,14.57,120.05,27,3.1,027 km S 62°W of Morong (Bataan),Ms,TECTONIC
15,2016-02-27 14:43:25+00:00,6.36,124.77,7,3.4,003 km N 85°E of Surallah (South Cotobato),Ms,TECTONIC
16,2016-02-27 13:03:08+00:00,13.65,120.62,116,2.3,025 km N 29°W of Abra de Ilog (Occidental Mindoro),Ms,TECTONIC
17,2016-02-27 07:45:52+00:00,7.05,125.57,1,2.1,004 km S 73°W of Davao City (Davao Del Sur),Ms,TECTONIC
18,2016-02-27 03:31:07+00:00,3.47,124.76,252,4.5,231 km S 20°W of Sarangani (Davao Occidental),Ms,TECTONIC
19,2016-02-26 19:51:02+00:00,7.19,126.66,47,4.7,014 km S 81°E of Manay (Davao Oriental),Ms,TECTONIC
20,2016-02-26 17:58:06+00:00,9.95,126.17,19,2.3,093 km N 78°E of San Isidro (Surigao Del Norte),Ms,TECTONIC
21,2016-02-26 14:37:39+00:00,13.13,122.59,6,2.5,023 km S 27°W of San Andres (Quezon),Ms,TECTONIC
22,2016-02-25 05:10:36+00:00,10.19,122.1,15,3.8,032 km S 36° E of Anini-y (Antique),Ms,TECTONIC
23,2016-02-25 05:02:51+00:00,10.22,122.11,9,3.2,031 km S 40° E of Anini-y (Antique),Ms,TECTONIC
24,2016-02-24 20:35:42+00:00,12.26,123.79,8,3.0,004 km N 05° E of Uson (Masbate),Ms,TECTONIC
25,2016-02-24 20:22:17+00:00,12.27,123.82,9,3.4,006 km N 35° E of Uson (Masbate),Ms,TECTONIC
26,2016-02-24 20:08:23+00:00,14.64,120.11,28,3.4,018 km S 72° W of Morong (Bataan),Ms,TECTONIC
27,2016-02-24 17:13:15+00:00,16.14,119.85,17,3.9,005 km S 17° W of Bani (Pangasinan),Ms,TECTONIC
28,2016-02-24 12:33:20+00:00,13.59,120.86,9,2.5,008 km S 10° W of Tingloy (Batangas),Ms,TECTONIC
29,2016-02-24 07:16:17+00:00,6.03,126.72,15,3.1,092 km S 466° E of Governor Generoso (Davao Oriental),Ms,TECTONIC
30,2016-02-24 05:40:26+00:00,10.99,121.66,44,3.1,038 km N 78° W of Patnongon (Antique),Ms,TECTONIC
31,2016-02-24 00:46:44+00:00,15.62,121.13,18,2.8,003 km S 50° W of Bongabon (Nueva Ecija),Ms,TECTONIC
32,2016-02-23 18:56:23+00:00,17.6,120.55,19,2.3,006 km N 79° W of Bangued (Abra),Ms,TECTONIC
33,2016-02-23 17:30:08+00:00,10.11,123.25,3,2.9,003 km S 79° W of Guihulngan (Negors Oriental),Ms,TECTONIC
34,2016-02-22 22:37:22+00:00,17.54,119.53,20,2.6,087 km S 87° W of Santa Catalina (Ilocos Sur),Ms,TECTONIC
35,2016-02-22 22:37:22+00:00,9.14,126.36,30,2.3,019 km N 70° E of Tandag (Surigao Del Sur),Ms,TECTONIC
36,2016-02-22 16:04:25+00:00,14.84,123.56,73,3.1,103 km N 39° E of Daet (Camarines Norte),Ms,TECTONIC
37,2016-02-22 13:38:57+00:00,13.89,120.45,91,4.4,021 km N 73° W of Calatagan (Batangas),Ms,TECTONIC
38,2016-02-22 05:09:07+00:00,16.11,119.78,6,3.4,001 km S 73° W of Agno (Pangasinan),Ms,TECTONIC
39,2016-02-22 04:42:48+00:00,13.6,120.91,29,2.4,008 km S 34° E of Tingloy (Batangas),Ms,TECTONIC
40,2016-02-22 02:30:17+00:00,19.02,121.24,13,2.8,037 km S 38° W of Calayan (Cagayan),Ms,TECTONIC
41,2016-02-22 00:49:52+00:00,18.12,120.53,31,3.2,008 km N 24° W of Batac (Ilocos Norte),Ms,TECTONIC
42,2016-02-21 20:58:01+00:00,15.29,120.22,3,2.9,021 km S 89° E of Botolan (Zambales),Ms,TECTONIC
43,2016-02-21 16:24:45+00:00,14.73,123.33,15,3.2,077 km N 50° E of Paracale (Camarines Norte),Ms,TECTONIC
44,2016-02-21 15:11:12+00:00,15.03,121.99,1,2.8,020 km N 08° E of Burdeos (Quezon),Ms,TECTONIC
45,2016-02-21 13:51:27+00:00,14.08,119.9,31,2.4,035 km N 43° W of Lubang (Occidental Mindoro),Ms,TECTONIC
46,2016-02-21 07:35:23+00:00,11.81,126.29,20,2.8,091 km S 74° E of Dolores (Eastern Samar),Ms,TECTONIC
47,2016-02-21 02:29:04+00:00,6.87,126.76,30,3.6,039 km S 61° E of Tarragona (Davao Oriental),Ms,TECTONIC
48,2016-02-21 01:25:07+00:00,11.45,126.75,82,4.1,121 km N 68° E of Guiuan (Eastern Samar),Ms,TECTONIC
