,datetime,lat,lon,depth_km,mag,location,mag_type,event_type
0,2016-07-31 14:42:57+00:00,9.77,124.49,16,2.2,001 km N 16° E of Guindulman (Bohol),Ms,TECTONIC
1,2016-07-31 10:30:19+00:00,5.5,127.25,113,3.7,182 km S 46° E of Governor Generoso (Davao Oriental),Ms,TECTONIC
2,2016-07-31 08:15:08+00:00,12.42,125.1,32,3.1,006 km N 74° E of Catubig (Northern Samar),Ms,TECTONIC
3,2016-07-31 07:33:48+00:00,10.03,122.12,9,2.5,043 km N 47° W of Sipalay (Negros Occidental),Ms,TECTONIC
4,2016-07-31 00:22:35+00:00,15.56,119.95,36,2.0,008 km S 19° E of Candelaria (Zambales),Ms,TECTONIC
5,2016-07-29 14:16:19+00:00,5.72,126.57,20,4.3,107 km S 80° E of Jose Abad Santos (Davao Occidental),Ms,TECTONIC
6,2016-07-29 14:16:19+00:00,8.2,126.24,136,3.9,009 km S 78° W of Bislig City (Surigao del Sur),Ms,TECTONIC
7,2016-07-29 14:16:19+00:00,19.05,120.74,10,3.7,052 km N 06° W of Pagudpud (Ilocos Norte),Ms,TECTONIC
8,2016-07-29 14:16:19+00:00,5.82,126.59,72,2.9,108 km S 32° E of Governor Generoso (Davao Oriental),Ms,TECTONIC
9,2016-07-29 14:16:19+00:00,13.77,120.51,112,2.7,015 km S 64° W of Calatagan (Batangas),Ms,TECTONIC
10,2016-07-29 14:16:19+00:00,7.66,124.42,4,3.2,018 km S 57° E of Butig (Lanao Del Sur),Ms,TECTONIC
11,2016-07-29 14:16:19+00:00,14.09,120.9,10,2.3,006 km N 40° W of Laurel (Batangas),Ms,TECTONIC
12,2016-07-29 14:16:19+00:00,10.22,125.46,33,2.5,020 km S 38° W of Loreto (Dinagat),Ms,TECTONIC
13,2016-07-29 14:16:19+00:00,6.62,126.28,27,2.4,022 km S 83° E of Governor Generoso (Davao Oriental),Ms,TECTONIC
14,2016-07-29 14:16:19+00:00,15.15,119.8,33,2.9,027 km S 87° W of Cabangan (Zambales),Ms,TECTONIC
15,2016-07-29 14:16:19+00:00,17.09,120.21,35,2.1,031 km N 47° W of Bangar (La Union),Ms,TECTONIC
16,2016-07-29 14:16:19+00:00,6.44,126.15,25,2.6,024 km S 19° E of Governor Generoso (Davao Oriental),Ms,TECTONIC
17,2016-07-29 14:16:19+00:00,18.98,120.83,10,2.5,045 km N 04° E of Pagudpud (Ilocos Norte),Ms,TECTONIC
18,2016-07-29 14:16:19+00:00,14.09,120.69,1,2.1,006 km N 38° E of Lian (Batangas),Ms,TECTONIC
19,2016-07-29 14:16:19+00:00,9.31,126.36,27,2.3,018 km N 78° E of Cortes (Surigao Del Sur),Ms,TECTONIC
20,2016-07-29 14:16:19+00:00,13.71,120.45,31,2.1,022 km S 85° E of Looc (Occidental Mindoro),Ms,TECTONIC
21,2016-07-29 14:16:19+00:00,14.72,120.03,21,2.1,026 km N 81° W of Morong (Bataan),Ms,TECTONIC
22,2016-07-29 14:16:19+00:00,11.2,122.28,27,2.4,027 km N 52° W of Lambunao (Iloilo),Ms,TECTONIC
23,2016-07-29 13:07:39+00:00,15.1,119.97,22,2.5,011 km S 52° W of Cabangan (Zambales),Ms,TECTONIC
24,2016-07-29 13:03:59+00:00,9.68,12377.0,29,2.0,015 km S 11° W of Loon (Bohol),Ms,TECTONIC
25,2016-07-29 12:59:30+00:00,13.59,120.66,65,2.0,017 km N 26° W of Abra de Ilog (Occidental Mindoro),Ms,TECTONIC
26,2016-07-29 03:46:53+00:00,14.04,120.41,117,2.6,023 km S 79° W of Nasugbu (Batangas),Ms,TECTONIC
27,2016-07-29 02:57:39+00:00,17.79,121.08,1,3.2,018 km N 80° E of Tineg (Abra),Ms,TECTONIC
