,datetime,lat,lon,depth_km,mag,location,mag_type,event_type
0,2016-10-31 15:26:58+00:00,13.79,120.24,33,2.1,014km S 62° E of Lubang (Occidental Mindoro),Ms,TECTONIC
1,2016-10-31 15:20:43+00:00,10.09,126.27,15,3.3,023km N 70° E of Burgos (Surigao Del Norte),Ms,TECTONIC
2,2016-10-31 15:01:27+00:00,6.95,125.9,12,2.7,013km S 86° W of Banaybanay (Davao Oriental),Ms,TECTONIC
3,2016-10-31 07:52:28+00:00,6.82,125.96,24,2.5,011km S 33° W of Lupon (Davao Oriental),Ms,TECTONIC
4,2016-10-31 05:26:49+00:00,9.88,122.8,31,2.2,018km S 57° W of Mabinay (Negros Oriental),Ms,TECTONIC
5,2016-10-31 03:34:11+00:00,8.26,125.67,24,2.1,017km S 70° W of La Paz (Agusan del Sur),Ms,TECTONIC
6,2016-10-31 03:11:14+00:00,6.41,125.41,6,2.4,022km S 90° W of Malita (Davao Occidental),Ms,TECTONIC
7,2016-10-31 02:38:09+00:00,10.68,122.59,26,2.3,002km S 07° E of Jordan (Guimaras),Ms,TECTONIC
8,2016-10-30 23:39:13+00:00,9.66,122.63,27,2.2,018km S 12° E of Candoni (Negros Occidental),Ms,TECTONIC
9,2016-10-30 22:19:01+00:00,14.93,118.58,19,2.5,153km S 68° W of Palauig (Zambales),Ms,TECTONIC
10,2016-10-30 22:06:45+00:00,13.77,120.47,107,2.5,019km S 69° W of Calatagan (Batangas),Ms,TECTONIC
11,2016-10-30 20:09:56+00:00,6.61,126.32,16,2.5,027km S 79° E of Governor Generoso (Davao Oriental),Ms,TECTONIC
12,2016-10-30 16:48:25+00:00,5.58,126.95,15,3.5,153km S 39° E of Governor Generoso (Davao Oriental),Ms,TECTONIC
13,2016-10-30 16:44:08+00:00,12.95,125.23,33,2.1,047km N 16° E of Palapag (Northern Samar),Ms,TECTONIC
14,2016-10-30 15:38:55+00:00,10.2,125.14,23,2.5,005km N 27° E of Liloan (Southern Leyte),Ms,TECTONIC
15,2016-10-30 13:06:51+00:00,8.26,125.8,20,2.1,010km N 30° W of Loreto (Agusan Del Sur),Ms,TECTONIC
16,2016-10-30 06:14:11+00:00,14.96,122.63,4,2.4,039km N 46° E of Jomalig (Quezon),Ms,TECTONIC
17,2016-10-29 23:31:56+00:00,12.79,123.14,36,3.3,017km S 46° W of Claveria (Masbate),Ms,TECTONIC
18,2016-10-29 16:53:02+00:00,13.81,119.78,18,2.0,037km S 83° W of Lubang (Occidental Mindoro),Ms,TECTONIC
19,2016-10-29 16:13:54+00:00,11.25,125.72,31,3.2,014km S 53° E of Hernani (Eastern Samar),Ms,TECTONIC
20,2016-10-29 16:08:58+00:00,9.94,122.72,5,2.1,011km S 71° E of Cauayan (Negros Occidental),Ms,TECTONIC
21,2016-10-29 07:44:39+00:00,13.71,120.63,104,2.0,014km S 01° W of Calatagan (Batangas),Ms,TECTONIC
22,2016-10-29 02:34:28+00:00,15.65,119.92,28,2.0,002km N 25° W of Candelaria (Zambales),Ms,TECTONIC
23,2016-10-29 02:16:13+00:00,7.43,126.2,34,2.7,015km N 34° E of Maragusan (San Mariano) (Compostella Valley),Ms,TECTONIC
24,2016-10-28 20:34:11+00:00,13.85,120.39,55,1.3,029km S 89° E of Lubang (Occidental Mindoro),Ms,TECTONIC
25,2016-10-28 20:14:53+00:00,12.23,126.31,13,2.9,082km N 88° E of San Policarpio (Eastern Samar),Ms,TECTONIC
26,2016-10-28 17:53:59+00:00,9.39,126.18,27,2.0,013km N 07° W of Cortes (Surigao Del Sur),Ms,TECTONIC
27,2016-10-28 17:32:14+00:00,10.39,124.21,10,2.1,023km S 73° E of Compostela (Cebu),Ms,TECTONIC
28,2016-10-28 17:07:21+00:00,15.43,120.34,29,2.3,024km S 88° W of San Jose (Tarlac),Ms,TECTONIC
29,2016-10-28 13:01:32+00:00,11.07,124.59,12,2.0,008km N 15° W of Ormoc City (Leyte),Ms,TECTONIC
30,2016-10-28 09:18:40+00:00,13.64,120.61,46,2.6,022km S 07° W of Calatagan (Batangas),Ms,TECTONIC
31,2016-10-28 09:07:18+00:00,7.36,126.35,21,1.9,024km N 82° W of Caraga (Davao Oriental),Ms,TECTONIC
32,2016-10-28 04:34:06+00:00,8.08,126.76,49,3.8,039km N 83° E of Lingig (Surigao del Sur),Ms,TECTONIC
33,2016-10-27 20:17:26+00:00,6.57,126.12,29,1.9,011km S 30° E of Governor Generoso (Davao Oriental),Ms,TECTONIC
34,2016-10-27 18:30:24+00:00,10.45,124.52,1,2.3,062km s 09° W of Ormoc City (Leyte),Ms,TECTONIC
35,2016-10-27 12:08:21+00:00,5.7,127.27,15,3.6,169km S 51° E of Governor Generoso (Davao Oriental),Ms,TECTONIC
36,2016-10-27 09:12:37+00:00,6.86,126.06,26,2.7,026km S 65° E of Lupon (Davao Oriental),Ms,TECTONIC
37,2016-10-27 09:04:13+00:00,6.98,124.83,10,2.6,010km N 59° W of M'lang (North Cotobatao),Ms,TECTONIC
38,2016-10-27 07:51:51+00:00,13.24,120.32,19,1.7,025km S 39° W of Paluan (Occidental Mindoro),Ms,TECTONIC
39,2016-10-27 07:19:11+00:00,10.08,126.42,10,2.5,044km N 41° E of General Luna (Surigao Del Norte),Ms,TECTONIC
40,2016-10-27 05:44:46+00:00,8.26,125.91,23,2.9,012km S 60° E of La Paz (Agusan Del Sur),Ms,TECTONIC
41,2016-10-27 04:44:25+00:00,13.74,124.6,5,2.4,023km S 80° E of Gigmoto (Catanduanes),Ms,TECTONIC
42,2016-10-27 02:27:29+00:00,12.63,123.46,5,3.1,023km S 86° W of Monreal (Masbate),Ms,TECTONIC
43,2016-10-27 02:24:43+00:00,12.56,123.47,11,2.3,025km S 68° W of Monreal (Masbate),Ms,TECTONIC
44,2016-10-27 02:12:49+00:00,12.65,123.46,3,2.7,023km N 88° W of Monreal (Masbate),Ms,TECTONIC
45,2016-10-27 00:52:26+00:00,9.61,126.41,31,2.9,034km S 55° E of General Luna (Surigao del Norte),Ms,TECTONIC
46,2016-10-26 20:27:22+00:00,9.84,126.19,24,2.4,007km N 33° E of General Luna (Surigao Del Norte),Ms,TECTONIC
47,2016-10-26 15:07:35+00:00,7.02,125.58,12,2.3,006km S 35° W of Davao City (Davao Del Sur),Ms,TECTONIC
48,2016-10-26 14:18:11+00:00,9.74,125.96,78,2.4,011km S 79° W of Dapa (Dinagat),Ms,TECTONIC
49,2016-10-26 13:16:40+00:00,8.35,125.89,11,2.2,010km N 64° E of La Paz (Agusan Del Sur),Ms,TECTONIC
50,2016-10-26 12:37:39+00:00,8.28,123.6,26,2.0,010km N 41° E of Josefina (Zamboanga Del Sur),Ms,TECTONIC
51,2016-10-26 10:25:19+00:00,6.58,126.62,30,2.4,055km S 21° E of Tarragona (Davao Oriental),Ms,TECTONIC
52,2016-10-26 10:23:57+00:00,9.1,125.75,21,2.3,018km N 75° E of Remedios Romualdez (Agusan Del Norte),Ms,TECTONIC
53,2016-10-26 01:44:58+00:00,9.52,125.57,1,2.7,004km S 03° W of Tubod (Surigao Del Norte),Ms,TECTONIC
54,2016-10-25 23:54:13+00:00,12.98,123.33,4,2.6,012km N 45° E of Claveria (Masbate),Ms,TECTONIC
55,2016-10-25 20:14:54+00:00,5.63,125.96,116,2.5,047km S 54° E of Jose Abad Santos (Davao Occidental),Ms,TECTONIC
56,2016-10-25 18:28:00+00:00,8.23,126.5,103,2.1,023km S 49° E of Hinatuan (Surigao del Sur),Ms,TECTONIC
57,2016-10-25 17:28:58+00:00,12.9,123.27,7,3.2,002km N 75° E of Claveria (Masbate),Ms,TECTONIC
58,2016-10-25 17:18:52+00:00,7.12,126.01,14,2.0,013km S 71° E of Pantukan (Compostela Valley),Ms,TECTONIC
59,2016-10-25 15:43:45+00:00,12.73,124.62,28,2.0,026km N 05° W of Catarman (Northern Samar),Ms,TECTONIC
60,2016-10-25 14:51:19+00:00,10.24,125.0,27,2.4,009km S 38° E of Libagon (Southern Leyte),Ms,TECTONIC
61,2016-10-25 14:05:04+00:00,9.23,125.28,68,2.1,027km N 14° W of Nasipit (Agusan del Norte),Ms,TECTONIC
62,2016-10-25 04:41:52+00:00,9.28,126.26,44,2.0,008km N 90° E of Cortes (Surigao Del Sur),Ms,TECTONIC
63,2016-10-25 04:22:01+00:00,15.66,119.94,24,2.5,004km N 11° E of Candelaria (Zambales),Ms,TECTONIC
64,2016-10-25 02:54:21+00:00,5.53,126.06,57,3.1,063km S 51° E of Jose Abad Santos (Davao Occidental),Ms,TECTONIC
65,2016-10-25 01:30:00+00:00,7.28,124.97,4,2.2,019km N 70° W of Arakan (North Cotabato),Ms,TECTONIC
66,2016-10-24 18:17:21+00:00,18.48,120.77,14,2.6,006km S 45° W of Dumalneg (Ilocos Norte),Ms,TECTONIC
67,2016-10-24 17:49:03+00:00,9.45,122.53,24,2.0,012km S 18° E of Hinoba-an (Negros Occidental),Ms,TECTONIC
68,2016-10-24 17:47:37+00:00,9.35,122.52,19,2.3,015km S 65° W of Basay (Negros Occidental),Ms,TECTONIC
69,2016-10-24 17:46:46+00:00,5.99,125.5,85,2.9,017km N 48° W of Jose Abad Santos (Davao Occidental),Ms,TECTONIC
70,2016-10-24 17:12:43+00:00,10.35,122.04,5,2.4,016km S 53° E of Anini-y (Antique),Ms,TECTONIC
71,2016-10-24 15:53:43+00:00,9.35,122.52,11,2.0,015km S 63° W of Basay (Negros Occidental),Ms,TECTONIC
72,2016-10-24 14:10:14+00:00,6.68,126.51,44,2.2,041km S 10° E of Tarragona (Davao Oriental),Ms,TECTONIC
