,datetime,lat,lon,depth_km,mag,location,mag_type,event_type
0,2017-04-30 15:42:53+00:00,5.66,125.11,3,2.0,024 km S 28° E of Maasim (Sarangani),Ms,TECTONIC
1,2017-04-30 14:51:12+00:00,9.73,122.18,27,3.4,025 km S 83° W of Sipalay (Negros Occidental),Ms,TECTONIC
2,2017-04-30 14:45:12+00:00,7.45,124.5,71,2.0,023 km S 80° W of Banisilan (North Cotabato),Ms,TECTONIC
3,2017-04-30 14:33:34+00:00,7.58,124.66,4,2.3,013 km S 57° W of Wao (Lanao Del Sur),Ms,TECTONIC
4,2017-04-30 14:01:21+00:00,5.8,125.07,6,2.9,010 km S 44° E of Maasim (Sarangani),Ms,TECTONIC
5,2017-04-30 13:35:16+00:00,5.89,125.08,18,2.2,008 km N 68° E of Maasim (Sarangani),Ms,TECTONIC
6,2017-04-30 13:04:58+00:00,5.54,124.92,4,2.2,068 km S 23° W of General Santos City (South Cotabato),Ms,TECTONIC
7,2017-04-30 12:53:28+00:00,13.0,120.51,19,2.7,033 km N 57° W of Sablayan (Occidental Mindoro),Ms,TECTONIC
8,2017-04-30 12:06:27+00:00,13.6,121.24,34,1.9,006 km S 33° E of Lobo (Batangas),Ms,TECTONIC
9,2017-04-30 12:01:37+00:00,6.08,125.15,1,2.0,004 km S 34° W of General Santos City (South Cotabato),Ms,TECTONIC
10,2017-04-30 11:57:37+00:00,5.78,125.11,7,2.5,009 km S 61° W of Glan (Sarangani),Ms,TECTONIC
11,2017-04-30 11:48:14+00:00,5.55,124.96,10,2.4,034 km S 10° W of Maasim (Sarangani),Ms,TECTONIC
12,2017-04-30 11:41:35+00:00,5.62,124.99,3,2.9,026 km S 04° W of Maasim (Sarangani),Ms,TECTONIC
13,2017-04-30 11:19:51+00:00,9.62,126.13,155,2.6,018 km S 10° W of General Luna (Surigao Del Norte),Ms,TECTONIC
14,2017-04-30 11:07:02+00:00,10.6,126.04,18,3.0,059 km S 36° E of Guiuan (Eastern Samar),Ms,TECTONIC
15,2017-04-30 10:22:43+00:00,5.86,125.1,18,1.8,010 km S 87° E of Maasim (Sarangani),Ms,TECTONIC
16,2017-04-30 09:00:33+00:00,5.82,125.15,1,2.9,004 km N 90° W of Glan (Sarangani),Ms,TECTONIC
17,2017-04-30 06:18:59+00:00,13.77,120.92,26,3.9,003 km N 41° W of Mabini (Batangas),Ms,TECTONIC
18,2017-04-30 02:26:38+00:00,6.22,125.16,1,2.1,012 km N 03° W of General Santos City (South Cotabato),Ms,TECTONIC
19,2017-04-30 02:26:33+00:00,5.42,124.89,19,3.2,051 km S 16° W of Maasim (Sarangani),Ms,TECTONIC
20,2017-04-30 01:28:59+00:00,13.83,120.89,25,2.3,004 km S 47° W of San Luis (Batangas),Ms,TECTONIC
21,2017-04-30 01:16:51+00:00,13.71,120.95,21,3.6,004 km S 14° E of Mabini (Batangas),Ms,TECTONIC
22,2017-04-30 00:45:51+00:00,5.54,125.01,20,3.2,036 km S 01° E of Maasim (Sarangani),Ms,TECTONIC
23,2017-04-30 00:33:47+00:00,6.12,125.11,1,2.0,006 km N 77° W of General Santos City (South Cotabato),Ms,TECTONIC
24,2017-04-29 22:59:34+00:00,11.13,126.52,14,3.4,089 km N 83° E of Guiuan (Eastern Samar),Ms,TECTONIC
25,2017-04-29 22:56:54+00:00,5.89,124.95,5,2.3,007 km N 59° W of Maasim (Sarangani),Ms,TECTONIC
26,2017-04-29 22:44:44+00:00,10.27,125.21,2,2.3,005 km N 85° W of Anahawan Southern Leyte),Ms,TECTONIC
27,2017-04-29 20:10:01+00:00,5.74,125.09,13,2.1,016 km S 32° E of Maasim (Sarangani),Ms,TECTONIC
28,2017-04-29 19:42:10+00:00,5.67,125.1,18,3.5,023 km S 25° E of Maasim (Sarangani),Ms,TECTONIC
29,2017-04-29 19:30:32+00:00,6.19,125.08,4,2.4,014 km N 48° W of General Santos City (South Cotabato),Ms,TECTONIC
