,datetime,lat,lon,depth_km,mag,location,mag_type,event_type
0,2017-09-29 10:16:57+00:00,9.6,123.23,18,2.2,009 km N 70° W of Ginatilan (Cebu),Ms,TECTONIC
1,2017-09-29 10:16:57+00:00,7.19,126.63,28,2.8,011 km S 75° E of Manay (Davao Oriental),Ms,TECTONIC
2,2017-09-29 10:16:57+00:00,13.63,120.52,78,3.2,025 km S 30° W of Calatagan (Batangas),Ms,TECTONIC
3,2017-09-29 10:16:57+00:00,8.46,124.83,2,3.2,010 km S 32° W of Malitbog (Bukidnon),Ms,TECTONIC
4,2017-09-29 10:16:57+00:00,7.53,124.74,1,2.5,013 km S 07° W of Wao (Lanao del Sur),Ms,TECTONIC
5,2017-09-29 10:16:57+00:00,9.41,126.14,18,2.8,016 km N 23° W of Cortes (Surigao del Sur),Ms,TECTONIC
6,2017-09-29 10:16:57+00:00,7.66,124.74,1,3.4,002 km N 34° W of Wao (Lanao Del Sur),Ms,TECTONIC
7,2017-09-29 10:16:58+00:00,6.1,124.95,16,2.3,018 km N 39° W of Polomok (South Cotabato),Ms,TECTONIC
8,2017-09-29 08:03:06+00:00,9.62,125.42,1,2.6,002 km N82° W of Malimono (Surigao Del Norte),Ms,TECTONIC
9,2017-09-29 07:40:51+00:00,9.98,122.88,32,2.1,007 km S 85° E of Kabankalan City (Negros Occidental),Ms,TECTONIC
10,2017-09-29 07:27:30+00:00,18.67,120.4,33,2.1,037 km N 48° E of Santa Ana (Cagayan),Ms,TECTONIC
11,2017-09-29 06:46:53+00:00,13.72,120.94,104,2.4,004 km S 03° E of Mabini (Batangas),Ms,TECTONIC
12,2017-09-29 04:12:42+00:00,18.41,122.44,18,2.6,032 km S 83° E of Santa Ana (Cagayan),Ms,TECTONIC
13,2017-09-29 03:15:08+00:00,16.59,120.0,29,2.0,025 km N 28° E of Bolinao (Pangasinan),Ms,TECTONIC
14,2017-09-29 03:13:30+00:00,17.47,120.21,16,2.3,020 km S 52° W of Santa Catalina (Ilocos Sur),Ms,TECTONIC
15,2017-09-29 01:53:20+00:00,13.76,120.94,1,2.47,001 km N 36° E of Mabini (Batangas),Ms,TECTONIC
16,2017-09-29 01:26:25+00:00,15.51,120.66,33,2.0,007 km S 13° W of Victoria (Tarlac),Ms,TECTONIC
17,2017-09-29 01:14:06+00:00,9.88,124.59,4,2.1,008 km N 80° E of Mabini (Bohol),Ms,TECTONIC
18,2017-09-29 00:03:51+00:00,11.3,124.61,3,2.7,005 km N 81° W of Capoocan (Leyte),Ms,TECTONIC
19,2017-09-28 22:30:32+00:00,9.74,124.07,33,2.0,005 km N 37° W of Bilar (Bohol),Ms,TECTONIC
20,2017-09-28 21:08:33+00:00,18.07,119.29,32,2.7,126 km N 65° W of Santa Catalina (Ilocos Sur),Ms,TECTONIC
21,2017-09-28 20:50:53+00:00,12.44,123.7,11,3.0,009 km N 80° W of Batuan (Masbate),Ms,TECTONIC
22,2017-09-28 19:46:45+00:00,16.37,122.24,18,2.2,004 km S 53° E of Dilasag (Aurora),Ms,TECTONIC
23,2017-09-28 18:30:34+00:00,7.6,124.56,18,2.8,025 km N 63° W of Wao (Lanao Del Sur),Ms,TECTONIC
24,2017-09-28 17:06:11+00:00,15.02,119.12,18,2.8,098 km S 69° W of Iba(Zambales),Ms,TECTONIC
25,2017-09-28 16:55:45+00:00,13.13,125.45,19,2.9,080 km N 38° E of Laoang (Northern Samar),Ms,TECTONIC
26,2017-09-28 16:53:02+00:00,6.27,120.14,23,4.8,064 km S 70° W of Pangantucan (Sulu),Ms,TECTONIC
27,2017-09-28 16:41:00+00:00,17.36,120.01,11,2.6,046 km N 86° W of San Esteban (Ilocos Sur),unspecified,unspecified
28,2017-09-28 14:59:00+00:00,11.16,124.63,5,2.2,008 km S 71° E of Kananga (Leyte),unspecified,unspecified
29,2017-09-28 14:38:00+00:00,15.18,123.12,8,1.9,095 km N 58° E of Jomalig (Quezon),unspecified,unspecified
30,2017-09-28 13:43:07+00:00,20.02,121.55,16,2.6,048 km S 44° W of Sabtang (Batanes),Ms,TECTONIC
31,2017-09-28 13:19:01+00:00,13.03,124.75,6,1.8,056 km N 21° W of Pambujan (Northern Samar),Ms,TECTONIC
32,2017-09-28 13:06:57+00:00,11.26,124.59,9,3.0,007 km S 60° W of Capoocan (Leyte),Ms,TECTONIC
33,2017-09-28 13:02:02+00:00,12.97,124.93,17,3.5,045 km N 11° W of Laoang (Northern Samar),Ms,TECTONIC
34,2017-09-28 12:17:41+00:00,19.0,121.35,5,2.4,034 km S 21° W of Calayan (Cagayan),Ms,TECTONIC
35,2017-09-28 11:34:07+00:00,11.38,124.55,9,2.7,007 km N 81° E of Leyte (Leyte),Ms,TECTONIC
36,2017-09-28 11:30:47+00:00,6.98,126.27,32,2.8,007 km N 67° E of Mati (Davao Oriental),Ms,TECTONIC
37,2017-09-28 11:24:47+00:00,7.51,124.81,17,3.6,016 km S 21° E of Wao (Lanao Del Sur),Ms,TECTONIC
38,2017-09-28 10:13:35+00:00,11.66,125.62,33,3.2,021 km N 74° E of Borongan (Eastern Samar),Ms,TECTONIC
39,2017-09-28 09:59:03+00:00,10.27,125.99,30,2.7,030 km N 19° W of Burgos (Surigao Del Norte),Ms,TECTONIC
40,2017-09-28 09:04:43+00:00,7.58,124.81,11,2.5,009 km S 42° E of Wao (Lanao Del Sur),Ms,TECTONIC
41,2017-09-28 05:21:20+00:00,5.22,125.51,181,2.8,024 km S 10° E of Sarangani (Davao Occidental),Ms,TECTONIC
42,2017-09-28 05:18:10+00:00,12.98,124.89,21,2.6,046 km N 05° W of Pambujan (Northern Samar),Ms,TECTONIC
43,2017-09-28 04:54:56+00:00,14.76,119.56,1,3.1,061 km S 69° W of San Antonio (Zambales),Ms,TECTONIC
44,2017-09-28 03:54:45+00:00,16.33,122.17,38,2.5,007 km N 40° E of Casiguran (Aurora),Ms,TECTONIC
45,2017-09-28 03:52:44+00:00,12.4,123.71,5,2.5,008 km S 73° W of Batuan (Masbate),Ms,TECTONIC
46,2017-09-28 03:03:04+00:00,6.29,125.23,30,2.3,003 km N 40° W of Malungon (Sarangani),Ms,TECTONIC
47,2017-09-28 03:00:15+00:00,5.78,126.46,46,3.3,094 km S 83° E of Jose Abad Santos (Davao Occidental),Ms,TECTONIC
48,2017-09-28 02:55:33+00:00,9.81,124.01,33,2.4,006 km S 01° E of Catigbian (Bohol),Ms,TECTONIC
49,2017-09-28 02:34:56+00:00,17.77,120.54,26,3.2,006 km S 69° E of Cabugao (Ilocos Sur),Ms,TECTONIC
50,2017-09-28 02:21:20+00:00,14.02,124.27,157,3.6,012 km S 74° E of Pandan (Catanduanes),Ms,TECTONIC
51,2017-09-27 22:22:07+00:00,18.39,122.46,10,3.9,034 km S 79° E of Santa Ana (Cagayan),Ms,TECTONIC
52,2017-09-27 22:13:04+00:00,5.77,124.6,64,2.36,025 km S 05° W of Kiamba (Sarangani),Ms,TECTONIC
53,2017-09-27 18:23:09+00:00,7.13,126.92,23,3.2,043 km S 78° E of Manay (Davao Oriental),Ms,TECTONIC
54,2017-09-27 15:10:02+00:00,9.01,126.5,32,2.4,024 km N 65° E of Cagwait (Surigao Del Sur),Ms,TECTONIC
55,2017-09-27 17:48:33+00:00,8.97,126.4,18,3.0,012 km N 64° E of Cagwait (Surigao Del Sur),Ms,TECTONIC
56,2017-09-27 16:18:17+00:00,8.98,125.95,139,2.5,011 km N 72° W of San Miguel (Surigao Del Sur),Ms,TECTONIC
57,2017-09-27 15:10:02+00:00,16.41,122.4,9,2.0,020 km N 86° E of Dilasag (Aurora),Ms,TECTONIC
58,2017-09-27 12:22:03+00:00,16.32,120.13,32,2.2,019 km N 80° E of Anda (Pangasinan),Ms,TECTONIC
59,2017-09-27 11:50:20+00:00,7.51,124.65,30,3.1,019 km S 36° W of Wao (Lanao Del Sur),Ms,TECTONIC
60,2017-09-27 07:52:38+00:00,13.16,121.08,1,1.9,022 km S 06° W of Baco (Oriental Mindoro),Ms,TECTONIC
61,2017-09-27 07:18:57+00:00,7.67,124.7,3,2.4,007 km S 62° W of Wao (Lanao Del Sur),Ms,TECTONIC
62,2017-09-27 04:32:16+00:00,3.85,126.66,24,2.9,219 km S 37° E of Sarangani (Davao Occidental),Ms,TECTONIC
63,2017-09-27 03:25:11+00:00,16.42,122.47,13,2.4,028 km S 84° E of Dilasag (Aurora),Ms,TECTONIC
64,2017-09-27 02:24:00+00:00,7.13,125.91,23,2.1,003 km S 23° E of Pantukan (Compostela Valley),Ms,TECTONIC
65,2017-09-27 01:25:45+00:00,4.23,126.68,56,4.5,189 km S 45° E of Sarangani (Davao Occidental),Ms,TECTONIC
66,2017-09-26 23:48:20+00:00,8.89,122.6,11,3.8,052 km S 68° W of Siaton (Negros Oriental),Ms,TECTONIC
67,2017-09-26 22:59:47+00:00,16.07,119.899,29,2.1,014 km S 42° W of Alaminos City (Pangasinan),Ms,TECTONIC
68,2017-09-26 18:52:16+00:00,7.64,124.68,6,2.4,008 km S 90° W of Wao (Lanao Del Sur),Ms,TECTONIC
69,2017-09-26 18:38:44+00:00,15.55,120.4,33,2.0,009 km S 29° W of Santa Ignacia (Tarlac),Ms,TECTONIC
70,2017-09-26 16:51:37+00:00,15.5,121.63,8,2.3,029 km N 67° E of Dingalan (Aurora),Ms,TECTONIC
71,2017-09-26 16:32:21+00:00,11.38,124.51,31,2.1,017 km N 59° W of Capoocan (Leyte),Ms,TECTONIC
72,2017-09-26 16:26:36+00:00,3.24,126.88,29,3.4,289 km S 33° E of Sarangani (Davao Occidental),Ms,TECTONIC
73,2017-09-26 16:17:04+00:00,21.1,121.93,146,2.9,035 km N 15° E of Itbayat (Batanes),Ms,TECTONIC
74,2017-09-26 16:03:21+00:00,10.04,122.44,16,2.2,031 km N 06° E of Sipalay (Negros Occidental),Ms,TECTONIC
75,2017-09-26 14:49:16+00:00,5.34,127.67,14,3.3,229 km S 50° E of Governor Generoso (Davao Oriental),Ms,TECTONIC
76,2017-09-26 14:40:24+00:00,7.61,124.65,1,2.6,012 km S 73° W of Wao (Lanao Del Sur),Ms,TECTONIC
77,2017-09-26 11:50:51+00:00,6.54,125.93,137,2.8,020 km S 54° W of Governor Generoso (Davao Oriental),Ms,TECTONIC
78,2017-09-26 11:29:27+00:00,7.48,124.51,52,2.0,032 km S 55° W of Wao (Lanao Del Sur),Ms,TECTONIC
79,2017-09-26 09:47:20+00:00,7.61,124.6,43,2.4,018km S 76° W of Wao (Lanao Del Sur),Ms,TECTONIC
80,2017-09-26 02:48:11+00:00,14.06,120.43,97,2.6,021 km S 83° W of Nasugbu (Batangas),Ms,TECTONIC
81,2017-09-26 02:25:56+00:00,7.59,124.8,8,2.4,008 km S 41° E of Wao (Lanao Del Sur),Ms,TECTONIC
82,2017-09-25 20:59:09+00:00,7.66,124.74,1,4.5,002 km N 23° W of Wao (Lanao Del Sur),Ms,TECTONIC
83,2017-09-25 20:27:36+00:00,18.0,120.16,26,3.0,034 km N 76° W of Badoc (Ilocos Norte),Ms,TECTONIC
84,2017-09-25 18:12:26+00:00,7.5,124.72,16,2.5,017 km S 14° W of Wao (Lanao Del Sur),Ms,TECTONIC
85,2017-09-25 16:50:03+00:00,7.45,124.71,23,2.8,021 km S 12° W of Wao (Lanao Del Sur),Ms,TECTONIC
86,2017-09-25 11:11:59+00:00,7.71,124.82,1,3.5,010 km N 43° E of Wao (Lanao Del Sur),Ms,TECTONIC
87,2017-09-25 10:33:40+00:00,6.27,126.28,52,2.5,048 km S 29° E of Governor Generoso (Davao Oriental),Ms,TECTONIC
88,2017-09-25 10:19:18+00:00,13.54,120.56,14,2.5,013 km N 15° W of Mamburao (Occidental Mindoro),Ms,TECTONIC
89,2017-09-25 08:43:16+00:00,5.94,125.04,9,2.4,010 km N 21° E of Maasin (Sarangani),Ms,TECTONIC
90,2017-09-24 21:43:55+00:00,7.63,124.67,9,3.5,010 km S 80° W of Wao (Lanao Del Sur),Ms,TECTONIC
91,2017-09-24 21:20:08+00:00,13.27,121.72,1,3.3,015 km S 68° W of Gasan (Marinduque),Ms,TECTONIC
92,2017-09-24 18:46:43+00:00,14.64,123.55,32,2.6,078 km N 25° E of Siruma (Camarines Sur),Ms,TECTONIC
93,2017-09-24 17:38:10+00:00,7.63,124.79,8,3.3,005 km S 65° E of Wao (Lanao Del Sur),Ms,TECTONIC
94,2017-09-24 15:24:26+00:00,7.49,124.73,44,3.1,017 km S 08° E of Wao (Lanao Del Sur),Ms,TECTONIC
95,2017-09-24 12:56:29+00:00,11.32,125.73,1,2.9,012 km S 87° E of Hernani (Eastern Samar),Ms,TECTONIC
96,2017-09-24 11:35:20+00:00,8.04,123.36,6,2.4,012 km N 61° E of Midsalip (Zamboanga Del Sur),Ms,TECTONIC
97,2017-09-24 11:14:49+00:00,7.6,124.73,18,3.2,006 km S 21° W of Wao (Lanao Del Sur),Ms,TECTONIC
