,datetime,lat,lon,depth_km,mag,location,mag_type,event_type
0,2018-11-30 13:48:00+00:00,5.71,126.13,76,2.5,060 km S 71° E of Jose Abad Santos (Davao Occidental),unspecified,unspecified
1,2018-11-30 13:13:00+00:00,9.75,126.26,25,2.5,012 km S 70° E of General Luna (Surigao Del Norte),unspecified,unspecified
2,2018-11-30 13:12:00+00:00,8.86,122.42,32,2.2,066 km S 22° W of Basay (Negros Oriental),unspecified,unspecified
3,2018-11-30 12:35:00+00:00,13.89,120.4,67,2.0,025 km N 41° E of Looc (Occidental Mindoro),unspecified,unspecified
4,2018-11-30 12:16:00+00:00,7.93,126.41,22,2.1,016 km N 17° W of Cateel (Davao Oriental),unspecified,unspecified
5,2018-11-30 11:03:00+00:00,5.75,126.55,48,2.8,104 km S 81° E of Jose Abad Santos (Davao Occidental),unspecified,unspecified
6,2018-11-30 10:00:00+00:00,9.89,126.54,23,2.7,044 km N 74° E of General Luna (Surigao Del Norte),unspecified,unspecified
7,2018-11-30 08:54:00+00:00,13.02,121.36,26,2.2,007 km S 50° W of Socorro (Oriental Mindoro),unspecified,unspecified
8,2018-11-30 08:54:00+00:00,18.35,121.86,33,2.0,007 km N 18° E of Buguey (Cagayan),unspecified,unspecified
9,2018-11-30 08:09:00+00:00,14.78,120.13,21,2.1,015 km S 48° E of Subic (Zambales),unspecified,unspecified
10,2018-11-30 07:16:00+00:00,5.85,125.79,108,2.7,020 km S 80° E of Jose Abad Santos (Davao Occidental),unspecified,unspecified
11,2018-11-30 06:23:00+00:00,12.5,122.23,9,2.8,009 km S 25° W of Romblon (Romblon),unspecified,unspecified
12,2018-11-30 05:44:00+00:00,10.08,125.33,36,2.7,018 km N 30° E of Pintuyan (Southern Leyte),unspecified,unspecified
13,2018-11-30 04:18:00+00:00,9.05,126.34,3,2.8,011 km N 34° E of Bayabas (Surigao del Sur),unspecified,unspecified
14,2018-11-30 03:16:00+00:00,10.07,126.23,19,3.5,018 km N 71° E of Burgos (Surigao del Norte),unspecified,unspecified
15,2018-11-29 21:19:00+00:00,4.89,126.61,60,2.6,139 km S 65° E of Sarangani (Davao Occidental),unspecified,unspecified
16,2018-11-29 21:16:00+00:00,7.18,126.0,30,2.1,012 km N 76° E of Pantukan (Compostela Valley),unspecified,unspecified
17,2018-11-29 18:18:00+00:00,10.33,126.67,9,3.0,074 km N 62° E of Burgos (Surigao Del Norte),unspecified,unspecified
18,2018-11-29 17:05:00+00:00,3.97,126.75,102,4.2,215 km S 41° E of Sarangani (Davao Occidental),unspecified,unspecified
19,2018-11-29 16:28:00+00:00,4.6,125.42,146,2.6,092 km S 04° W of Sarangani (Davao Occidental),unspecified,unspecified
20,2018-11-29 16:07:00+00:00,6.23,126.96,194,2.4,106 km S 32° E of Tarragona (Davao Oriental),unspecified,unspecified
21,2018-11-29 12:52:00+00:00,9.91,126.11,11,2.6,004 km S 34° E of San Isidro (Surigao del Norte),unspecified,unspecified
22,2018-11-29 11:56:00+00:00,13.85,120.32,18,2.5,022 km S 89° E of Lubang (Occidental Mindoro),unspecified,unspecified
23,2018-11-29 11:52:00+00:00,15.2,122.51,18,2.4,057 km N 34° E of Patnanungan (Quezon),unspecified,unspecified
24,2018-11-29 10:51:00+00:00,6.47,123.81,6,3.1,030 km S 67° W of Kalamansig (Sultan Kudarat),unspecified,unspecified
25,2018-11-29 10:47:00+00:00,6.35,123.7,1,3.5,047 km S 57° W of Kalamansig (Sultan Kudarat),unspecified,unspecified
26,2018-11-29 09:06:00+00:00,7.43,126.81,107,2.4,031 km S 60° E of Baganga (Davao Oriental),unspecified,unspecified
27,2018-11-29 08:06:00+00:00,3.51,126.7,190,3.9,214 km S 07° E of Sarangani (Davao Occidental),unspecified,unspecified
28,2018-11-29 06:40:00+00:00,7.93,126.69,14,2.5,030 km N 59° E of Cateel (Davao Oriental),unspecified,unspecified
29,2018-11-29 06:21:00+00:00,6.31,126.39,95,2.7,051 km S 43° E of Governor Generoso (Davao Oriental),unspecified,unspecified
30,2018-11-30 02:42:37+00:00,13.81,120.52,112,2.3,013 km S 77° W of Calatagan (Batangas),Ms,TECTONIC
31,2018-11-29 01:38:00+00:00,3.29,125.56,8,3.4,238 km S 02° E of Sarangani (Davao Occidental),unspecified,unspecified
32,2018-11-28 22:43:00+00:00,9.87,124.61,1,1.8,010 km N 83° E of Mabini (Bohol),unspecified,unspecified
33,2018-11-28 20:30:00+00:00,4.8,127.3,77,4.0,214 km S 71° E of Sarangani (Davao Occidental),unspecified,unspecified
34,2018-11-28 20:05:00+00:00,9.61,126.36,2,3.1,029 km S 50° E of General Luna (Surigao del Norte),unspecified,unspecified
35,2018-11-28 19:52:00+00:00,10.28,126.03,20,2.2,029 km N 10° W of Burgos (Surigao del Norte),unspecified,unspecified
36,2018-11-28 19:42:00+00:00,6.06,125.98,25,2.7,035 km S 64° E of Don Marcelino (Davao Occidental),unspecified,unspecified
37,2018-11-28 18:58:00+00:00,10.42,126.07,6,3.3,045 km N 00° E of Burgos (Surigao del Norte),unspecified,unspecified
38,2018-11-28 18:52:00+00:00,10.37,126.16,17,3.5,040 km N 15° E of Burgos (Surigao del Norte),unspecified,unspecified
39,2018-11-28 16:22:00+00:00,10.05,122.19,4,2.2,051 km S 35° E of Anini-y (Antique),unspecified,unspecified
40,2018-11-28 16:08:00+00:00,6.22,126.34,26,3.4,056 km S 32° E of Governor Generoso (Davao Oriental),unspecified,unspecified
41,2018-11-28 14:43:00+00:00,10.32,125.13,31,2.1,009 km N 73° E of Libagon (Southern Leyte),unspecified,unspecified
42,2018-11-28 14:18:00+00:00,8.17,126.84,26,2.5,049 km N 74° E of Lingig (Surigao Del Sur),unspecified,unspecified
43,2018-11-28 14:13:00+00:00,9.48,123.69,28,2.0,013 km S 31° W of Panglao (Bohol),unspecified,unspecified
44,2018-11-28 14:04:00+00:00,19.14,121.34,17,2.8,020 km S 41° W of Calayaan (Cagayan),unspecified,unspecified
45,2018-11-28 13:25:00+00:00,16.29,119.14,23,1.9,081 km S 82° W of Bolinao (Pangasinan),unspecified,unspecified
46,2018-11-28 13:19:00+00:00,14.98,119.95,34,1.8,013 km S 61° W of San Narciso (Zambales),unspecified,unspecified
47,2018-11-28 12:57:00+00:00,19.61,121.78,33,2.1,049 km N 42° E of Calayaan (Cagayan),unspecified,unspecified
48,2018-11-28 11:13:00+00:00,5.93,126.37,6,2.8,080 km S 68° E of Don Marcelino (Davao Occidental),unspecified,unspecified
49,2018-11-28 09:06:00+00:00,8.78,126.12,24,1.8,011 km N 72° W of San Agustin (Surigao Del Sur),unspecified,unspecified
50,2018-11-28 04:45:00+00:00,9.79,123.57,28,2.6,005 km N 53° E of Dalaguete (Cebu),unspecified,unspecified
51,2018-11-28 03:02:00+00:00,13.51,120.35,18,2.3,017 km N 51° W of Paluan (Occidental Mindoro),unspecified,unspecified
52,2018-11-28 02:13:00+00:00,13.7,120.38,120,2.4,015 km S 80° E of Looc (Occidental Mindoro),unspecified,unspecified
53,2018-11-28 02:04:00+00:00,7.4,126.14,5,2.2,009 km N 12° E of Maragusan (San Mariano) (Compostella Valley),unspecified,unspecified
54,2018-11-28 02:01:00+00:00,17.14,120.03,14,2.9,045 km S 82° W of Candon City (Ilocos Sur),unspecified,unspecified
55,2018-11-28 00:47:00+00:00,8.32,125.98,33,2.2,033 km S 40° E of Talacogon (Agusan del Sur),unspecified,unspecified
56,2018-11-27 23:41:00+00:00,5.74,126.82,34,2.8,129 km S 39° E of Governor Generoso (Davao Occidental),unspecified,unspecified
57,2018-11-27 20:00:00+00:00,9.1,122.22,30,2.3,060 km S 31° W of Hinoba-an (Negros Occidental),unspecified,unspecified
58,2018-11-27 19:53:00+00:00,17.38,120.75,31,2.6,008 km S 39° E of Manabo (Abra),unspecified,unspecified
59,2018-11-27 19:42:00+00:00,5.95,126.31,136,2.4,074 km S 68° E of Don Marcelino (Davao Occidental),unspecified,unspecified
60,2018-11-27 19:31:00+00:00,13.64,120.58,24,2.4,022 km S 14° W of Calatagan (Batangas),unspecified,unspecified
61,2018-11-27 19:28:00+00:00,7.09,126.95,20,3.0,048 km S 74° E of Manay (Davao Oriental),unspecified,unspecified
62,2018-11-27 18:25:00+00:00,19.02,121.07,13,2.4,046 km N 01° W of Claveria (Cagayan),unspecified,unspecified
63,2018-11-27 17:21:00+00:00,9.75,125.4,1,2.1,004 km S 24° W of San Francisco (Anao-aon) (Surigao del Norte),unspecified,unspecified
64,2018-11-27 16:20:00+00:00,9.04,125.68,13,3.3,010 km S 78° E of Remedios Romualdez (Agusan del Norte),unspecified,unspecified
65,2018-11-27 16:04:00+00:00,9.82,122.75,24,2.4,017 km N 87° E of Candoni (Negros Occidental),unspecified,unspecified
66,2018-11-27 14:36:00+00:00,13.74,119.8,33,2.1,037 km S 69° W of Lubang (Occidental Mindoro),unspecified,unspecified
67,2018-11-27 13:44:00+00:00,14.95,119.98,28,2.0,013 km S 56° W of San Narciso (Zambales),unspecified,unspecified
68,2018-11-27 11:36:00+00:00,7.66,124.83,1,2.8,009 km N 76° E of Wao (Lanao Del Sur),unspecified,unspecified
69,2018-11-27 10:06:00+00:00,10.43,126.58,1,3.5,071 km N 51° E of Burgos (Surigao Del Norte),unspecified,unspecified
70,2018-11-27 07:16:00+00:00,8.5,122.68,19,3.1,039 km N 83° W of Jose Dalman (Ponot) (Zamboanga Del Norte),unspecified,unspecified
71,2018-11-27 04:10:00+00:00,15.35,121.71,1,2.7,035 km S 80° E of Dingalan (Aurora),unspecified,unspecified
72,2018-11-26 23:03:00+00:00,15.04,119.84,13,3.3,024 km S 84° W of San Felipe (Zambales),unspecified,unspecified
73,2018-11-26 22:48:00+00:00,7.96,126.02,1,2.1,006 km S 28° W of Santa Josefa (Agusan Del Sur),unspecified,unspecified
74,2018-11-26 22:45:00+00:00,6.53,123.68,65,2.7,042 km S 83° W of Kalamansig (Sultan Kudarat),unspecified,unspecified
75,2018-11-26 22:32:00+00:00,13.33,119.58,33,2.7,025 km S 45° W of Lubang (Occidental Mindoro),unspecified,unspecified
76,2018-11-26 22:18:00+00:00,9.91,124.12,22,2.7,003 km N 88° E of Sagbayan (Bohol),unspecified,unspecified
77,2018-11-26 21:47:00+00:00,8.87,122.7,1,2.5,043 km S 59° W of Siaton (Negros Oriental),unspecified,unspecified
78,2018-11-26 21:36:00+00:00,4.28,126.0,58,3.5,140 km S 25° E of Sarangani (Davao Occidental),unspecified,unspecified
79,2018-11-26 19:50:00+00:00,10.18,125.25,33,2.3,011 km S 07° W of Anahawan (Southern Leyte),unspecified,unspecified
80,2018-11-26 19:48:00+00:00,6.43,126.22,21,3.0,029 km S 32° E of Governor Generoso (Davao Oriental),unspecified,unspecified
81,2018-11-26 18:00:00+00:00,3.26,128.26,204,4.6,392 km S 52° E of Sarangani (Davao Occidental),unspecified,unspecified
82,2018-11-26 17:25:00+00:00,8.79,126.36,3,2.2,022 km S 24° E of Bayabas (Surigao Del Sur),unspecified,unspecified
83,2018-11-26 15:48:00+00:00,15.65,119.97,26,2.1,005 km N 59° E of Candelaria (Zambales),unspecified,unspecified
84,2018-11-26 12:40:00+00:00,14.43,121.79,1,2.7,034 km S 81° E of Famy (Laguna),unspecified,unspecified
85,2018-11-26 11:27:00+00:00,15.37,121.8,1,2.4,045 km S 85° E of Dingalan (Aurora),unspecified,unspecified
86,2018-11-26 11:18:00+00:00,5.96,126.83,116,2.9,113 km S 48° E of Governor Generoso (Davao Occidental),unspecified,unspecified
