,datetime,lat,lon,depth_km,mag,location,mag_type,event_type
0,2019-12-31 14:07:48+00:00,11.44,124.83,113.0,2.0,002 km N 39° W of Babatngon (Leyte),Ms,TECTONIC
1,2019-12-31 13:22:43+00:00,6.74,125.14,7.0,2.2,009 km S 57° W of Bansalan (Davao Del Sur),Ms,TECTONIC
2,2019-12-31 13:15:39+00:00,7.57,124.84,32.0,2.1,009 km S 71° W of Kadingilan (Bukidnon),Ms,TECTONIC
3,2019-12-31 12:11:58+00:00,13.28,121.84,33.0,1.5,005 km S 10° W of Gasan (Marinduque),Ms,TECTONIC
4,2019-12-31 12:09:21+00:00,6.61,125.23,11.0,2.5,005 km S 17° E of Kiblawan (Davao Del Sur),Ms,TECTONIC
5,2019-12-31 11:31:39+00:00,6.9,125.08,8.0,2.1,007 km S 08° W of Makilala (Cotabato),Ms,TECTONIC
6,2019-12-31 10:52:25+00:00,6.72,125.13,10.0,2.7,011 km N 53° W of Kiblawan (Davao Del Sur),Ms,TECTONIC
7,2019-12-31 10:45:31+00:00,9.16,126.26,19.0,2.1,011 km N 40° E of Tandag (Surigao Del Sur),Ms,TECTONIC
8,2019-12-31 09:25:28+00:00,6.82,125.13,10.0,2.5,009 km N 70° W of Bansalan (Davao Del Sur),Ms,TECTONIC
9,2019-12-31 05:56:33+00:00,19.31,121.1,38.0,1.6,038 km N 86° W of Calayan (Cagayan),Ms,TECTONIC
10,2019-12-31 04:29:22+00:00,6.62,124.95,25.0,2.0,008 km N 02° E of Lutayan (Sultan Kudarat),Ms,TECTONIC
11,2019-12-31 03:35:20+00:00,6.74,124.9,27.0,2.6,007 km S 71° E of Datu Paglas (Maguindanao),Ms,TECTONIC
12,2019-12-31 02:34:49+00:00,6.5,125.23,21.0,2.0,017 km S 51° W of Sulop (Davao Del Sur),Ms,TECTONIC
13,2019-12-31 01:59:21+00:00,6.78,125.21,2.0,2.9,007 km N 03° W of Magsaysay (Davao Del Sur),Ms,TECTONIC
14,2019-12-31 01:45:34+00:00,13.64,123.52,25.0,2.0,006 km S 05° E of San Jose (Camarines Sur),Ms,TECTONIC
15,2019-12-31 01:08:00+00:00,6.15,125.12,23.0,2.2,007 km N 46° W of General Santos City (South Cotabato),unspecified,unspecified
16,2019-12-31 00:32:29+00:00,6.65,125.06,24.0,2.8,019 km S 69° W of Magsaysay (Davao Del Sur),Ms,TECTONIC
17,2019-12-31 00:16:49+00:00,15.84,121.76,14.0,2.3,023 km N 68° E of Baler (Aurora),Ms,TECTONIC
18,2019-12-30 22:58:30+00:00,6.58,125.23,29.0,2.4,008 km S 09° E of Kiblawan (Davao Del Sur),Ms,TECTONIC
19,2019-12-30 21:59:53+00:00,6.71,125.2,16.0,2.3,002 km S 74° W of Magsaysay (Davao Del Sur),Ms,TECTONIC
20,2019-12-30 21:41:17+00:00,10.73,125.67,28.0,2.3,034 km S 10° W of Guiuan (Eastern Samar),Ms,TECTONIC
21,2019-12-30 20:50:16+00:00,13.72,120.57,122.0,2.3,014 km S 29° W of Calatagan (Batangas),Ms,TECTONIC
22,2019-12-30 20:37:43+00:00,16.57,122.3,20.0,2.1,007 km N 38° E of Dinapigue (Isabela),Ms,TECTONIC
23,2019-12-30 19:59:23+00:00,9.23,125.58,3.0,3.1,005 km S 25° E of Santiago (Agusan Del Norte),Ms,TECTONIC
24,2019-12-30 19:12:47+00:00,5.89,126.72,27.0,2.0,110 km S 40° E of Governor Generoso (Davao Oriental),Ms,TECTONIC
25,2019-12-30 17:39:48+00:00,7.42,126.56,20.0,2.7,010 km N 04° W of Caraga (Davao Oriental),Ms,TECTONIC
26,2019-12-30 17:15:57+00:00,6.67,125.18,18.0,2.7,004 km N 65° W of Kiblawan (Davao Del Sur),Ms,TECTONIC
27,2019-12-30 16:31:59+00:00,6.78,124.85,3.0,2.5,008 km S 20° E of Tulunan (Cotabato),Ms,TECTONIC
28,2019-12-30 16:14:29+00:00,18.33,119.88,24.0,2.8,071 km N 62° W of Currimao (Ilocos Norte),Ms,TECTONIC
29,2019-12-30 15:40:18+00:00,6.44,125.32,20.0,3.3,017 km S08° W of Sulop (Davao Del Sur),Ms,TECTONIC
30,2019-12-30 15:34:32+00:00,18.73,120.82,26.0,2.1,017 km N 09° E of Pagudpud (Ilocos Norte),Ms,TECTONIC
31,2019-12-30 14:49:40+00:00,6.5,124.98,27.0,2.8,006 km S 27° E of Lutayan (Sultan Kudarat),Ms,TECTONIC
32,2019-12-30 14:27:14+00:00,6.51,125.75,20.0,2.7,019 km N 57° E of Malita (Davao Occidental),Ms,TECTONIC
33,2019-12-30 13:45:55+00:00,6.54,125.36,19.0,2.3,007 km S 18° E of Sulop (Davao Del Sur),Ms,TECTONIC
34,2019-12-30 13:30:56+00:00,6.6,125.39,1.0,3.1,005 km S 43° E of Padada (Davao Del Sur),Ms,TECTONIC
35,2019-12-30 13:18:58+00:00,6.16,126.39,51.0,3.6,065 km S 33° E of Governor Generoso (Davao Oriental),Ms,TECTONIC
36,2019-12-30 13:13:02+00:00,6.64,124.87,22.0,2.4,011 km S 35° E of Buluan (Maguindanao),Ms,TECTONIC
37,2019-12-30 12:47:10+00:00,6.73,125.36,21.0,2.2,002 km S 58° E of Digos City (Davao Del Sur),Ms,TECTONIC
38,2019-12-30 12:26:40+00:00,6.51,125.55,1.0,2.4,007 km S 64° E of Santa Maria (Davao Occidental),Ms,TECTONIC
39,2019-12-30 12:10:52+00:00,6.57,125.08,28.0,3.2,005 km N 78° E of Lambayong (Mariano Marcos) (Sultan Kudarat),Ms,TECTONIC
40,2019-12-30 11:38:48+00:00,6.31,125.01,73.0,1.6,008 km S 70° E of Tupi (South Cotabato),Ms,TECTONIC
41,2019-12-30 11:37:42+00:00,6.59,125.25,20.0,2.5,008 km S 29° E of Kiblawan (Davao Del Sur),Ms,TECTONIC
42,2019-12-30 11:22:27+00:00,6.72,125.17,3.0,3.8,005 km N 79° W of Magsaysay (Davao Del Sur),Ms,TECTONIC
43,2019-12-30 11:10:04+00:00,6.67,125.3,4.0,2.8,008 km S 61° W of Hagonoy (Davao Del Sur),Ms,TECTONIC
44,2019-12-30 10:31:37+00:00,10.05,125.17,29.0,2.2,001 km S 57° E of San Francisco (Southern Leyte),Ms,TECTONIC
45,2019-12-30 09:53:52+00:00,7.19,122.23,6.0,2.6,021 km S 58° E of Sibuco (Zamboanga Del Norte),Ms,TECTONIC
46,2019-12-30 09:33:29+00:00,17.06,119.79,10.0,2.4,066 km N 70° W of Luna (La Union),Ms,TECTONIC
47,2019-12-30 09:32:36+00:00,17.09,119.77,12.0,1.6,069 km N 68° W of Luna (La Union),Ms,TECTONIC
