,datetime,lat,lon,depth_km,mag,location,mag_type,event_type
0,2019-06-30 15:41:57+00:00,9.52,126.06,44,3.0,015 km S 42° E of Socorro (Surigao Del Norte),Ms,TECTONIC
1,2019-06-30 12:11:28+00:00,5.88,125.93,187,2.7,035 km S 89° E of Jose Abad Santos (Davao Occidental),Ms,TECTONIC
2,2019-06-30 11:29:00+00:00,5.33,127.39,170,3.3,206km S 45° E of Governor Generoso (Davao Oriental),unspecified,unspecified
3,2019-06-30 11:19:43+00:00,7.75,126.61,31,2.6,018 km S 75° E of Cateel (Davao Oriental),Ms,TECTONIC
4,2019-06-30 11:15:56+00:00,13.72,125.12,1,2.5,0779km S 85° E of Gigmoto (Catanduanes),Ms,TECTONIC
5,2019-06-30 09:24:38+00:00,9.7,126.08,22,2.2,007 km S 28° E of Dapa (Dinagat),Ms,TECTONIC
6,2019-06-30 08:55:38+00:00,9.97,126.07,33,2.1,006 km S 02° E of Burgos (Surigao Del Norte),Ms,TECTONIC
7,2019-06-30 08:03:51+00:00,8.21,126.86,13,2.9,053 km N 69° E of Lingig (Surigao Del Sur),Ms,TECTONIC
8,2019-06-30 07:58:43+00:00,8.19,126.85,18,2.7,060 km S 70° E of Hinatuan (Surigao Del Sur),Ms,TECTONIC
9,2019-06-30 07:42:54+00:00,5.78,125.72,56,2.9,016 km S 47° E of Jose Abad Santos (Davao Occidental),Ms,TECTONIC
10,2019-06-30 07:32:00+00:00,15.07,120.29,32,1.6,018 km N 31° E of Castillejos (Zambales),unspecified,unspecified
11,2019-06-30 06:41:01+00:00,17.34,120.39,39,2.1,006 km N 84° W of San Esteban (Ilocos Sur),Ms,TECTONIC
12,2019-06-30 06:40:06+00:00,8.46,126.65,19,2.2,036 km N 73° E of Hinatuan (Surigao Del Sur),Ms,TECTONIC
13,2019-06-30 06:30:22+00:00,8.34,126.14,33,1.9,021 km S 83° W of Hinatuan (Surigao Del Sur),Ms,TECTONIC
14,2019-06-30 04:01:14+00:00,8.32,125.72,29,1.9,011 km N 88° W of La Paz (Agusan Del Sur),Ms,TECTONIC
15,2019-06-30 03:21:48+00:00,8.27,125.83,19,2.2,005 km S 20° E of La Paz (Agusan Del Sur),Ms,TECTONIC
16,2019-06-30 02:45:03+00:00,8.49,126.8,1,2.6,052 km N 75° E of Hinatuan (Surigao Del Sur),Ms,TECTONIC
17,2019-06-30 02:14:13+00:00,9.81,126.29,14,3.5,015 km N 78° E of General Luna (Surigao Del Norte),Ms,TECTONIC
18,2019-06-30 01:40:59+00:00,13.17,124.2,82,3.1,008 km S 74° E of Rapu-rapu (Albay),Ms,TECTONIC
19,2019-06-30 01:10:32+00:00,6.9,123.76,1,4.0,039 km N 77° W of South Upi (Maguindanao),Ms,TECTONIC
20,2019-06-30 00:36:44+00:00,8.36,126.46,1,2.3,014 km S 87° E of Hinatuan (Surigao Del Sur),Ms,TECTONIC
21,2019-06-29 23:40:08+00:00,8.32,125.71,24,1.9,011 km N 85° W of La Paz (Agusan Del Sur),Ms,TECTONIC
22,2019-06-29 22:52:49+00:00,19.94,120.3,1,2.5,142 km N 60° W of Calayan (Cagayan),Ms,TECTONIC
23,2019-06-29 21:02:14+00:00,11.92,125.64,22,2.1,021 km S 54° W of Dolores (Eastern Samar),Ms,TECTONIC
24,2019-06-29 20:12:33+00:00,9.68,124.85,26,2.1,035 km S 43° W of Limasawa (Southern Leyte),Ms,TECTONIC
25,2019-06-29 19:42:28+00:00,17.94,120.87,81,3.2,020 km N 18° W of Tineg (Abra),Ms,TECTONIC
26,2019-06-29 19:59:32+00:00,9.66,124.9,22,1.6,034 km S 34° W of Limasawa (Southern Leyte),Ms,TECTONIC
27,2019-06-29 19:00:06+00:00,9.6,124.95,30,5.0,038 km S 20° W of Limasawa (Southern Leyte),Ms,TECTONIC
28,2019-06-29 18:20:16+00:00,15.94,124.75,33,1.7,219 km N 17° E of Pandan (Catanduanes),Ms,TECTONIC
29,2019-06-29 17:00:55+00:00,8.29,125.86,22,2.2,005 km S 62° E of La Paz (Agusan Del Sur),Ms,TECTONIC
30,2019-06-29 16:50:25+00:00,13.59,121.45,8,1.9,027 km S 12° E of San Juan (Batangas),Ms,TECTONIC
31,2019-06-29 16:20:27+00:00,11.24,124.6,5,2.3,008 km S 34° W of Capoocan (Leyte),Ms,TECTONIC
32,2019-06-29 16:02:34+00:00,8.48,126.66,31,2.2,038 km N 71° E of Hinatuan (Surigao Del Sur),Ms,TECTONIC
33,2019-06-29 15:54:58+00:00,19.08,120.94,11,3.2,054 km N 16° W of Claveria (Cagayan),Ms,TECTONIC
34,2019-06-29 15:46:55+00:00,13.44,123.62,9,2.2,022 km N 39° E of Polangui (Albay),Ms,TECTONIC
35,2019-06-29 15:19:00+00:00,11.74,125.17,17,1.7,032 km S 75° W of Sulat (Eastern Samar),Ms,TECTONIC
36,2019-06-29 14:21:20+00:00,17.03,121.53,26,2.1,018 km N 25° E of Alfonso Lista (Potia) (Ifugao),Ms,TECTONIC
37,2019-06-29 14:15:43+00:00,15.04,120.25,33,1.7,013 km N 21° E of Castillejos (Zambales),Ms,TECTONIC
38,2019-06-29 13:45:33+00:00,9.57,126.2,17,2.1,024 km S 11° E of General Luna (Surigao Del Norte),Ms,TECTONIC
39,2019-06-29 13:02:41+00:00,8.42,126.27,23,1.9,030 km N 82° E of Rosario (Agusan Del Sur),Ms,TECTONIC
40,2019-06-29 12:54:00+00:00,11.75,125.28,49,3.5,019 km S 89° W of San Julian (Eastern Samar),Ms,TECTONIC
41,2019-06-29 12:24:10+00:00,13.98,120.11,10,2.7,014 km N 05° W of Lubang (Occidental Mindoro),Ms,TECTONIC
42,2019-06-29 11:51:50+00:00,12.62,124.99,29,2.5,006 km N 21° W of Laoang (Northern Samar),Ms,TECTONIC
