,datetime,lat,lon,depth_km,mag,location,mag_type,event_type
0,2019-03-31 15:29:46+00:00,9.02,125.57,21,2.5,005 km S 81° E of Magallanes (Agusan Del Norte),Ms,TECTONIC
1,2019-03-31 15:11:23+00:00,13.95,122.95,8,2.1,017 km N 15° E of Lupi (Camarines Sur),Ms,TECTONIC
2,2019-03-31 14:02:18+00:00,9.87,125.37,14,3.7,016 km N 57° W of Surigao City (Surigao Del Norte),Ms,TECTONIC
3,2019-03-31 13:44:06+00:00,5.07,126.8,86,3.9,159 km S 55° E of Jose Abad Santos (Davao Occidental),Ms,TECTONIC
4,2019-03-31 13:36:08+00:00,13.4,123.53,29,1.8,004 km S 49° E of Buhi (Camarines Sur),Ms,TECTONIC
5,2019-03-31 10:54:35+00:00,10.65,122.27,12,1.9,004 km N 71° E of Miagao (Iloilo),Ms,TECTONIC
6,2019-03-31 10:35:18+00:00,15.47,120.03,24,2.5,014 km N 76° E of Palauig (Zambales),Ms,TECTONIC
7,2019-03-31 09:56:20+00:00,13.27,123.33,32,2.3,016 km S 57° E of Bacatan (Balatan) (Camarines Sur),Ms,TECTONIC
8,2019-03-31 05:00:48+00:00,20.49,120.54,33,3.5,140 km S 76° W of Itbayat (Batanes),Ms,TECTONIC
9,2019-03-31 04:58:20+00:00,10.62,126.26,22,2.4,070 km N 17° E of Burgos (Surigao Del Norte),Ms,TECTONIC
10,2019-03-31 03:32:37+00:00,4.07,126.24,165,3.4,174 km S 30° E of Sarangani (Davao Occidental),Ms,TECTONIC
11,2019-03-31 03:22:35+00:00,18.72,120.7,27,2.7,018 km N 33° W of Pagudpud (Ilocos Norte),Ms,TECTONIC
12,2019-03-31 02:54:37+00:00,9.26,126.17,33,1.7,003 km S 63° W of Cortes (Surigao Del Sur),Ms,TECTONIC
13,2019-03-31 02:31:22+00:00,8.84,123.15,13,2.6,029 km S 27° E of Siaton (Negros Oriental),Ms,TECTONIC
14,2019-03-31 02:08:39+00:00,14.06,122.57,32,1.5,024 km S 59° E of Santa Elena (Camarines Norte),Ms,TECTONIC
15,2019-03-31 01:58:01+00:00,6.17,124.56,12,2.7,010 km S 42° E of Maitum (Sarangani),Ms,TECTONIC
16,2019-03-31 01:55:17+00:00,19.14,121.11,29,2.5,040 km S 67° W of Calayan (Cagayan),Ms,TECTONIC
17,2019-03-31 01:49:52+00:00,14.64,120.09,25,2.6,020 km S 75° W of Morong (Bataan),Ms,TECTONIC
