,datetime,lat,lon,depth_km,mag,location,mag_type,event_type
0,2020-05-31 15:50:47+00:00,14.5,121.65,34,1.5,020 km S 16° E of Real (Quezon),Ms,TECTONIC
1,2020-05-31 15:02:03+00:00,13.26,124.54,19,2.3,046 km N 80° E of Rapu-rapu (Albay),Ms,TECTONIC
2,2020-05-31 14:57:00+00:00,9.89,122.53,27,2.0,020 km N 44° E of Sipalay City (Negros Occidental),Ms,TECTONIC
3,2020-05-31 14:33:15+00:00,8.07,124.82,10,1.9,025 km N 03° E of Pangantucan (Bukidnon),Ms,TECTONIC
4,2020-05-31 14:21:11+00:00,8.46,126.91,31,1.6,064 km N 81° E of Hinatuan (Surigao Del Sur),Ms,TECTONIC
5,2020-05-31 14:13:16+00:00,9.43,123.4,20,2.2,017 km N 38° E of Dumaguete City (Negros Oriental),Ms,TECTONIC
6,2020-05-31 14:03:10+00:00,6.84,127.23,14,2.8,087 km S 62° E of Manay (Davao Oriental),Ms,TECTONIC
7,2020-05-31 13:09:26+00:00,6.49,124.26,30,1.8,024 km S 68° E of Kalamansig (Sultan Kudarat),Ms,TECTONIC
8,2020-05-31 11:26:22+00:00,10.27,125.88,18,2.0,034 km N 37° W of Burgos (Surigao Del Norte),Ms,TECTONIC
9,2020-05-31 11:04:23+00:00,4.79,127.85,1,2.9,274 km S 75° E of Sarangani (Davao Occidental),Ms,TECTONIC
10,2020-05-31 10:58:41+00:00,10.74,124.5,33,1.8,016 km N 52° E of San Francisco (Cebu),Ms,TECTONIC
11,2020-05-31 10:58:08+00:00,7.99,125.92,32,1.8,011 km S 21° W of Veruela (Agusan Del Sur),Ms,TECTONIC
12,2020-05-31 10:38:06+00:00,9.7,125.48,1,2.7,014 km N 70° W of Placer (Surigao Del Norte),Ms,TECTONIC
13,2020-05-31 10:14:31+00:00,10.55,124.39,33,1.4,011 km S 05° E of San Francisco (Cebu),Ms,TECTONIC
14,2020-05-31 09:00:25+00:00,5.24,126.73,28,3.1,141 km S 81° E of Sarangani (Davao Occidental),Ms,TECTONIC
15,2020-05-31 03:32:18+00:00,5.32,127.5,120,2.4,218 km S 73° E of Jose Abad Santos (Davao Occidental),Ms,TECTONIC
16,2020-05-30 21:52:53+00:00,13.7,120.58,86,2.0,016 km S 23° W of Calatagan (Batangas),Ms,TECTONIC
17,2020-05-30 21:26:16+00:00,5.73,125.27,13,3.1,013 km S 42° E of Glan (Sarangani),Ms,TECTONIC
18,2020-05-30 21:24:51+00:00,6.08,125.49,32,1.6,024 km S 87° E of Alabel (Sarangani),Ms,TECTONIC
19,2020-05-30 20:23:46+00:00,7.03,125.96,33,2.0,010 km N 36° W of Banaybanay (Davao Oriental),Ms,TECTONIC
20,2020-05-30 20:11:44+00:00,8.97,125.54,31,2.2,002 km N 20° E of Butuan City (Agusan Del Norte),Ms,TECTONIC
