,datetime,lat,lon,depth_km,mag,location,mag_type,event_type
0,2022-07-31 15:45:36+00:00,17.49,120.7,14,2.0,006 km S 23° W of Bucay (Abra),Ms,TECTONIC
1,2022-07-31 15:44:57+00:00,17.4,120.67,20,1.7,006 km S 43° W of Manabo (Abra),Ms,TECTONIC
2,2022-07-31 15:44:02+00:00,17.46,120.69,8,2.1,003 km N 12° W of Manabo (Abra),Ms,TECTONIC
3,2022-07-31 15:35:38+00:00,17.43,120.67,18,2.7,003 km West of Manabo (Abra),Ms,TECTONIC
4,2022-07-31 15:30:10+00:00,10.36,125.17,1,2.1,008 km N 79° E of Hinunangan (Southern Leyte),Ms,TECTONIC
5,2022-07-31 15:29:11+00:00,10.36,125.19,1,2.1,003 km S 17° W of Hinunangan (Southern Leyte),Ms,TECTONIC
6,2022-07-31 15:27:02+00:00,10.3,125.18,3,3.1,005 km N 63° E of Saint Bernard (Southern Leyte),Ms,TECTONIC
7,2022-07-31 15:14:48+00:00,17.24,120.68,10,1.7,006 km S 64° W of Tubo (Abra),Ms,TECTONIC
8,2022-07-31 15:02:41+00:00,11.73,125.37,1,2.4,010 km S 77° W of San Julian (Eastern Samar),Ms,TECTONIC
9,2022-07-31 15:00:06+00:00,18.2,119.54,1,3.7,106 km N 79° W of Currimao (Ilocos Norte),Ms,TECTONIC
10,2022-07-31 14:50:25+00:00,17.76,120.68,1,2.1,005 km N 35° W of Lagayan (Abra),Ms,TECTONIC
11,2022-07-31 14:47:57+00:00,17.53,120.67,3,3.2,010 km S 09° E of Tayum (Abra),Ms,TECTONIC
12,2022-07-31 14:42:56+00:00,17.44,120.66,18,1.7,005 km N 86° W of Manabo (Abra),Ms,TECTONIC
13,2022-07-31 14:22:02+00:00,12.47,125.37,14,2.8,013 km S 89° E of Mapanas (Northern Samar),Ms,TECTONIC
14,2022-07-31 14:20:02+00:00,17.15,120.57,23,2.0,009 km N 27° W of Sigay (Ilocos Sur),Ms,TECTONIC
15,2022-07-31 14:12:15+00:00,17.55,120.67,15,2.6,007 km S 62° E of Tayum (Abra),Ms,TECTONIC
16,2022-07-31 14:02:28+00:00,17.62,120.67,14,2.2,005 km N 11° E of Tayum (Abra),Ms,TECTONIC
17,2022-07-31 13:57:56+00:00,17.43,120.62,12,2.1,009 km West of Manabo (Abra),Ms,TECTONIC
18,2022-07-31 13:45:44+00:00,17.73,120.64,12,4.1,012 km N 09° W of Tayum (Abra),Ms,TECTONIC
19,2022-07-31 13:44:38+00:00,17.56,120.46,34,1.9,007 km N 70° W of San Quintin (Abra),Ms,TECTONIC
20,2022-07-31 13:41:22+00:00,17.46,120.61,17,1.8,001 km S 26° E of San Isidro (Abra),Ms,TECTONIC
21,2022-07-31 13:26:04+00:00,17.57,120.56,34,1.9,011 km S 65° W of Tayum (Abra),Ms,TECTONIC
22,2022-07-31 13:12:26+00:00,17.61,120.5,33,2.1,007 km N 14° W of San Quintin (Abra),Ms,TECTONIC
23,2022-07-31 12:59:04+00:00,17.43,120.62,23,2.5,003 km N 47° E of Pilar (Abra),Ms,TECTONIC
24,2022-07-31 12:54:28+00:00,17.57,120.67,15,1.8,006 km S 24° E of Tayum (Abra),Ms,TECTONIC
25,2022-07-31 12:51:02+00:00,17.49,120.6,20,1.9,003 km N 02° E of San Isidro (Abra),Ms,TECTONIC
26,2022-07-31 12:48:52+00:00,17.46,120.62,16,2.4,002 km S 64° E of San Isidro (Abra),Ms,TECTONIC
27,2022-07-31 12:44:08+00:00,17.52,120.56,33,2.1,005 km S 60° E of San Quintin (Abra),Ms,TECTONIC
28,2022-07-31 12:38:56+00:00,17.54,120.66,31,2.0,003 km S 26° E of Peñarrubia (Abra),Ms,TECTONIC
29,2022-07-31 12:37:53+00:00,17.24,120.86,4,2.2,014 km S 81° E of Tubo (Abra),Ms,TECTONIC
30,2022-07-31 12:28:40+00:00,17.69,120.69,21,2.0,009 km N 22° E of Tayum (Abra),Ms,TECTONIC
31,2022-07-31 12:26:10+00:00,17.43,120.63,13,2.4,004 km N 70° E of Pilar (Abra),Ms,TECTONIC
32,2022-07-31 12:21:53+00:00,17.83,120.69,10,2.6,010 km S 17° E of Nueva Era (Ilocos Norte),Ms,TECTONIC
33,2022-07-31 12:21:25+00:00,17.84,120.53,4,1.9,008 km S 68° E of Sinait (Ilocos Sur),Ms,TECTONIC
34,2022-07-31 11:55:42+00:00,17.63,120.77,21,2.0,004 km N 65° E of Lagangilang (Abra),Ms,TECTONIC
35,2022-07-31 11:45:15+00:00,17.35,120.75,9,1.5,007 km N 61° E of Luba (Abra),Ms,TECTONIC
36,2022-07-31 11:42:30+00:00,17.24,120.69,18,2.5,011 km S 89° E of San Emilio (Ilocos Sur),Ms,TECTONIC
37,2022-07-31 11:39:02+00:00,17.42,120.57,7,2.5,003 km N 77° W of Pilar (Abra),Ms,TECTONIC
38,2022-07-31 11:31:19+00:00,17.46,120.68,14,2.5,004 km N 47° W of Manabo (Abra),Ms,TECTONIC
39,2022-07-31 11:27:37+00:00,17.45,120.53,4,4.7,008 km S 75° W of San Isidro (Abra),Mw,TECTONIC
40,2022-07-31 11:24:24+00:00,17.45,120.67,11,2.7,004 km N 57° W of Manabo (Abra),Ms,TECTONIC
41,2022-07-31 11:14:37+00:00,17.39,120.58,10,1.8,003 km S 40° W of Pilar (Abra),Ms,TECTONIC
42,2022-07-31 10:58:34+00:00,17.38,120.74,15,2.1,007 km S 34° E of Manabo (Abra),Ms,TECTONIC
43,2022-07-31 10:34:30+00:00,17.51,120.62,23,2.2,005 km N 17° E of San Isidro (Abra),Ms,TECTONIC
44,2022-07-31 10:34:25+00:00,12.22,125.62,32,2.7,013 km N 68° E of San Policarpo (Eastern Samar),Ms,TECTONIC
45,2022-07-31 10:29:43+00:00,17.15,120.63,24,1.7,001 km N 86° E of Gregorio Del Pilar (Ilocos Sur),Ms,TECTONIC
46,2022-07-31 10:26:47+00:00,17.65,120.83,1,2.4,011 km N 70° E of Lagangilang (Abra),Ms,TECTONIC
47,2022-07-31 10:25:00+00:00,17.71,120.67,8,2.8,002 km North of Danglas (Abra),Ms,TECTONIC
48,2022-07-31 09:47:15+00:00,17.82,120.71,8,3.2,011 km N 03° E of Lagayan (Abra),Ms,TECTONIC
49,2022-07-31 09:18:08+00:00,17.07,120.91,7,1.6,002 km S 38° E of Sagada (Mountain Province),Ms,TECTONIC
50,2022-07-31 08:45:46+00:00,17.76,120.45,4,2.6,002 km N 13° W of San Juan (Ilocos Sur),Ms,TECTONIC
51,2022-07-31 08:34:52+00:00,4.45,125.93,143,3.4,120 km S 28° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),Ms,TECTONIC
52,2022-07-31 07:56:39+00:00,17.61,120.65,20,2.1,001 km S 30° W of Tayum (Abra),Ms,TECTONIC
53,2022-07-31 07:55:59+00:00,17.67,120.66,11,2.3,005 km N 02° E of Tayum (Abra),Ms,TECTONIC
54,2022-07-31 07:47:16+00:00,17.84,120.59,1,2.4,012 km S 42° W of Nueva Era (Ilocos Norte),Ms,TECTONIC
55,2022-07-31 07:39:12+00:00,17.43,120.61,4,2.9,002 km N 44° E of Pilar (Abra),Ms,TECTONIC
56,2022-07-31 06:15:36+00:00,17.5,120.63,1,2.2,005 km N 33° E of San Isidro (Abra),Ms,TECTONIC
57,2022-07-31 06:05:46+00:00,17.8,120.69,1,2.1,021 km N 11° E of Tayum (Abra),Ms,TECTONIC
58,2022-07-31 06:04:03+00:00,17.73,120.6,35,1.8,013 km N 25° W of Tayum (Abra),Ms,TECTONIC
59,2022-07-31 05:49:55+00:00,17.82,120.76,2,4.9,013 km N 27° E of Lagayan (Abra),Mw,TECTONIC
60,2022-07-31 04:21:33+00:00,17.14,120.63,24,2.4,002 km S 60° E of Gregorio Del Pilar (Ilocos Sur),Ms,TECTONIC
61,2022-07-31 04:19:07+00:00,5.87,126.61,135,3.2,105 km S 35° E of Governor Generoso (Davao Oriental),Ms,TECTONIC
62,2022-07-31 04:07:44+00:00,17.7,120.65,5,2.4,010 km N 03° W of Tayum (Abra),Ms,TECTONIC
63,2022-07-31 03:49:53+00:00,17.51,120.65,20,2.2,012 km S 02° W of Tayum (Abra),Ms,TECTONIC
64,2022-07-31 03:41:06+00:00,17.69,120.56,6,3.3,012 km N 52° W of Tayum (Abra),Ms,TECTONIC
65,2022-07-31 03:37:22+00:00,16.78,120.82,6,2.9,002 km South of Buguias (Benguet),Ms,TECTONIC
66,2022-07-31 03:36:32+00:00,16.89,120.77,41,1.6,004 km N 31° W of Mankayan (Benguet),Ms,TECTONIC
67,2022-07-31 03:14:32+00:00,17.18,120.84,13,2.8,010 km N 13° W of Besao (Mountain Province),Ms,TECTONIC
68,2022-07-31 03:02:05+00:00,17.61,120.54,17,2.1,012 km S 86° W of Tayum (Abra),Ms,TECTONIC
69,2022-07-31 02:29:16+00:00,17.54,120.56,6,2.5,013 km S 50° W of Tayum (Abra),Ms,TECTONIC
70,2022-07-31 02:21:20+00:00,15.6,121.18,37,1.7,005 km S 50° E of Bongabon (Nueva Ecija),Ms,TECTONIC
71,2022-07-31 02:20:06+00:00,17.36,120.17,1,1.6,030 km N 84° W of San Esteban (Ilocos Sur),Ms,TECTONIC
72,2022-07-31 02:14:30+00:00,17.45,120.66,10,3.1,004 km N 71° W of Manabo (Abra),Ms,TECTONIC
73,2022-07-31 02:00:38+00:00,17.55,120.57,12,2.8,002 km S 44° W of Pidigan (Abra),Ms,TECTONIC
74,2022-07-31 01:55:41+00:00,17.58,120.58,37,2.1,009 km S 63° W of Tayum (Abra),Ms,TECTONIC
75,2022-07-31 01:54:10+00:00,17.44,120.58,9,2.1,003 km N 31° W of Pilar (Abra),Ms,TECTONIC
76,2022-07-31 01:34:58+00:00,17.71,120.47,31,1.6,004 km S 15° E of San Juan (Ilocos Sur),Ms,TECTONIC
77,2022-07-31 01:21:07+00:00,12.18,121.02,1,2.1,020 km S 17° W of San Jose (Occidental Mindoro),Ms,TECTONIC
78,2022-07-31 01:09:01+00:00,17.4,120.62,7,2.4,003 km S 58° E of Pilar (Abra),Ms,TECTONIC
79,2022-07-31 00:49:10+00:00,17.01,120.64,9,2.3,008 km S 21° E of Sigay (Ilocos Sur),Ms,TECTONIC
80,2022-07-31 00:47:50+00:00,6.7,126.77,25,2.0,053 km S 43° E of Tarragona (Davao Oriental),Ms,TECTONIC
81,2022-07-31 00:28:12+00:00,17.44,120.45,8,2.7,008 km S 83° W of Nagbukel (Ilocos Sur),Ms,TECTONIC
82,2022-07-31 00:24:50+00:00,17.51,120.55,17,3.4,004 km S 42° E of San Quintin (Abra),Ms,TECTONIC
83,2022-07-31 00:23:25+00:00,17.43,120.62,5,2.7,014 km N 33° W of Luba (Abra),Ms,TECTONIC
