,datetime,lat,lon,depth_km,mag,location,mag_type,event_type
0,2023-01-31 15:58:02+00:00,8.39,126.63,43.0,3.2,033 km N 85° E of Hinatuan (Surigao Del Sur),Ms,TECTONIC
1,2023-01-31 15:50:53+00:00,7.88,122.79,31.0,2.0,010 km N 22° E of Kabasalan (Zamboanga Sibugay),Ms,TECTONIC
2,2023-01-31 15:50:03+00:00,5.76,125.23,64.0,2.0,007 km S 23° E of Glan (Sarangani),Ms,TECTONIC
3,2023-01-31 15:35:53+00:00,13.93,122.9,3.0,2.7,012 km S 16° E of San Lorenzo Ruiz (Camarines Norte),Ms,TECTONIC
4,2023-01-31 15:33:51+00:00,6.82,126.19,32.0,2.2,012 km S 81° E of San Isidro (Davao Oriental),Ms,TECTONIC
5,2023-01-31 15:29:11+00:00,13.48,120.08,14.0,3.2,032 km S 35° W of Looc (Occidental Mindoro),Ms,TECTONIC
6,2023-01-31 13:28:30+00:00,19.99,121.37,32.0,3.2,065 km S 54° W of Sabtang (Batanes),Ms,TECTONIC
7,2023-01-31 12:32:26+00:00,4.3,128.18,130.0,4.5,327 km S 67° E of Sarangani Island (Municipality Of Sarangani) (Davao Occidental),Ms,TECTONIC
8,2023-01-31 12:32:20+00:00,7.37,126.72,87.0,3.2,018 km N 76° E of Caraga (Davao Oriental),Ms,TECTONIC
9,2023-01-31 12:24:25+00:00,20.03,121.32,35.0,3.1,067 km S 60° W of Sabtang (Batanes),Ms,TECTONIC
10,2023-01-31 11:38:24+00:00,9.15,127.26,82.0,2.8,108 km N 76° E of Cagwait (Surigao Del Sur),Ms,TECTONIC
11,2023-01-31 10:34:57+00:00,18.58,120.97,26.0,2.0,003 km N 50° W of Santa Praxedes (Cagayan),Ms,TECTONIC
12,2023-01-31 10:03:54+00:00,17.89,120.78,4.0,2.2,013 km S 76° E of Nueva Era (Ilocos Norte),Ms,TECTONIC
13,2023-01-31 08:49:59+00:00,19.87,121.16,14.0,4.5,075 km N 26° W of Calayan (Cagayan),Mw,TECTONIC
14,2023-01-31 04:34:49+00:00,5.83,126.1,66.0,4.6,051 km S 79° E of Jose Abad Santos (Davao Occidental),Ms,TECTONIC
15,2023-01-31 02:17:22+00:00,6.79,126.58,19.0,2.3,032 km S 27° E of Tarragona (Davao Oriental),Ms,TECTONIC
16,2023-01-31 01:48:55+00:00,8.24,127.01,7.0,2.5,069 km N 72° E of Lingig (Surigao Del Sur),Ms,TECTONIC
17,2023-01-31 01:36:16+00:00,14.5,120.54,135.0,2.1,009 km N 38° E of Mariveles (Bataan),Ms,TECTONIC
18,2023-01-31 01:24:36+00:00,15.54,119.8,17.0,2.4,016 km N 45° W of Palauig (Zambales),Ms,TECTONIC
19,2023-01-31 00:29:06+00:00,8.89,126.9,8.0,2.7,066 km S 88° E of Cagwait (Surigao Del Sur),Ms,TECTONIC
20,2023-01-31 00:12:28+00:00,8.91,126.94,1.0,2.4,071 km S 89° E of Cagwait (Surigao Del Sur),Ms,TECTONIC
21,2023-01-30 20:51:52+00:00,16.49,122.24,13.0,2.6,004 km S 30° W of Dinapigue (Isabela),Ms,TECTONIC
22,2023-01-30 19:56:05+00:00,7.22,126.74,18.0,2.4,022 km N 86° E of Manay (Davao Oriental),Ms,TECTONIC
23,2023-01-30 19:52:18+00:00,7.15,126.88,12.0,3.7,038 km S 80° E of Manay (Davao Oriental),Ms,TECTONIC
24,2023-01-30 18:12:03+00:00,13.71,120.6,98.0,1.6,014 km S 13° W of Calatagan (Batangas),Ms,TECTONIC
25,2023-01-30 17:30:59+00:00,16.59,119.81,29.0,2.0,024 km N 21° W of Bolinao (Pangasinan),Ms,TECTONIC
26,2023-01-30 17:27:23+00:00,3.91,127.0,76.0,4.0,241 km S 46° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),Ms,TECTONIC
27,2023-01-30 17:18:22+00:00,10.2,125.88,19.0,2.2,026 km N 41° W of Santa Monica (Surigao Del Norte),Ms,TECTONIC
28,2023-01-30 16:59:03+00:00,13.42,120.42,30.0,1.7,005 km N 82° W of Paluan (Occidental Mindoro),Ms,TECTONIC
29,2023-01-30 16:42:05+00:00,15.35,119.76,21.0,3.9,018 km S 61° W of Palauig (Zambales),Ms,TECTONIC
30,2023-01-30 16:27:39+00:00,18.86,121.35,45.0,2.4,003 km N 64° W of Fuga Island (Aparri) (Cagayan),Ms,TECTONIC
31,2023-01-30 15:07:56+00:00,17.68,119.3,77.0,2.6,113 km N 85° W of Santa Catalina (Ilocos Sur),Ms,TECTONIC
32,2023-01-30 14:52:52+00:00,9.53,126.23,26.0,1.8,028 km N 08° E of Cortes (Surigao Del Sur),Ms,TECTONIC
33,2023-01-30 14:29:53+00:00,17.68,119.26,28.0,2.7,118 km N 85° W of Santa Catalina (Ilocos Sur),Ms,TECTONIC
34,2023-01-30 14:11:16+00:00,9.7,126.03,27.0,2.6,007 km S 25° W of Dapa (Surigao Del Norte),Ms,TECTONIC
35,2023-01-30 13:25:46+00:00,15.65,119.12,1.0,4.0,085 km S 81° W of Santa Cruz (Zambales),Ms,TECTONIC
36,2023-01-30 13:12:15+00:00,17.83,120.73,11.0,3.0,012 km N 11° E of Lagayan (Abra),Ms,TECTONIC
37,2023-01-30 12:38:28+00:00,17.7,119.27,26.0,3.2,117 km N 84° W of Santa Catalina (Ilocos Sur),Ms,TECTONIC
38,2023-01-30 05:59:05+00:00,14.97,120.29,118.0,2.0,011 km N 70° E of Castillejos (Zambales),Ms,TECTONIC
39,2023-01-30 05:27:24+00:00,5.85,125.93,131.0,2.7,032 km S 77° E of Jose Abad Santos (Davao Occidental),Ms,TECTONIC
40,2023-01-30 05:18:25+00:00,10.64,126.65,30.0,2.7,093 km N 42° E of Burgos (Surigao Del Norte),Ms,TECTONIC
41,2023-01-30 04:49:07+00:00,5.86,125.29,20.0,2.0,011 km N 63° E of Glan (Sarangani),Ms,TECTONIC
42,2023-01-30 04:38:01+00:00,9.8,126.9,1.0,2.4,082 km N 88° E of General Luna (Surigao Del Norte),Ms,TECTONIC
43,2023-01-30 03:45:49+00:00,15.52,120.03,25.0,2.3,008 km S 81° E of Masinloc (Zambales),Ms,TECTONIC
44,2023-01-30 03:29:49+00:00,12.69,121.82,6.0,2.7,027 km S 23° E of Concepcion (Romblon),Ms,TECTONIC
45,2023-01-30 03:20:51+00:00,10.69,125.54,67.0,2.2,021 km S 75° W of Homonhon Island (Guiuan) (Eastern Samar),Ms,TECTONIC
46,2023-01-30 01:07:32+00:00,9.81,126.58,23.0,2.8,046 km N 87° E of General Luna (Surigao Del Norte),Ms,TECTONIC
47,2023-01-30 01:04:34+00:00,9.88,126.69,14.0,3.4,059 km N 79° E of General Luna (Surigao Del Norte),Ms,TECTONIC
48,2023-01-30 00:45:24+00:00,12.7,121.81,9.0,2.8,026 km S 21° E of Concepcion (Romblon),Ms,TECTONIC
49,2023-01-30 00:25:15+00:00,13.81,120.85,7.0,2.7,009 km S 55° W of San Luis (Batangas),ML,VOLCANO-TECTONIC
50,2023-01-30 00:16:01+00:00,18.08,120.52,23.0,2.0,002 km N 12° W of Paoay (Ilocos Norte),Ms,TECTONIC
51,2023-01-29 22:39:44+00:00,7.35,126.8,30.0,3.2,026 km N 86° E of Caraga (Davao Oriental),Ms,TECTONIC
52,2023-01-29 22:21:57+00:00,5.51,125.24,10.0,2.1,034 km S 06° E of Glan (Sarangani),Ms,TECTONIC
53,2023-01-29 21:26:02+00:00,8.82,126.36,46.0,2.3,008 km N 73° E of Marihatag (Surigao Del Sur),Ms,TECTONIC
54,2023-01-29 20:18:56+00:00,5.45,126.25,144.0,4.5,087 km S 88° E of Sarangani Island (Municipality Of Sarangani) (Davao Occidental),Ms,TECTONIC
55,2023-01-29 19:57:01+00:00,2.09,126.99,2.0,5.4,407 km S 25° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),Ms,TECTONIC
56,2023-01-29 19:22:51+00:00,18.01,119.56,11.0,3.0,097 km N 81° W of Sinait (Ilocos Sur),Ms,TECTONIC
57,2023-01-29 19:20:59+00:00,17.77,120.84,5.0,1.7,006 km N 20° E of Tineg (Abra),Ms,TECTONIC
58,2023-01-29 19:04:55+00:00,9.75,126.11,15.0,1.8,006 km S 54° W of General Luna (Surigao Del Norte),Ms,TECTONIC
59,2023-01-29 18:40:41+00:00,10.78,125.75,20.0,1.8,005 km N 31° E of Homonhon Island (Guiuan) (Eastern Samar),Ms,TECTONIC
60,2023-01-29 17:45:29+00:00,14.93,120.2,99.0,3.0,000 km N 63° W of Castillejos (Zambales),Ms,TECTONIC
61,2023-01-29 17:44:30+00:00,10.15,126.32,5.0,3.2,031 km N 61° E of Burgos (Surigao Del Norte),Ms,TECTONIC
62,2023-01-29 17:26:27+00:00,16.71,120.87,9.0,1.8,008 km N 60° W of Tinoc (Ifugao),Ms,TECTONIC
63,2023-01-29 16:35:45+00:00,14.03,120.49,167.0,2.0,017 km S 88° W of Lian (Batangas),Ms,TECTONIC
64,2023-01-29 16:33:37+00:00,10.4,125.96,17.0,2.7,042 km N 84° E of Loreto (Dinagat Islands),Ms,TECTONIC
65,2023-01-29 16:11:00+00:00,2.62,126.62,115.0,4.8,336 km S 23° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),Ms,TECTONIC
66,2023-01-29 15:21:59+00:00,18.56,121.14,9.0,2.0,007 km S 51° E of Claveria (Cagayan),Ms,TECTONIC
67,2023-01-29 12:57:30+00:00,17.31,120.3,20.0,2.1,015 km S 84° W of San Esteban (Ilocos Sur),Ms,TECTONIC
68,2023-01-29 12:56:19+00:00,10.36,124.19,35.0,1.8,021 km S 79° E of Liloan (Cebu),Ms,TECTONIC
69,2023-01-29 11:35:28+00:00,5.69,125.25,14.0,2.0,016 km S 18° E of Glan (Sarangani),Ms,TECTONIC
70,2023-01-29 11:25:32+00:00,14.51,122.97,1.0,2.2,004 km N 38° E of Tinaga Island (Vinzons) (Camarines Norte),Ms,TECTONIC
71,2023-01-29 08:35:08+00:00,6.45,124.63,4.0,3.0,006 km N 66° W of Santo Niño (South Cotabato),Ms,TECTONIC
72,2023-01-29 08:00:04+00:00,9.8,125.8,27.0,1.7,021 km S 67° W of Del Carmen (Surigao Del Norte),Ms,TECTONIC
73,2023-01-29 06:27:08+00:00,4.36,126.66,67.0,3.9,180 km S 50° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),Ms,TECTONIC
74,2023-01-29 05:15:43+00:00,3.08,126.68,96.0,4.1,294 km S 28° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),Ms,TECTONIC
75,2023-01-29 04:23:31+00:00,5.58,125.21,23.0,5.0,026 km S 02° E of Glan (Sarangani),Mw,TECTONIC
76,2023-01-29 04:22:15+00:00,10.44,125.09,28.0,2.6,013 km N 67° W of Hinunangan (Southern Leyte),Ms,TECTONIC
77,2023-01-29 03:59:19+00:00,6.86,124.81,28.0,1.5,008 km N 65° W of Tulunan (Cotabato),Ms,TECTONIC
