,datetime,lat,lon,depth_km,mag,location,mag_type,event_type
0,2025-08-31 15:56:18+00:00,13.35,120.66,8,1.9,012 km S 35° W of Abra De Ilog (Occidental Mindoro),Ms,TECTONIC
1,2025-08-31 15:38:57+00:00,8.84,126.34,19,1.5,006 km N 46° E of Marihatag (Surigao Del Sur),Ms,TECTONIC
2,2025-08-31 15:23:47+00:00,13.61,120.56,35,1.4,024 km N 26° E of Paluan (Occidental Mindoro),Ms,TECTONIC
3,2025-08-31 15:19:53+00:00,6.51,126.55,4,1.9,056 km S 74° E of Governor Generoso (Davao Oriental),Ms,TECTONIC
4,2025-08-31 14:31:36+00:00,18.67,120.89,11,1.9,016 km N 41° E of Pagudpud (Ilocos Norte),Ms,TECTONIC
5,2025-08-31 14:27:15+00:00,7.93,126.43,75,1.9,009 km N 37° E of Boston (Davao Oriental),Ms,TECTONIC
6,2025-08-31 14:20:03+00:00,9.93,124.01,32,1.6,004 km S 31° W of Clarin (Bohol),Ms,TECTONIC
7,2025-08-31 13:53:15+00:00,13.44,120.69,12,1.6,003 km S 83° W of Abra De Ilog (Occidental Mindoro),Ms,TECTONIC
8,2025-08-31 13:47:10+00:00,13.56,122.8,2,2.0,028 km S 26° W of Lupi (Camarines Sur),Ms,TECTONIC
9,2025-08-31 13:35:09+00:00,12.95,124.18,119,3.7,007 km N 59° E of Gubat (Sorsogon),Ms,TECTONIC
10,2025-08-31 13:29:16+00:00,17.27,119.97,16,4.1,051 km S 82° W of San Esteban (Ilocos Sur),Ms,TECTONIC
11,2025-08-31 12:21:22+00:00,13.67,122.75,32,1.8,017 km S 16° W of Ragay (Camarines Sur),Ms,TECTONIC
12,2025-08-31 12:05:56+00:00,13.67,122.77,36,1.7,017 km S 06° W of Ragay (Camarines Sur),Ms,TECTONIC
13,2025-08-31 11:57:37+00:00,17.53,120.19,30,2.3,020 km S 69° W of Santa Catalina (Ilocos Sur),Ms,TECTONIC
14,2025-08-31 11:46:00+00:00,6.02,126.23,47,2.7,062 km S 72° E of Don Marcelino (Davao Occidental),Ms,TECTONIC
15,2025-08-31 09:49:51+00:00,13.75,122.85,5,1.7,008 km S 54° W of Lupi (Camarines Sur),Ms,TECTONIC
16,2025-08-31 09:47:15+00:00,13.75,122.86,2,1.8,007 km S 57° W of Lupi (Camarines Sur),Ms,TECTONIC
17,2025-08-31 08:40:59+00:00,5.2,126.48,42,2.8,116 km S 75° E of Sarangani Island (Municipality Of Sarangani) (Davao Occidental),Ms,TECTONIC
18,2025-08-31 08:15:38+00:00,11.92,124.08,3,3.2,005 km N 38° E of Pio V. Corpus (Masbate),Ms,TECTONIC
19,2025-08-31 07:49:53+00:00,7.31,123.57,8,4.7,024 km S 46° E of Tabina (Zamboanga Del Sur),Mw,TECTONIC
20,2025-08-31 07:16:27+00:00,9.23,125.65,19,1.7,011 km S 70° E of Santiago (Agusan Del Norte),Ms,TECTONIC
21,2025-08-31 04:48:53+00:00,8.48,122.91,22,2.0,013 km N 71° W of Jose Dalman (Zamboanga Del Norte),Ms,TECTONIC
22,2025-08-31 04:40:16+00:00,13.72,122.85,2,2.2,011 km S 41° W of Lupi (Camarines Sur),Ms,TECTONIC
23,2025-08-31 04:39:26+00:00,17.84,120.63,29,1.5,009 km S 22° W of Nueva Era (Ilocos Norte),Ms,TECTONIC
24,2025-08-31 03:50:12+00:00,12.23,121.9,34,1.7,010 km S 72° W of Looc (Romblon),Ms,TECTONIC
25,2025-08-31 03:07:07+00:00,13.73,120.48,101,3.3,020 km S 56° W of Calatagan (Batangas),Ms,TECTONIC
26,2025-08-31 02:50:02+00:00,3.85,124.44,34,3.1,204 km S 32° W of Balut Island (Municipality Of Sarangani) (Davao Occidental),Ms,TECTONIC
27,2025-08-31 00:18:30+00:00,8.09,126.98,4,2.6,063 km N 84° E of Lingig (Surigao Del Sur),Ms,TECTONIC
28,2025-08-30 23:47:29+00:00,13.75,122.85,6,1.7,010 km S 39° E of Ragay (Camarines Sur),Ms,TECTONIC
29,2025-08-30 23:04:50+00:00,13.78,122.9,3,2.1,002 km S 42° W of Lupi (Camarines Sur),Ms,TECTONIC
30,2025-08-30 22:34:29+00:00,13.76,122.86,3,1.7,006 km S 59° W of Lupi (Camarines Sur),Ms,TECTONIC
31,2025-08-30 22:09:49+00:00,6.32,125.69,161,3.4,013 km S 43° E of Malita (Davao Occidental),Ms,TECTONIC
32,2025-08-30 21:53:53+00:00,13.76,122.71,32,1.2,011 km S 55° W of Ragay (Camarines Sur),Ms,TECTONIC
33,2025-08-30 21:53:05+00:00,7.28,126.33,4,2.6,024 km N 71° W of Manay (Davao Oriental),Ms,TECTONIC
34,2025-08-30 21:33:48+00:00,9.17,126.36,20,2.5,022 km S 56° E of Cortes (Surigao Del Sur),Ms,TECTONIC
35,2025-08-30 21:21:07+00:00,3.21,127.43,106,4.4,330 km S 42° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),Ms,TECTONIC
36,2025-08-30 20:31:41+00:00,13.08,120.12,35,1.6,053 km S 45° W of Paluan (Occidental Mindoro),Ms,TECTONIC
37,2025-08-30 20:31:39+00:00,8.78,126.44,25,1.9,015 km S 80° E of Marihatag (Surigao Del Sur),Ms,TECTONIC
38,2025-08-30 20:27:15+00:00,12.29,125.28,33,1.5,003 km S 36° W of Lapinig (Northern Samar),Ms,TECTONIC
39,2025-08-30 20:11:28+00:00,14.06,120.47,113,1.7,017 km S 86° W of Nasugbu (Batangas),Ms,TECTONIC
40,2025-08-30 20:11:24+00:00,6.39,123.45,27,3.6,069 km S 75° W of Kalamansig (Sultan Kudarat),Ms,TECTONIC
41,2025-08-30 19:44:47+00:00,9.74,126.52,18,1.9,040 km S 83° E of General Luna (Surigao Del Norte),Ms,TECTONIC
42,2025-08-30 19:22:44+00:00,13.72,122.83,12,1.7,012 km S 50° W of Lupi (Camarines Sur),Ms,TECTONIC
43,2025-08-30 19:09:10+00:00,13.74,122.86,2,2.4,008 km S 23° W of Lupi (Camarines Sur),Ms,TECTONIC
44,2025-08-30 18:53:38+00:00,13.75,122.85,2,2.9,008 km S 60° W of Lupi (Camarines Sur),Ms,TECTONIC
45,2025-08-30 18:30:42+00:00,8.29,125.95,6,3.0,012 km S 31° W of Rosario (Agusan Del Sur),Ms,TECTONIC
46,2025-08-30 18:28:39+00:00,13.25,120.73,42,1.6,015 km N 82° E of Mamburao (Occidental Mindoro),Ms,TECTONIC
47,2025-08-30 18:17:03+00:00,13.76,122.87,2,2.2,006 km S 53° W of Lupi (Camarines Sur),Ms,TECTONIC
48,2025-08-30 17:54:45+00:00,5.01,125.74,4,2.4,057 km S 39° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),Ms,TECTONIC
49,2025-08-30 17:43:22+00:00,7.99,126.23,10,2.0,021 km S 76° W of Lingig (Surigao Del Sur),Ms,TECTONIC
50,2025-08-30 17:32:36+00:00,10.04,125.19,7,2.3,004 km S 63° E of San Francisco (Southern Leyte),Ms,TECTONIC
