eventID,year,month,day,hour,minute,second,lat,lon,depth_km,mag,location,mag_type,event_type
61200016,2015,1,3,4,50,0,12.32,123.77,14.0,4.5,020 km S 81° E of Masbate (Masbate),Ms,TECTONIC
61200047,2015,1,10,19,32,0,14.74,119.91,48.0,5.9,030 km S 39° W of San Antonio (Zambales),Mw,TECTONIC
61200052,2015,1,11,16,7,0,11.59,126.23,32.0,4.9,073 km N 66° E of Hernani (Eastern Samar),Ms,TECTONIC
61200060,2015,1,13,15,33,0,12.95,124.59,10.0,5.0,038 km N 41° E of Biri (Northern Samar),Ms,TECTONIC
61200067,2015,1,17,5,9,0,13.93,120.46,118.0,5.3,019 km N 55° W of Calatagan (Batangas),Ms,TECTONIC
61200069,2015,1,18,0,27,0,13.88,120.45,102.0,5.0,021 km N 75° W of Calatagan (Batangas),Ms,TECTONIC
61200080,2015,1,19,17,19,0,4.76,119.82,35.0,5.6,016 km S 11° W of Simunul (Tawi-tawi),Mw,TECTONIC
61200081,2015,1,20,3,2,0,5.65,127.41,45.0,5.0,185 km S 53° E of Governor Generoso (Davao Oriental),Ms,TECTONIC
61200087,2015,1,20,20,33,0,5.99,123.6,620.0,5.5,070 km S 69° W of Palimbang (Sultan Kudarat),Mw,TECTONIC
61200089,2015,1,21,5,20,0,5.7,125.49,49.0,5.2,029 km N 04° E of Sarangani (Davao Occidental),Ms,TECTONIC
61200096,2015,1,22,14,49,0,19.53,121.38,13.0,5.2,029 km N 18° W of Calayan (Cagayan),Ms,TECTONIC
61200113,2015,1,26,7,9,0,9.81,122.26,20.0,5.1,018 km N 72° W of Sipalay (Negros Occidental),Ms,TECTONIC
61200157,2015,2,2,15,13,0,14.23,124.75,3.0,6.2,091 km N 40 ° E of Virac (Catanduanes),Mw,TECTONIC
61200176,2015,2,6,8,3,0,9.54,126.38,5.0,5.2,036 km N 36° E of Cortes (Surigao del Sur),Ms,TECTONIC
61200177,2015,2,6,9,39,0,9.59,126.44,18.0,4.8,037 km S 56° E of General Luna (Surigao Del Norte),Ms,TECTONIC
61200190,2015,2,10,13,29,0,11.42,126.66,40.0,5.7,109 km N 71° E of Mercedes (Eastern Samar),Mw,TECTONIC
61200192,2015,2,10,16,9,0,13.99,120.44,109.0,5.0,022 km S 65° W of Nasugbu (Batangas),Ms,TECTONIC
61200222,2015,2,25,1,31,0,6.11,119.78,17.0,5.5,091 km S 76° W of Pangutaran (Sulu),Mw,TECTONIC
61200242,2015,3,1,7,1,0,4.54,125.85,37.0,4.7,107 km S 23° E of Sarangani (Davao Occidental),Ms,TECTONIC
61200251,2015,3,2,21,51,0,9.8,126.32,16.0,4.5,018 km N 83° E of General Luna (Surigao Del Norte),Ms,TECTONIC
61200271,2015,3,7,16,38,0,5.26,125.92,81.0,4.7,053 km S 68° E of Sarangani (Davao Occidental),Ms,TECTONIC
61200273,2015,3,7,22,53,0,13.16,124.12,10.0,4.7,046 km N 85° E of Legaspi City,Ms,TECTONIC
61200298,2015,3,14,14,37,0,16.95,119.96,64.0,4.6,048 km S 77° W of Luna (La Union),Ms,TECTONIC
61200300,2015,3,14,18,39,0,3.57,126.75,2.0,4.8,250 km S 35° E of Sarangani (Davao Ocidental),Ms,TECTONIC
61200346,2015,3,26,16,46,0,5.82,126.62,60.0,4.9,110 km S 33° E of Governor Generoso (Davao Oriental),Ms,TECTONIC
61200352,2015,3,30,1,47,0,10.04,124.21,7.0,4.9,012 km S 66° E of Buenavista (Bohol),Ms,TECTONIC
61200360,2015,4,1,4,4,0,18.78,120.82,11.0,4.5,022 km N 9° E of Pagudpud (Ilocos Norte),Ms,TECTONIC
61200489,2015,5,2,9,2,0,6.18,124.32,12.0,4.8,013 km S 71° E of Palimbang (Sultan Kudarat),Ms,TECTONIC
61200537,2015,5,13,15,55,0,13.23,124.29,16.0,5.1,018 km N 76° E of Rapu-Rapu (Albay),Ms,TECTONIC
61200538,2015,5,13,17,0,0,13.01,124.22,6.0,4.7,021 km S 25° E of Rapu-Rapu (Albay),Ms,TECTONIC
61200567,2015,5,22,10,59,0,11.49,124.36,10.0,4.7,009 km S 25° W of Naval (Biliran),Ms,TECTONIC
61200596,2015,5,30,1,40,0,7.24,123.93,631.0,4.9,036 km N 46° W of Upi (Maguindanao),Ms,TECTONIC
61200663,2015,6,15,21,4,0,4.27,125.87,130.0,5.8,136 km S 19° E of Sarangani (Davao Occidental),Mw,TECTONIC
61200718,2015,7,3,6,43,0,10.31,126.38,26.0,6.1,047 km N 47° E of Burgos (Surigao del Norte),Mw,TECTONIC
61200731,2015,7,5,12,56,0,17.94,120.76,5.0,5.3,024 km S 60° E of Batac (Ilocos Norte),Ms,TECTONIC
61200747,2015,7,8,12,1,0,9.92,126.27,18.0,5.0,023 km S 63° E of Burgos (Surigao del Norte),Ms,TECTONIC
61200785,2015,7,16,1,44,0,7.05,122.77,29.0,4.5,031 km S 19° W of Olutanga (Zamboanga Sibugay),Ms,TECTONIC
61200788,2015,7,16,20,53,0,9.12,127.08,1.0,5.1,096 km N 88° E of Tandag ( Surigao del Sur),Ms,TECTONIC
61200796,2015,7,17,14,20,0,9.13,126.97,29.0,5.0,086 km N 87° E of Tandag ( Surigao del Sur),Ms,TECTONIC
61200798,2015,7,17,17,47,0,9.11,126.91,9.0,4.7,079 km N 88° E of Tandag ( Surigao del Sur),Ms,TECTONIC
61200804,2015,7,18,15,46,0,18.86,120.92,18.0,5.3,033 km N 31° W of Claveria (Cagayan),Ms,TECTONIC
61200833,2015,7,25,8,41,0,13.01,124.81,16.0,5.2,060 km N 18° E of Catarman (Northern Samar),Ms,TECTONIC
61200852,2015,7,28,18,51,0,4.79,123.25,598.0,4.8,190 km S 34° W of Palimbang (Sultan Kudarat),Ms,TECTONIC
61200876,2015,8,1,15,17,0,7.61,125.44,8.0,4.6,028 km N 47° W of Santo Tomas (Davao Del Norte),Ms,TECTONIC
61200885,2015,8,2,13,8,0,7.96,123.59,607.0,5.0,002 km N 13° E of Aurora (Zamboanga Del Sur),Ms,TECTONIC
61200907,2015,8,9,4,49,0,13.42,120.14,24.0,5.0,036 km N 90° W of Paluan (Occidental Mindoro),Ms,TECTONIC
61200925,2015,8,12,22,21,0,20.96,122.1,188.0,4.7,033 km N 58° E of Itbayat (Batanes),Ms,TECTONIC
61200968,2015,8,21,20,17,0,21.01,121.09,33.0,4.8,082 km N 73° W of Itbayat (Batanes),Ms,TECTONIC
61201046,2015,9,2,1,18,0,4.23,124.75,312.0,6.1,155 km S 31° W of Sarangani (Davao Occidental),Mw,TECTONIC
61201126,2015,9,17,8,34,0,5.37,126.12,8.0,5.0,072 km S 84° E of Sarangani (Davao Occidental),Ms,TECTONIC
