eventID,datetime,lat,lon,depth_km,mag,location,mag_type,event_type
61200016,2015-01-03 04:50:00+00:00,12.32,123.77,14.0,4.5,020 km S 81° E of Masbate (Masbate),Ms,TECTONIC
61200047,2015-01-10 19:32:00+00:00,14.74,119.91,48.0,5.9,030 km S 39° W of San Antonio (Zambales),Mw,TECTONIC
61200052,2015-01-11 16:07:00+00:00,11.59,126.23,32.0,4.9,073 km N 66° E of Hernani (Eastern Samar),Ms,TECTONIC
61200060,2015-01-13 15:33:00+00:00,12.95,124.59,10.0,5.0,038 km N 41° E of Biri (Northern Samar),Ms,TECTONIC
61200067,2015-01-17 05:09:00+00:00,13.93,120.46,118.0,5.3,019 km N 55° W of Calatagan (Batangas),Ms,TECTONIC
61200069,2015-01-18 00:27:00+00:00,13.88,120.45,102.0,5.0,021 km N 75° W of Calatagan (Batangas),Ms,TECTONIC
61200080,2015-01-19 17:19:00+00:00,4.76,119.82,35.0,5.6,016 km S 11° W of Simunul (Tawi-tawi),Mw,TECTONIC
61200081,2015-01-20 03:02:00+00:00,5.65,127.41,45.0,5.0,185 km S 53° E of Governor Generoso (Davao Oriental),Ms,TECTONIC
61200087,2015-01-20 20:33:00+00:00,5.99,123.6,620.0,5.5,070 km S 69° W of Palimbang (Sultan Kudarat),Mw,TECTONIC
61200089,2015-01-21 05:20:00+00:00,5.7,125.49,49.0,5.2,029 km N 04° E of Sarangani (Davao Occidental),Ms,TECTONIC
61200096,2015-01-22 14:49:00+00:00,19.53,121.38,13.0,5.2,029 km N 18° W of Calayan (Cagayan),Ms,TECTONIC
61200113,2015-01-26 07:09:00+00:00,9.81,122.26,20.0,5.1,018 km N 72° W of Sipalay (Negros Occidental),Ms,TECTONIC
61200157,2015-02-02 15:13:00+00:00,14.23,124.75,3.0,6.2,091 km N 40 ° E of Virac (Catanduanes),Mw,TECTONIC
61200176,2015-02-06 08:03:00+00:00,9.54,126.38,5.0,5.2,036 km N 36° E of Cortes (Surigao del Sur),Ms,TECTONIC
61200177,2015-02-06 09:39:00+00:00,9.59,126.44,18.0,4.8,037 km S 56° E of General Luna (Surigao Del Norte),Ms,TECTONIC
61200190,2015-02-10 13:29:00+00:00,11.42,126.66,40.0,5.7,109 km N 71° E of Mercedes (Eastern Samar),Mw,TECTONIC
